Unnamed: 0,address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude,near_Koh_Pich_in_km,Koh_Pich_nearest,Koh_Pich_1_2km,Koh_Pich_2_3km,Koh_Pich_3_5km,Koh_Pich_5_10km,near_Russian_Market_in_km,Russian_Market_nearest,Russian_Market_1_2km,Russian_Market_2_3km,Russian_Market_3_5km,Russian_Market_5_10km,near_AEON_Mall_1_in_km,AEON_Mall_1_nearest,AEON_Mall_1_1_2km,AEON_Mall_1_2_3km,AEON_Mall_1_3_5km,AEON_Mall_1_5_10km,near_AEON_Mall_2_in_km,AEON_Mall_2_nearest,AEON_Mall_2_1_2km,AEON_Mall_2_2_3km,AEON_Mall_2_3_5km,AEON_Mall_2_5_10km,near_AEON_Mall_3_in_km,AEON_Mall_3_nearest,AEON_Mall_3_1_2km,AEON_Mall_3_2_3km,AEON_Mall_3_3_5km,AEON_Mall_3_5_10km,near_Bassac_Lane_in_km,Bassac_Lane_nearest,Bassac_Lane_1_2km,Bassac_Lane_2_3km,Bassac_Lane_3_5km,Bassac_Lane_5_10km,near_Koh_Norea_in_km,Koh_Norea_nearest,Koh_Norea_1_2km,Koh_Norea_2_3km,Koh_Norea_3_5km,Koh_Norea_5_10km,near_Camko_City_in_km,Camko_City_nearest,Camko_City_1_2km,Camko_City_2_3km,Camko_City_3_5km,Camko_City_5_10km,near_Olympic_Stadium_in_km,Olympic_Stadium_nearest,Olympic_Stadium_1_2km,Olympic_Stadium_2_3km,Olympic_Stadium_3_5km,Olympic_Stadium_5_10km,near_Phsar_Tmey_in_km,Phsar_Tmey_nearest,Phsar_Tmey_1_2km,Phsar_Tmey_2_3km,Phsar_Tmey_3_5km,Phsar_Tmey_5_10km,near_Boeng_Keng_Kang_1_in_km,Boeng_Keng_Kang_1_nearest,Boeng_Keng_Kang_1_1_2km,Boeng_Keng_Kang_1_2_3km,Boeng_Keng_Kang_1_3_5km,Boeng_Keng_Kang_1_5_10km,near_Wat_Phnom_in_km,Wat_Phnom_nearest,Wat_Phnom_1_2km,Wat_Phnom_2_3km,Wat_Phnom_3_5km,Wat_Phnom_5_10km,near_Chroy_Changvar_Bridge_in_km,Chroy_Changvar_Bridge_nearest,Chroy_Changvar_Bridge_1_2km,Chroy_Changvar_Bridge_2_3km,Chroy_Changvar_Bridge_3_5km,Chroy_Changvar_Bridge_5_10km,near_Vattanac_Tower_in_km,Vattanac_Tower_nearest,Vattanac_Tower_1_2km,Vattanac_Tower_2_3km,Vattanac_Tower_3_5km,Vattanac_Tower_5_10km,near_Royal_Palace_in_km,Royal_Palace_nearest,Royal_Palace_1_2km,Royal_Palace_2_3km,Royal_Palace_3_5km,Royal_Palace_5_10km,near_Sisowath_Riverside_Park_in_km,Sisowath_Riverside_Park_nearest,Sisowath_Riverside_Park_1_2km,Sisowath_Riverside_Park_2_3km,Sisowath_Riverside_Park_3_5km,Sisowath_Riverside_Park_5_10km,near_Phnom_Penh_Airport_in_km,Phnom_Penh_Airport_nearest,Phnom_Penh_Airport_1_2km,Phnom_Penh_Airport_2_3km,Phnom_Penh_Airport_3_5km,Phnom_Penh_Airport_5_10km
10,Phnom Penh,Pur SenChey,Trapeang Krasang,8865846c09fffff,1412.22,68,96030.96,104.78564296979292,11.55832347808862,17,0,0,0,0,0,14,0,0,0,0,0,16,0,0,0,0,0,11,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,1
11,Phnom Penh,Chbar Ampov,Veal Sbov,88658478b3fffff,1918.37,88,168816.56,104.96444955971752,11.509430449687768,5,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,13,0,0,0,0,0,6,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,12,0,0,0,0,0,8,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,14,0,0,0,0,0
12,Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Muoy,8865846ae9fffff,3476.44,78,271162.32,104.93230514167534,11.549169994278536,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,7,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,10,0,0,0,0,0
13,Phnom Penh,Saensokh,Khmuonh,88658468a3fffff,1270.34,52,66057.68,104.88003188335684,11.63970107086907,11,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,1,0,17,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,10,0,0,0,0,0,8,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,11,0,0,0,0,0
14,Phnom Penh,Dangkao,Dangkao,8865846027fffff,424.78,54,22938.12,104.89286600290612,11.476910788981304,9,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,13,0,0,0,0,0,2,0,0,1,0,0,9,0,0,0,0,1,9,0,0,0,0,1,13,0,0,0,0,0,9,0,0,0,0,1,10,0,0,0,0,0,8,0,0,0,0,1,11,0,0,0,0,0,12,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0
15,Phnom Penh,Mean Chey,Stueng Mean Chey,8865846f4dfffff,3008.72,50,150436.0,104.86749776788632,11.539921986206034,8,0,0,0,0,1,5,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1,9,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0
16,Phnom Penh,Doun Penh,Voat Phnum,8865846aadfffff,1214.8,76,92324.8,104.92160092834516,11.574980005619288,3,0,0,0,1,0,3,0,0,0,1,0,3,0,0,0,1,0,5,0,0,0,0,1,10,0,0,0,0,0,2,0,0,1,0,0,4,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1
17,Phnom Penh,Chraoy Chongvar,Bak Kaeng,88658469adfffff,235.89,74,17455.86,104.92770131214772,11.679969530653873,14,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,10,0,0,0,0,0,21,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,17,0,0,0,0,0
18,Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Muoy,8865846ac7fffff,3234.61,86,278176.46,104.91615393082552,11.546297398536922,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,0,0,0,0,1,6,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,5,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,8,0,0,0,0,1
19,Phnom Penh,Doun Penh,Phsar Kandal Ti Muoy,8865846ae5fffff,1710.24,46,78671.04,104.93667212836596,11.565070139349812,1,0,1,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,6,0,0,0,0,1,9,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,0,0,5,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0
20,Phnom Penh,Doun Penh,Srah Chak,8865846819fffff,3737.03,46,171903.38,104.91843613660504,11.588742580121554,4,0,0,0,1,0,5,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,11,0,0,0,0,0,4,0,0,0,1,0,6,0,0,0,0,1,3,0,0,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,9,0,0,0,0,1
21,Phnom Penh,Pur SenChey,Phleung Chheh Roteh,8865846e6bfffff,2031.3,104,211255.2,104.82299740923926,11.510341033078303,13,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,1,0
22,Phnom Penh,Pur SenChey,Kamboul,8865846c1bfffff,196.05,30,5881.5,104.75318635074296,11.559277713955616,20,0,0,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,14,0,0,0,0,0,19,0,0,0,0,0,18,0,0,0,0,0,21,0,0,0,0,0,15,0,0,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,19,0,0,0,0,0,9,0,0,0,0,1
23,Phnom Penh,Saensokh,Krang Thnong,8865846d45fffff,533.26,56,29862.56,104.83767417158424,11.60877027783233,13,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,1,16,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,11,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,9,0,0,0,0,1,11,0,0,0,0,0,11,0,0,0,0,0,6,0,0,0,0,1
24,Phnom Penh,Chraoy Chongvar,Bak Kaeng,88658469bdfffff,322.73,52,16781.96,104.90557434646894,11.679638353530155,14,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,1,21,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,0,9,0,0,0,0,1,13,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,16,0,0,0,0,0
25,Phnom Penh,Saensokh,Krang Thnong,8865846d49fffff,1515.06,64,96963.84,104.84024657021284,11.59299221054398,12,0,0,0,0,0,9,0,0,0,0,1,11,0,0,0,0,0,4,0,0,0,1,0,14,0,0,0,0,0,10,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,1,8,0,0,0,0,1,8,0,0,0,0,1,10,0,0,0,0,0,9,0,0,0,0,1,8,0,0,0,0,1,8,0,0,0,0,1,10,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,1,0
26,Phnom Penh,Mean Chey,Stueng Mean Chey,88658461a1fffff,1842.84,30,55285.2,104.87105014049398,11.524684898190143,8,0,0,0,0,1,5,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,5,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,4,0,0,0,1,0
27,Phnom Penh,Prampir Meakkakra,Veal Vong,8865846aa9fffff,2672.38,120,320685.60000000003,104.9183816911722,11.56371294059941,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,5,0,0,0,0,1,8,0,0,0,0,1,1,0,1,0,0,0,4,0,0,0,1,0,4,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,8,0,0,0,0,1
28,Phnom Penh,Russey Keo,Ruessei Kaev,8865846817fffff,949.43,42,39876.06,104.91051454912338,11.612767591077764,7,0,0,0,0,1,7,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0,14,0,0,0,0,0,6,0,0,0,0,1,8,0,0,0,0,1,2,0,0,1,0,0,5,0,0,0,0,1,4,0,0,0,1,0,6,0,0,0,0,1,4,0,0,0,1,0,2,0,0,1,0,0,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,10,0,0,0,0,0
29,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a59fffff,2191.4,114,249819.6,104.96462013342966,11.514891543735612,4,0,0,0,1,0,6,0,0,0,0,1,5,0,0,0,0,1,12,0,0,0,0,0,6,0,0,0,0,1,5,0,0,0,0,1,3,0,0,0,1,0,11,0,0,0,0,0,7,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,14,0,0,0,0,0
30,Phnom Penh,Pur SenChey,Chaom Chau,8865846183fffff,1554.27,68,105690.36,104.85733748771668,11.504558403853094,10,0,0,0,0,0,7,0,0,0,0,1,9,0,0,0,0,1,10,0,0,0,0,0,6,0,0,0,0,1,9,0,0,0,0,1,11,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,1,9,0,0,0,0,1,8,0,0,0,0,1,10,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,1
31,Phnom Penh,Dangkao,Pong Tuek,8865846085fffff,148.39,84,12464.759999999998,104.83420672457775,11.462784562477506,15,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,16,0,0,0,0,0,9,0,0,0,0,1,14,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,9,0,0,0,0,1
32,Phnom Penh,Mean Chey,Chak Angrae Leu,8865846acdfffff,4700.32,118,554637.76,104.93395467778905,11.532017481308996,2,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,9,0,0,0,0,1,5,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,8,0,0,0,0,1,4,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,5,0,0,0,0,1,6,0,0,0,0,1,4,0,0,0,1,0,3,0,0,0,1,0,4,0,0,0,1,0,10,0,0,0,0,0
33,Phnom Penh,Doun Penh,Chey Chummeah,8865846ae1fffff,2268.05,120,272166.0,104.92380640635854,11.554373455451382,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,6,0,0,0,0,1,7,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,1
34,Phnom Penh,Praek Pnov,Ponsang,886580d2d9fffff,320.16,84,26893.44,104.78443662381952,11.64969308531096,20,0,0,0,0,0,18,0,0,0,0,0,19,0,0,0,0,0,12,0,0,0,0,0,23,0,0,0,0,0,18,0,0,0,0,0,21,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,0,0,17,0,0,0,0,0,18,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,16,0,0,0,0,0,18,0,0,0,0,0,18,0,0,0,0,0,12,0,0,0,0,0
35,Phnom Penh,Saensokh,Tuek Thla,8865846a93fffff,1922.45,92,176865.4,104.86884830946951,11.553967023873968,7,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,9,0,0,0,0,1,6,0,0,0,0,1,9,0,0,0,0,1,5,0,0,0,0,1,4,0,0,0,1,0,5,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,6,0,0,0,0,1,5,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,3,0,0,0,1,0
36,Phnom Penh,Russey Keo,Chrang Chamreh Ti Pir,88658468abfffff,2910.41,38,110595.58,104.87695182861476,11.624490183013412,10,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0,0,2,0,0,1,0,0,16,0,0,0,0,0,9,0,0,0,0,1,12,0,0,0,0,0,3,0,0,0,1,0,8,0,0,0,0,1,7,0,0,0,0,1,9,0,0,0,0,1,7,0,0,0,0,1,6,0,0,0,0,1,7,0,0,0,0,1,8,0,0,0,0,1,8,0,0,0,0,1,9,0,0,0,0,1
37,Phnom Penh,Doun Penh,Srah Chak,8865846aa1fffff,4063.01,88,357544.88,104.90825178977728,11.580382850778632,4,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,1,0,10,0,0,0,0,0,3,0,0,0,1,0,6,0,0,0,0,1,2,0,0,1,0,0,2,0,0,1,0,0,1,0,1,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,8,0,0,0,0,1
38,Phnom Penh,Tuol Kouk,Phsar Daeum Kor,8865846a81fffff,3445.09,98,337618.82,104.9001819775665,11.555989678848492,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,5,0,0,0,0,1,8,0,0,0,0,1,2,0,0,1,0,0,5,0,0,0,0,1,4,0,0,0,1,0,1,0,1,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,3,0,0,0,1,0,4,0,0,0,1,0,2,0,0,1,0,0,3,0,0,0,1,0,3,0,0,0,1,0,6,0,0,0,0,1
39,Phnom Penh,Pur SenChey,Kakab,8865846f19fffff,758.18,80,60654.4,104.82302282478044,11.545280190291464,12,0,0,0,0,0,9,0,0,0,0,1,11,0,0,0,0,0,8,0,0,0,0,1,12,0,0,0,0,0,11,0,0,0,0,0,14,0,0,0,0,0,9,0,0,0,0,1,9,0,0,0,0,1,10,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,12,0,0,0,0,0,1,0,1,0,0,0
