bedrooms,bathrooms,land_area,price_per_m2,n_cafe_in_1km,n_cafe_in_1km_to_2km,n_cafe_in_2km_to_3km,n_cafe_in_3km_to_5km,n_gas_station_in_1km,n_gas_station_in_1km_to_2km,n_gas_station_in_2km_to_3km,n_gas_station_in_3km_to_5km,n_hospital_in_1km,n_hospital_in_1km_to_2km,n_hospital_in_2km_to_3km,n_hospital_in_3km_to_5km,n_hotel_in_1km_to_2km,n_hotel_in_2km_to_3km,n_hotel_in_3km_to_5km,nearest_mart,n_mart_in_1km,n_mart_in_1km_to_2km,n_mart_in_2km_to_3km,n_mart_in_3km_to_5km,n_pre_school_in_1km_to_2km,n_pre_school_in_2km_to_3km,n_pre_school_in_3km_to_5km,n_secondary_school_in_1km_to_2km,n_secondary_school_in_2km_to_3km,n_secondary_school_in_3km_to_5km,n_primary_school_in_1km,n_primary_school_in_1km_to_2km,n_primary_school_in_2km_to_3km,n_primary_school_in_3km_to_5km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_seven_eleven_in_2km_to_3km,n_seven_eleven_in_3km_to_5km,n_resturant_in_1km,n_resturant_in_1km_to_2km,n_resturant_in_2km_to_3km,n_resturant_in_3km_to_5km,n_super_market_in_1km,n_super_market_in_1km_to_2km,n_super_market_in_2km_to_3km,n_super_market_in_3km_to_5km,n_borey_in_1km_to_2km,n_borey_in_2km_to_3km,n_borey_in_3km_to_5km,n_bank_in_2km_to_3km,n_bank_in_3km_to_5km,nearest_atm,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,population,median_price_per_m2,mean_price_per_m2,max_price_per_m2,min_price_per_m2,category_name_Condo,category_name_Land/Development,category_name_Villa,price
1,1,68,66,10,33,44,76,14,20,26,82,13,48,22,21,35,15,9,2,14,28,38,27,12,33,46,22,20,32,2,13,20,28,11,40,46,8,17,47,42,19,8,14,28,25,29,1,4,11,8,5,15,41,72,27,31,16252,2131,2596,8870,66,1,0,0,4488
0,10,448,71,15,49,50,60,5,23,42,73,38,43,14,5,47,5,7,5,18,39,27,20,25,19,41,15,18,31,7,12,16,36,14,30,49,8,14,32,72,6,4,24,27,16,29,1,0,13,2,4,18,39,84,23,20,39519,1609,1995,5000,71,0,0,1,32000
0,0,5000,73,5,3,9,24,5,13,17,37,0,0,0,6,3,3,8,0,0,0,1,2,2,3,8,4,3,8,3,9,4,24,0,7,20,3,6,0,0,0,0,0,1,3,8,3,5,20,0,2,0,0,1,0,5,6724,804,848,1666,73,0,1,0,368000
3,4,5825,76,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,444000
1,1,1000,79,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,1,0,0,79800
1,1,1050,85,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,89775
0,0,739,87,0,18,51,89,0,3,21,87,0,20,44,42,54,21,12,0,0,31,20,46,6,18,49,9,21,32,0,5,7,39,4,14,49,7,18,1,75,33,8,0,18,34,31,0,2,8,12,11,0,0,68,62,43,2125,1700,2381,5357,87,0,0,0,64800
0,0,2401,89,1,6,10,36,1,9,9,51,0,0,0,1,0,0,7,0,0,0,0,14,3,5,27,2,4,21,0,1,1,19,1,0,11,3,9,0,0,0,2,0,1,1,13,4,6,13,1,3,0,0,0,1,13,2822,89,89,89,89,0,1,0,216000
0,0,2368,90,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,668,308,308,526,90,0,1,0,213120
0,0,1141,91,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,104968
1,2,128,93,12,31,33,82,6,24,26,70,1,12,45,53,8,11,65,2,2,18,23,48,21,16,19,11,16,28,7,8,18,28,10,10,59,4,19,2,16,14,83,6,17,21,38,0,6,22,7,12,1,5,15,39,109,18375,2092,2396,6250,93,0,0,0,12000
0,0,15390,95,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,0,0,1462050
2,2,2546,98,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,250000
0,0,1830,98,0,1,1,10,1,2,5,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,1,1,3,9,0,0,0,0,0,0,0,874,145,145,192,98,0,1,0,180000
1,1,1000,100,14,45,43,69,4,17,39,80,17,47,30,10,52,18,7,5,13,39,21,27,15,18,41,17,15,33,4,13,15,39,14,14,58,7,13,13,63,30,3,13,35,16,22,1,1,17,6,3,7,21,80,46,25,18149,2485,2756,6300,100,0,0,0,100000
0,0,7960,100,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,751,100,100,100,100,0,1,0,796000
0,0,480,104,11,31,45,77,14,21,26,82,11,49,23,21,36,15,9,2,12,29,39,27,12,35,44,22,22,30,2,13,20,28,11,40,46,8,17,42,47,19,8,13,28,26,30,1,4,11,8,5,14,37,77,27,31,16252,2131,2596,8870,66,0,0,0,50000
0,0,800,106,15,49,27,81,4,27,29,74,5,38,40,24,15,47,20,0,11,26,31,34,25,11,28,21,15,28,2,14,16,33,13,12,58,7,14,12,19,56,31,10,30,26,23,2,1,24,12,4,3,9,36,73,57,13796,2708,2727,6000,106,0,0,0,85000
1,1,833,108,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,1,0,0,89990
0,0,3379,110,0,6,6,15,1,8,9,36,0,0,0,1,2,2,7,0,0,0,0,1,0,0,5,0,2,7,0,4,3,15,0,0,8,3,5,0,0,0,0,0,0,0,5,3,1,14,0,0,0,0,0,0,1,2554,315,655,1973,110,0,1,0,371690
0,0,12000,110,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,1,0,1320000
4,5,855,119,1,0,1,12,1,1,5,20,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,5,2,1,3,7,0,0,1,1,4,0,0,0,0,0,0,0,3,6,7,14,0,0,0,0,0,0,0,5794,119,119,119,119,0,0,0,102000
0,0,1980,119,0,0,0,5,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,672,158,410,952,119,0,1,0,237000
0,0,27481,120,0,2,0,15,1,4,2,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,1,3,9,0,0,2,0,6,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,0,0,0,2310,1329,1382,2941,120,0,1,0,3297720
0,0,6016,120,0,0,5,25,3,7,6,31,0,0,0,0,0,0,1,0,0,0,0,5,3,1,10,0,1,11,0,1,0,3,0,1,6,1,8,0,0,0,0,0,0,1,5,2,5,12,1,2,0,0,0,0,6,3341,1478,1310,2333,120,0,1,0,721920
0,0,3213,125,0,2,0,15,1,4,2,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,1,3,9,0,0,2,0,6,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,0,0,0,2310,1329,1382,2941,120,0,1,0,401625
0,0,500,130,0,6,6,15,1,8,9,36,0,0,0,1,2,2,7,0,0,0,0,1,0,0,5,0,2,7,0,4,3,15,0,0,8,3,5,0,0,0,0,0,0,0,5,3,1,14,0,0,0,0,0,0,1,2554,315,655,1973,110,0,1,0,65000
0,0,7266,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,130,130,130,130,0,1,0,944580
0,0,1339,138,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,1,0,185000
0,0,533,140,0,6,6,15,1,8,9,36,0,0,0,1,2,2,7,0,0,0,0,1,0,0,5,0,2,7,0,4,3,15,0,0,8,3,5,0,0,0,0,0,0,0,5,3,1,14,0,0,0,0,0,0,1,2554,315,655,1973,110,0,1,0,74620
2,2,950,142,17,53,32,72,7,27,26,85,20,52,24,13,37,39,6,6,13,35,25,27,23,10,38,27,14,27,7,17,20,35,18,12,60,6,14,15,36,60,4,10,32,22,23,2,0,20,8,4,8,12,68,67,27,18149,2485,2756,6300,100,0,0,0,135000
0,0,136,147,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,0,0,20000
0,0,5345,150,12,31,33,82,6,24,26,70,1,12,45,53,8,11,65,2,2,18,23,48,21,16,19,11,16,28,7,8,18,28,10,10,59,4,19,2,16,14,83,6,17,21,38,0,6,22,7,12,1,5,15,39,109,18375,2092,2396,6250,93,0,1,0,801750
0,0,3094,150,0,6,6,15,1,8,9,36,0,0,0,1,2,2,7,0,0,0,0,1,0,0,5,0,2,7,0,4,3,15,0,0,8,3,5,0,0,0,0,0,0,0,5,3,1,14,0,0,0,0,0,0,1,2554,315,655,1973,110,0,1,0,464100
0,0,2075,150,0,6,6,15,1,8,9,36,0,0,0,1,2,2,7,0,0,0,0,1,0,0,5,0,2,7,0,4,3,15,0,0,8,3,5,0,0,0,0,0,0,0,5,3,1,14,0,0,0,0,0,0,1,2554,315,655,1973,110,0,1,0,311250
0,0,16000,150,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,94,150,150,150,150,0,1,0,2400000
1,1,560,151,0,4,2,16,2,5,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4,0,1,0,14,0,1,3,0,5,0,0,0,0,0,1,0,3,6,6,22,0,1,0,0,0,0,0,1386,416,577,1322,151,0,0,0,85000
4,5,540,157,2,0,2,10,2,2,6,19,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,2,2,0,1,2,8,0,0,1,2,3,0,0,0,0,0,0,0,1,0,4,9,0,1,0,0,0,0,0,4190,203,203,250,157,0,0,1,85000
0,0,600,158,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,672,158,410,952,119,0,1,0,95000
0,0,1149,159,14,49,25,75,5,25,25,71,5,28,48,24,16,42,24,0,9,26,29,37,25,11,27,17,20,26,2,12,18,30,11,13,57,7,14,9,21,48,39,9,28,27,23,1,2,22,10,5,3,6,36,67,64,13796,2708,2727,6000,106,0,0,0,183151
0,0,9330,160,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,1146,160,160,160,160,0,1,0,1492800
0,0,1508,165,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,0,0,248820
0,0,1500,166,2,9,7,50,0,12,5,31,1,1,0,19,0,2,17,0,0,1,1,18,1,2,32,5,0,22,0,4,3,13,0,0,9,1,10,0,0,1,22,0,2,1,28,2,5,5,1,4,0,0,1,0,28,8223,1875,2100,6333,166,0,1,0,250000
0,0,32428,168,0,16,9,41,1,18,19,64,0,2,2,10,3,3,8,0,0,0,0,20,1,2,22,3,4,23,1,10,19,32,6,9,60,1,12,0,0,0,1,0,4,4,13,2,9,22,0,1,0,0,2,0,13,6234,1309,1405,2739,168,0,1,0,5447904
2,0,1700,170,3,19,29,86,2,10,26,71,0,12,24,67,15,47,22,1,2,15,22,58,3,11,60,9,13,35,2,4,6,37,5,7,70,9,17,0,32,52,29,2,3,27,47,1,1,15,9,14,2,3,35,70,60,11327,1762,1961,6160,170,1,0,0,289231
0,0,1099,171,2,9,7,50,0,12,5,31,1,1,0,19,0,2,17,0,0,1,1,18,1,2,32,5,0,22,0,4,3,13,0,0,9,1,10,0,0,1,22,0,2,1,28,2,5,5,1,4,0,0,1,0,28,8223,1875,2100,6333,166,0,1,0,189000
0,0,560,175,3,17,22,79,3,16,15,54,0,0,11,75,2,3,48,0,1,3,10,54,9,20,31,8,13,30,0,10,8,28,1,5,29,6,16,0,4,7,52,1,4,16,45,2,7,13,1,14,0,0,4,13,88,22796,2197,2200,4767,175,0,0,0,98391
0,0,4559,179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,483,179,179,179,179,0,1,0,820000
0,0,3400,180,0,2,3,11,0,3,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,2,0,0,1,1,4,0,0,0,0,0,0,0,2,3,2,19,0,0,0,0,0,0,0,1551,1548,1749,5902,180,0,1,0,612000
0,0,5589,180,14,32,49,62,1,9,53,57,14,29,44,22,27,39,12,3,5,32,29,32,16,19,27,16,16,34,4,13,15,31,11,11,54,11,12,7,34,64,4,13,23,30,20,1,2,16,12,4,2,14,39,89,33,7658,2530,2764,8500,31,0,1,0,1006020
0,0,900,190,0,1,1,3,0,2,4,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,2,0,0,0,0,0,0,0,0,1,6,13,0,0,0,0,0,0,0,2075,190,190,190,190,0,1,0,171000
0,0,4539,190,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,1,0,862410
1,0,400,190,3,7,26,73,1,4,12,54,0,1,13,75,0,46,36,0,0,3,25,48,1,3,43,2,9,34,0,1,8,22,0,5,38,8,12,0,0,75,37,2,1,15,53,0,2,7,5,16,0,1,4,66,89,1037,1378,1126,1559,190,0,0,0,76000
0,0,1219,192,0,1,1,10,1,2,5,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,1,1,3,9,0,0,0,0,0,0,0,874,145,145,192,98,0,1,0,235000
0,0,1388,194,0,0,0,3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1122,194,194,194,194,0,1,0,270000
0,0,26000,195,0,2,0,15,1,4,2,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,1,3,9,0,0,2,0,6,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,0,0,0,2310,1329,1382,2941,120,0,0,0,5070000
0,0,2,195,0,2,0,15,1,4,2,28,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,4,1,1,3,9,0,0,2,0,6,0,0,0,0,0,0,0,3,7,6,16,0,0,0,0,0,0,0,2310,1329,1382,2941,120,0,1,0,507
2,0,1336,195,2,10,8,60,1,17,17,79,0,0,1,13,2,4,8,0,0,1,4,23,5,11,32,3,6,25,0,2,5,41,0,15,61,4,13,0,0,1,1,1,2,7,20,6,7,14,0,4,0,1,0,5,22,2630,1974,1833,3424,195,0,0,0,261050
0,0,1242,195,0,0,2,4,0,2,3,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,762,195,195,195,195,0,0,0,243000
0,0,4500,197,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,0,0,890000
0,0,4500,197,0,0,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,735,1090,1090,1984,197,0,1,0,890000
0,0,1,200,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,1,0,200
0,0,10000,200,3,19,29,86,2,10,26,71,0,12,24,67,15,47,22,1,2,15,22,58,3,11,60,9,13,35,2,4,6,37,5,7,70,9,17,0,32,52,29,2,3,27,47,1,1,15,9,14,2,3,35,70,60,11327,1762,1961,6160,170,0,1,0,2000000
2,2,443,203,3,13,24,59,4,26,23,82,1,0,5,26,1,6,8,0,1,2,3,34,5,19,27,7,9,24,1,5,20,34,14,25,41,7,8,0,0,2,3,1,6,8,22,2,9,15,2,9,0,1,2,6,31,3626,1376,1427,3658,203,0,0,0,90000
0,0,274,203,12,36,37,85,13,20,35,76,4,36,49,22,5,36,47,3,9,23,30,38,26,16,33,14,30,22,4,17,21,35,7,24,62,4,18,4,18,28,68,9,20,29,35,3,3,18,9,7,3,6,28,59,83,23239,2343,2717,6465,30,0,1,0,56000
0,0,1416,210,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,443,210,210,210,210,0,1,0,297360
0,0,409,210,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,86,987,1749,4050,210,0,1,0,86000
0,0,188,212,9,24,41,91,6,25,28,76,4,17,49,42,5,11,73,2,4,21,23,48,13,29,29,7,28,29,2,17,21,37,8,20,68,7,16,4,7,21,87,6,12,26,48,2,7,14,11,11,3,6,14,44,109,27697,1442,2016,4687,212,0,0,0,40000
0,0,256,214,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,214,214,214,214,0,1,0,54999
0,0,1493,220,21,46,44,69,8,30,34,76,10,64,22,15,19,55,13,6,14,22,38,25,37,13,31,31,13,26,3,18,21,36,16,25,57,10,11,4,30,73,12,11,31,29,24,3,0,19,10,3,3,12,51,85,31,23250,2250,2488,5312,220,0,1,0,328460
3,3,4800,229,0,7,6,17,0,4,8,13,0,1,1,2,0,0,5,0,0,0,0,5,1,2,3,0,2,6,0,0,1,6,0,1,1,2,1,0,0,0,1,0,0,2,5,7,3,5,0,1,0,0,0,0,4,1099,1666,1295,2240,229,0,0,0,1100000
0,0,803,230,2,2,2,42,2,9,6,42,0,0,0,5,0,0,2,0,0,0,0,6,0,0,15,1,1,17,1,0,5,21,1,1,11,1,10,0,0,0,7,1,0,0,13,5,9,24,0,1,0,0,0,0,11,3259,1478,1453,3888,230,0,1,0,184690
5,6,1480,233,4,12,23,79,5,15,39,95,0,3,4,53,2,2,16,0,0,2,11,39,7,8,52,5,7,39,5,9,18,49,18,32,39,5,19,0,0,0,11,2,4,7,39,4,6,22,0,12,1,0,1,9,44,11748,1576,2128,3787,233,0,0,0,345000
0,0,325,246,0,4,7,26,0,4,6,58,0,0,1,1,1,3,5,0,0,0,0,0,0,1,7,0,3,8,1,4,4,30,0,1,11,1,10,0,0,0,0,0,0,2,7,3,4,25,0,1,0,0,0,0,2,11389,521,613,1211,246,0,0,0,80000
0,0,1218,246,6,27,37,87,0,17,26,63,4,20,54,30,40,12,15,2,7,25,17,53,5,18,60,14,17,32,0,9,10,33,8,10,64,4,20,35,49,18,16,4,23,26,34,0,4,10,11,6,2,24,68,47,36,5351,1728,2180,6461,25,0,1,0,300000
0,0,3681,250,1,1,3,15,2,4,8,28,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,0,0,6,0,0,4,14,0,0,1,2,3,0,0,0,0,0,0,0,2,2,1,11,0,0,0,0,0,0,1,188,250,250,250,250,0,1,0,920250
0,0,1631,250,0,2,3,11,0,4,8,25,0,0,0,0,0,3,4,0,0,0,0,0,0,0,2,0,2,4,0,1,2,10,0,0,1,2,3,0,0,0,0,0,0,0,2,0,4,11,0,0,0,0,0,0,1,4190,203,203,250,157,0,1,0,407750
0,0,19800,250,0,10,36,56,2,6,14,42,0,1,9,61,2,9,55,1,0,1,7,53,4,18,29,4,9,27,3,3,5,23,1,5,18,11,12,0,1,12,67,0,4,10,53,6,4,9,3,10,0,0,0,16,91,11754,1842,1943,5537,250,0,1,0,4950000
0,0,3319,250,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,250,250,250,250,0,1,0,829750
