Unnamed: 0,id,price_display,bedrooms,bathrooms,land_area,information,address_subdivision,address_locality,address_line_2,category_name,is_parent,type,source_url,language,latitude,longitude
186,211664,1500000,,,8,"Duplex Penthouse 3-Bedroom Condominium for Sale in front of AEON Mall 1, Tonle Bassac 3 bedroom 3 bathroom 1 living room 1 dining area 1 balcony Asking Price: USD 1,500.000 (Negotiable) Unit Size:  382,8  sqm Floor :31, Room 05 Face: North East Amentities and facilities: ? Revolving Sky Bar on Top of The Building ? Revolving Wonderful Japanese Restaurant ? Swimming Pool ? Gym/ Fitness Center ? Steam and Sauna ? Panoramic and City View ? Good Security and Video/Camera Security ?Fire Alarm, Alarm System and Fire Sprinkler System",Phnom Penh,Chamkarmon,Tonle Bassac,Condo,FALSE,residential,https://www.realestate.com.kh/211664/,en,11.54932726,104.9313733
1715,186580,24000,3,3,8,"Town House For Sale Near Somnornng Market /T'S HOME Real Estate Phnom Penh ??Property ID : TS-159 ??Room Type: 4 Bedroom ??Bathroom : 3 ?? Price : 480,000USD ?? Land Size : 80? ?? House Size : 64? Location : Toul Kork Area",Phnom Penh,Toul Kork,Tuek L'ak 2,House,FALSE,residential,https://www.realestate.com.kh/186580/,en,11.57,104.89
2636,212136,1500000,3,3,8,"Duplex Penthouse 3-Bedroom Condominium for Sale in front of AEON Mall 1, Tonle Bassac 3 bedroom 3 bathroom 1 living room 1 dining area 1 balcony Asking Price: USD 1,500.000 (Negotiable) Unit Size:  382,8  sqm Floor :31 Face: North East Amentities and facilities: ? Revolving Sky Bar on Top of The Building ? Revolving Wonderful Japanese Restaurant ? Swimming Pool ? Gym/ Fitness Center ? Steam and Sauna ? Panoramic and City View ? Good Security and Video/Camera Security ?Fire Alarm, Alarm System and Fire Sprinkler System",Phnom Penh,Chamkarmon,Tonle Bassac,Apartment,FALSE,residential,https://www.realestate.com.kh/212136/,en,11.54738871,104.9298671
2726,211832,1500000,,,8,"Duplex Penthouse 3-Bedroom Condominium for Sale in front of AEON Mall 1, Tonle Bassac 3 bedroom 3 bathroom 1 living room 1 dining area 1 balcony Asking Price: USD 1,500.000 (Negotiable) Unit Size:  382,8  sqm Floor :31, Room 05 Face: North East Amentities and facilities: ? Revolving Sky Bar on Top of The Building ? Revolving Wonderful Japanese Restaurant ? Swimming Pool ? Gym/ Fitness Center ? Steam and Sauna ? Panoramic and City View ? Good Security and Video/Camera Security ?Fire Alarm, Alarm System and Fire Sprinkler System",Phnom Penh,Chamkarmon,Tonle Bassac,Condo,FALSE,residential,https://www.realestate.com.kh/211832/,en,11.54692792,104.930178
2731,218350,1500000,3,3,8,"Duplex Penthouse 3-Bedroom Condominium for Sale in front of AEON Mall 1, Tonle Bassac 3 bedroom 3 bathroom 1 living room 1 dining area 1 balcony Asking Price: USD 1,500.000 (Negotiable) Unit Size:  382,8  sqm Floor :31, Room 05 Face: North East Amentities and facilities: ? Revolving Sky Bar on Top of The Building ? Revolving Wonderful Japanese Restaurant ? Swimming Pool ? Gym/ Fitness Center ? Steam and Sauna ? Panoramic and City View ? Good Security and Video/Camera Security ?Fire Alarm, Alarm System and Fire Sprinkler System",Phnom Penh,Chamkarmon,Tonle Bassac,Apartment,FALSE,residential,https://www.realestate.com.kh/218350/,en,11.55201822,104.9308583
3901,226736,138000,,,10.61,"Unit 01-128 – Floor Size: 10.61 Square meters – Floor Level: 1 – Ownership: Hard Title – Selling price: 138,000$ – GRR per year at 5% = $6,900",Phnom Penh,Chamkarmon,Tonle Bassac,Retail,FALSE,commercial,https://www.realestate.com.kh/226736/,en,11.5445,104.913586
867,206925,205000,4,5,12,"Villa for sale (LA) in Borey Peng Hout Steng Meanchey, Meanchey district. Need to sell urgently. * Price only: 205,000 dollars (negotiable) *This price plus a free transfer *Land size: 5,1m x 18,5m * House size: 5,1m x 12m * The front land is 5m, and the back land is 1.5m * 4 bedrooms 5 bathrooms * House turning towards: north - Location: Good location in Borey Peng Hout Steung Meanchey, about 800m from the nose of Steungmeanchey pig - Civilized living, safe, comfortable and full of big projects, markets and condos - Bank installment for 20 years but require 30% of the house upfront.",Phnom Penh,Meanchey,Stueng Mean chey,Villa,FALSE,residential,https://www.realestate.com.kh/206925/,en,11.53,104.91
906,212031,85000,2,3,12,"LC1 villa in Borey Piphop Thmey, Kour Srov 3, Dongkor district, need to sell urgently. * Price only: $ 85,000 (negotiable) *This price includes the transfer of ownership * Land size: 4,1m x 18,5m * House size: 4,1m x 12m * Left front land 5m and back land 1,5m * 2 Bedrooms & 3 Bathrooms * home facing : north side * Brand new house clean - Location: 2 minutes from rice roundabout - Civilized lifestyle, safe, comfortable and full of big projects, markets and condos. - Can pay installment through bank for 20 years but need to pay 30% of the house price in advance.",Phnom Penh,Dangkao,Dangkao,Villa,FALSE,residential,https://www.realestate.com.kh/212031/,en,11.48,104.9
1584,207628,85000,2,3,12,"LC1 villa in Borey Piphup Thmey, Kour Srov 3, Dongkor Khan. Need to sell urgently. * Price only: $85,000 (negotiable) *This price plus a free transfer *Land size: 4.1m x 18,5m * House size: 4,1m x 12m * 5m front land and 1.5m back land left * 2 bedrooms and 3 bathrooms * House turning towards: north * New house is clean - Location: 2 minutes from the Rice Roundabout - Civilized living, safe, comfortable and full of big projects, markets and condos - Bank installment for 20 years but require 30% of the house upfront.",Phnom Penh,Dangkao,Dangkao,Villa,FALSE,residential,https://www.realestate.com.kh/207628/,en,11.48,104.9
1061,243721,86000,3,4,13,"There are 3 bedrooms, 1 living room and 4 bathrooms, 5m wide, 13m long, located in Khan Prek Phnov",Phnom Penh,Prek Pnov,Ponsang,Villa,FALSE,residential,https://www.realestate.com.kh/243721/,en,11.65710273,104.8589625
3071,214643,270000,,,16,Sale for price 270000$ negotiate Rent for rent 500 negotiate Full furniture Size 4.2 x 16 m2,Phnom Penh,Chbar Ampov,Nirouth,Flat,FALSE,residential,https://www.realestate.com.kh/214643/,en,11.52274659,104.9568376
533,231371,95000,1,1,17,"Condo in BKK1 for sale ?? Selling Price $95,000 (Include Hard title) ?? Located on Street 57cross 322 BKK1 area ?? 1 Bed, 1Bath, Big-Living-room, Kitchen ?? Net size: 48,17m2 ?? Gross size: 61.03m2 ?? Fully Furnished ?? Total Floor: 13/3F ?? Facing to North ?? Swimming pool, Lift, and Car parking… ? 5 minutes from AEON mall Phnom Penh ? In premium area (BKK1) surrounding by restaurant, coffer shop, international school, bank etc..",Phnom Penh,Chamkarmon,BKK 1,Apartment,FALSE,residential,https://www.realestate.com.kh/231371/,en,11.55089467,104.9253506
642,222668,85000,1,1,17,"This is one of the most affordable and spacious 1 bedroom apartment for sale in BKK1 *Unit Type: 1 bedroom, 1 living room, kitchen, private balcony *Unit Size: Net size: 48,17m2, Gross size: 61.03m2 *Sale Price: $85,000 *Include furniture *Facilities: Swimming pool, Lift, and Car parking… *Ownership: Hard Title/Freehold *Condition: Completed project *Buy Now, Move in Now! ***Best for Living and Long Term Investment***",Phnom Penh,Chamkarmon,BKK 1,Apartment,FALSE,residential,https://www.realestate.com.kh/222668/,en,11.5445,104.913586
4155,246888,787410,,,19,"Warehouse Land Value Under Market Near Passis 2, Sales: $ 390 / M2. Chao2, Por Sen Chey, Phnom Penh (Borey Sone Phnh (Borey Sone Porn Land Land Land Land Land Land Land Land Land Land Street in the City, Housing: 2,019M2 Hard Title ? Price: $ 390 / m2 negotiate ? Income: $ 1,850 / month",Phnom Penh,Por Sen Chey,Chaom Chau 2,Warehouse,FALSE,commercial,https://www.realestate.com.kh/246888/,km,11.69853238,104.9796822
415,142374,69500,3,3,20,"Our homes and lots are large, each home includes a bundle of included features, our community includes a pool and large parks, and our prices are 2-3x less than most property developers in the city. The quality building standards are above average in the marketplace. Borey House has a full-time engineer on-site at all times checking each benchmark of building construction. Properties ID: 1106 There is a special discount "" Borey Villa Luxury For Sale Urgent !!! The first project -> Regency Villa -> Prices range from $ 69,500 up -> Land size : 10m x 20sqm -> House size 8m x 10.5m (2 floors) 3Bedroom,3Bathroom, 1Livingroom, 1Kitchen -> In Borey there is a -------swimming pool, garden, playground, tennis court and gym -> Contact now for more information and discounts:",Phnom Penh,Por Sen Chey,Snaor,Villa,FALSE,residential,https://www.realestate.com.kh/142374/,en,11.579236,104.773168
3714,245762,34000,1,1,20.6,"Condo for sale Property code: ACD24-029 Price: 34,000$ (Can negotiation) Floor Floor: 13F Gross size Common area: 20.6m² Net size Interior area: 14.52m² Property type Listing type: Studio room Bathroom Bathroom: 1 Location Address: Tuol Kouk district, Phnom Penh",Phnom Penh,Toul Kork,Boeung Kak 1,Condo,FALSE,residential,https://www.realestate.com.kh/245762/,zh-CN,11.537783,104.920235
84,212704,71000,2,3,21,"Flat in Borey Keanghot, Dongkor District, need to sell urgently. * Price only: $71,000 (negotiable) *This price includes transfer of title * Land size: 4,1 m x 21 m * House size: 4,1m x 15,5m * Left 4,5m front land and 1m back * 2 bedrooms 3 bathrooms * home facing : south * Provides materials such as: water motor - Location: Good location, about 300m from Agricultural Village University and 350m from Chamkar Dong bus stop. - Civilized lifestyle, safe, comfortable and full of big projects, markets and condos. - Can pay installment through bank for 20 years but need to pay 30% of the house price in advance.",Phnom Penh,Dangkao,Dangkao,Flat,FALSE,residential,https://www.realestate.com.kh/212704/,en,11.48,104.9
276,207009,73800,2,3,21,"Flat in Borey Keanghat, Dongkor district. Need to sell urgently. *Price only: 73,800 dollars (negotiable) *this price plus transfer of title ownership *Land size: 4,1m x 21m * House size: 4,1m x 15,5m * Left of land 4,5m front and 1m back left * 2 bedrooms 3 bathrooms * heading home: south side *Provide materials such as: Water motor - Location: Good location, about 300m from Phomin Agricultural University and 350m from Chomkar Doung stop - Civilized living, safe, comfortable and full of big projects, markets and condos - Bank installment for 20 years but require 30% of the house upfront.",Phnom Penh,Dangkao,Dangkao,Flat,FALSE,residential,https://www.realestate.com.kh/207009/,en,11.48,104.9
2541,206944,109900,3,2,22,"House (corner) at Boeung Tompun, Meanchey district, need to sell urgently. * Price only: 109,900 dollars (negotiable) *this price plus transfer of title ownership *Land size: 9,2m x 11m * House size: 8,2m x 9m *2m front land left, and 1m side left * 3 bedrooms 2 bathrooms * House facing : west side -  Location: Good location, about 150m from 371 road and about 350m from Pesay market - Civilized living, safe, comfortable and full of big projects, markets and condos - Bank installment for 20 years but require 30% of the house upfront.",Phnom Penh,Meanchey,Boeung Tumpun,House,FALSE,residential,https://www.realestate.com.kh/206944/,en,11.55,104.93
245,235555,150000,2,2,23,"[Two Bedrooms Condominium Urgent Sale] ??LOCATION: Orkide The Royal Street 2004 ??Price: $150,000 • Property ID: S-C287 - Total Area: 95,23sqm - Floor: 6th - Bedrooms 02 (include queen spring bed) - Bathrooms 02 Furniture offer: bed, sofa in living room, television, dining table, refrigerator, washing machine, 3 air conditioners Facilities: Big swimming pool, gym area, garden Nice place for living, security, good environment.",Phnom Penh,Sen Sok,Ou Baek K'am,Condo,FALSE,residential,https://www.realestate.com.kh/235555/,en,11.55010161,104.8763087
525,231136,175000,2,2,23,"Two Bedrooms Condominium For Sale In Orkide The Royal Street 2004 Selling Price: $175,000 (negotiable) Property ID: S-C287 Net Size: 95,23sqm Floor: 6th - Bedrooms 02 (include queen spring) - Bathrooms 02 View: City Street 2004 Materials offer: Bed, sofa set in the living room, one television, dining table, refrigerator, washing machine, 3 Air-conditioners Facilities: Big swimming pool, gym area, garden It's nice place for living, security, officer and good environment.",Phnom Penh,Sen Sok,Ou Baek K'am,Condo,FALSE,residential,https://www.realestate.com.kh/231136/,en,11.55870281,104.8798378
2194,249116,30000,1,1,23,"Condo for sale Property code: ACD25-018 Price Price: 30,000$(Can negotiation) Gross size Common area: 23m² Net size Interior area: 17.5m² Property type Listing type: Studio Bathroom Bathroom: 1 Location Address: Sen Sok District, Phnom Penh",Phnom Penh,Sen Sok,Phnom Penh Thmey,Condo,FALSE,residential,https://www.realestate.com.kh/249116/,zh-CN,11.575837,104.9201
3571,244269,60000,1,1,25,"Discover a comfortable studio unit for rent in the heart of BKK 1, Phnom Penh’s bustling city center. Situated on the 8th floor , this 25sqm unit offers a fully furnished living space, perfect for city living. It includes a bedroom , bathroom , and kitchen , making it a convenient and cozy home. Enjoy free Wi-Fi , cable TV , and trash collection as part of your rent. The building features a swimming pool and a gym for your leisure and fitness needs. 24-hour security and electrical backup power ensure your safety and comfort. Please note, electricity is billed at $0.30 per kWh , and water usage is $0.30 per m³ . Located near key attractions like the Independence Monument, Olympic National Stadium, riverside, Royal Palace, and AEON Mall Phnom Penh, you'll have easy access to a variety of restaurants, coffee shops, and retail stores . Don’t miss out on this convenient city living opportunity. Contact us today to schedule a viewing! Key Features: • 25sqm Studio Unit, on 8th floor • Fully Furnished • 1 Bathroom • Free Wi-Fi & Cable TV • Free Trash Collection • Swimming Pool & Gym • 24-Hour Security • Electrical Backup Power • Electricity fee $0.30/kWh, Water usage $0.30/m³ • Close to Major Attractions and Amenities • Prime Location in BKK 1",Phnom Penh,Chamkarmon,BKK 1,Studio,FALSE,residential,https://www.realestate.com.kh/244269/,en,11.54669152,104.9250385
3373,240477,58847,1,1,25.72,"Condo for sale Property code: ACD23-060 Price Price: 58,847$ (Can negotiation) Floor Floor: 13F Gross size Common area: 25.72m2 Property type Listing type: Studio room Bathroom Bathroom: 1 Location Address: Tuol Kouk district, Phnom Penh",Phnom Penh,Toul Kork,Boeung Kak 1,Condo,FALSE,residential,https://www.realestate.com.kh/240477/,zh-CN,11.5445,104.913586
747,149429,139000,,,27.45,"Luxury, well-developed condominium project in the heart of BKK 1, Phnom Penh's most exclusive residential neighbourhood. This project has been designed to a Japanese standard of quality and follows the great British construction code to guarantee investors with a product that will last a lifetime. Each unit ranging from the studio through to Penthouse is available fully furnished and ready to lease or re-sale. The living spaces have been carefully designed to suit the busy lifestyles of today's modern professionals. This project is a home that offers premium comforts in both the bedrooms and outside amenities. Complementing its carefully designed interiors are amenities that enhance true urban living with all comfort available. Residential options include a studio, 1-bedroom, 2-bedroom, and a penthouse - each one fully furnished to any buyer's satisfaction. Top-end amenities include a pool and fitness area well within reach and equipped with the latest exercise machines. In addition, a concierge service with warm and personable staff act as an extension of the project's signature living experience. And its around-the-clock services and security promises residents a worry-free life. Outside the projects, the Central Business District of Daun Penh is close by, along with international schools and other everyday essentials for any individual or family. studio = 27.45sqm – 36.12 sqm 1 bed = 40.44 sqm – 52.71 sqm 2 bed = 68.36 sqm – 76.05 sqm Penthouse = 143.37 sqm – 153.69 sqm Fo more information contact Knight Frank Cambodia.",Phnom Penh,Chamkarmon,BKK 1,Condo,FALSE,residential,https://www.realestate.com.kh/149429/,en,11.5505657,104.9277582
3346,238783,91000,,,27.45,"- $91,000.00 - 27.45m2 - 7th floor - 1 bedroom - 1 kitchen - 1 bathroom - 1 Living room",Phnom Penh,Chamkarmon,BKK 1,Apartment,FALSE,residential,https://www.realestate.com.kh/238783/,en,11.55021594,104.9273963
2699,238778,72450,1,1,27.5,- Net Area 27.5m2 - Gross Area 40.40m2 - 21th floor - 1 bedroom - 1 kitchen - 1 bathroom - 1 Living room,Phnom Penh,Chamkarmon,Tonle Bassac,Condo,FALSE,residential,https://www.realestate.com.kh/238778/,en,11.54730344,104.9308059
3515,238852,123240,1,1,27.67,"- $76,000.00 - 27.67m2 - 6th floor - 1 bedroom - 1 kitchen - 1 bathroom - 1 Living room",Phnom Penh,Chamkarmon,BKK 1,Condo,FALSE,residential,https://www.realestate.com.kh/238852/,en,11.55022679,104.9272982
2087,243321,49500,1,1,27.95,"Experience modern urban living in Toul Kork's bustling district with this studio condo on the 6th floor . Spanning 27.95 square meters , this fully furnished unit includes essential furniture and appliances, ensuring immediate comfort. It comes with a hard title , offering peace of mind for ownership. Located at No. 608, Toul Kork, this condo is surrounded by renowned amenities including TK Avenue and Aeon 2 malls, popular coffee shops like Starbucks and Brown Coffee, as well as international schools and commercial hubs. Ideal for singles or couples seeking convenience and accessibility in a vibrant urban setting. Key Features: ? Floor: 6th floor ? Unit type: Studio condo ? Area: 27.95 square meters ? Delivery standard: fully furnished, with some furniture and appliances ? Title: Hard title ? Location: No. 608, Toul Kork ? Close proximity to restaurants, malls, coffee shops, international schools, and commercial buildings",Phnom Penh,Toul Kork,Boeung Kak 2,Condo,FALSE,residential,https://www.realestate.com.kh/243321/,en,11.572623,104.89913
107,181700,230000,2,2,28,"House for Sale Near National Museum in Daun Penh, Phnom Penh./T’S HOME Real Estate Phnom Penh. - Price : 230,000$ (Negotiable) - House Size: 4m × 28m = 28? - Bedroom  : 2 - Bathroom : 2",Phnom Penh,Daun Penh,Phsar Chas,Retreat,FALSE,residential,https://www.realestate.com.kh/181700/,en,11.57561,104.92025
838,202335,56000,1,1,28,"This studio condo for sale features a mezzanine bedroom area and a refreshing cityscape view from floor-to-ceiling windows. It measures 28 sqm., a space-efficient and stylish city abode perfect for personal use or investment for rental income. It includes a straight kitchen with built-in sink and exhaust into the utility counter, and a brilliantly lit interior courtesy of the huge windows. The en suite bathroom is located close to the kitchen, while the designated bedroom area gets plenty of privacy on the mezzanine level, where you’ll find attached shelving and cabinets. It’s a great space for exercising minimalist living, whether the buyer intends to live here. It could also be an eye-catching accommodation offered AirBNB style. Found in Royal Park Condo, tenants and owners can also enjoy access to a rooftop infinity pool and well-equipped gym. It is located in Boeung Kak 1, Toul Kork, Phnom Penh, four (4) minutes from TK Avenue Mall, the Singapore International Academy, and Samaki Market, seven (7) minutes from the Royal University of Phnom Penh (RUPP) Campus 2, the Olympia Mall, and the Old Stadium, and 12 minutes from the Royal Palace, the Russian Market, and Phnom Penh International Airport.",Phnom Penh,Toul Kork,Boeung Kak 1,Apartment,FALSE,residential,https://www.realestate.com.kh/202335/,en,11.55,104.93
1300,243160,22372,,,28,"Land for Sale Urgent ? Near Aeon2, Phnom Penh ??Size : 82,28 m2 m2 ??Price : $790/m2 ??Description : This property is a vacant land, warehouses, construction, housing, or other businesses ..... ??Location : Phnom Penh Thmey, Sen Sok, Phnom Penh ———————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————————— ??Description: This property is vacant land, warehouse, construction, housing or other business... ??Position: Teme, Sensu, Phnom Penh —————————————————————— ??????????????????? ????????????? ?????... ???????? : 82,28 m2 ????????? : $790/m2 ????????? : ?.??????????? ?.??????? ??????????????",Phnom Penh,Sen Sok,Kouk Khleang,Land/Development,FALSE,residential,https://www.realestate.com.kh/243160/,zh-CN,11.57864739,104.8528578
1313,243026,6500000,,,28,"???????????? ? ???????? AEON II ???????????????????????? ?????? ?????????????? ?????... ???????? : 82,28 m2 ?????????? : $850/m2 ???????? : ?.??????????? ?.?????? ?????????????? --------------------------------- Land for Sale Urgent ? ??Size : 82,28 m2 m2 ??Price : $ 850 / m2 ? ??: Phnom Penh yey, sen sok, Phnom Penh",Phnom Penh,Sen Sok,Kouk Khleang,Land/Development,FALSE,residential,https://www.realestate.com.kh/243026/,km,11.57875834,104.8526245
2090,243623,54000,1,1,28,"This studio condo is for sale in Royal Park Condo, located in the popular Toul Kork district. The unit is 28sqm with a hard title and is situated on the 7th floor . It comes fully furnished , including one bedroom , one bathroom , a living room , and a kitchen . This property is ideal for both living and investment. The location is excellent, close to many famous restaurants, malls like TK Avenue, branded coffee shops like Starbucks and Brown Coffee, retail stores, international schools such as Paragon International University and Western International School, as well as commercial buildings and residential villas. Don't miss this opportunity! Contact us today to view the property. Key Features: • 28sqm (Hard title) • 7th Floor • Fully furnished • One bedroom • One bathroom • Living room • Kitchen • Located in Toul Kork district • Close to restaurants, malls, coffee shops, retail stores, schools, and more",Phnom Penh,Toul Kork,Boeung Kak 2,Studio,FALSE,residential,https://www.realestate.com.kh/243623/,en,11.58003487,104.8936276
3670,208606,77000,4,5,28,"Flat (E0E1) near Pes market, Meanchey district, urgent sale * Price only: 77,000 dollars (negotiable) *this price plus transfer of title ownership * Land size: 4,2m x17,5m * House size: 4,2m x 14m * 1.5m of the front land, and 2m of the back land left * 4 bedrooms 5 bathrooms * house facing direction: east - Location: Good location near Pese market about 150m and down from street 371 about 300m - Civilized living, safe, comfortable and full of big projects, markets and condos - Can pay installment through bank for 20 years but need to pay 30% of the house price in advance.",Phnom Penh,Meanchey,Stueng Mean chey,Flat,FALSE,residential,https://www.realestate.com.kh/208606/,en,11.53,104.91
4048,228827,1500000,,,28,"- Address: Commune Boeng Keng Kang I, District Boeng Keng Kang , Phnom Penh - Land area :  4m x 7m - Built up area : 4m x 5.5m - Floors ( s ) : 5 - Price : $1,500,000",Phnom Penh,Chamkarmon,BKK 1,other,FALSE,commercial,https://www.realestate.com.kh/228827/,en,11.5445,104.913586
