,address_subdivision,address_locality,address_line_2,h_id,category_name,type,price_per_m2,land_area,price,longitude,latitude,population
48,Phnom Penh,Daun Penh,Srah Chak,8865846aadfffff,Villa,residential,5000.0,88,440000.0,104.91899968577832,11.576777652651637,16252.0
49,Phnom Penh,Daun Penh,Srah Chak,8865846aadfffff,Villa,residential,5000.0,88,440000.0,104.91899968577832,11.576777652651637,16252.0
50,Phnom Penh,Daun Penh,Srah Chak,8865846aadfffff,Villa,residential,5000.0,88,440000.0,104.91899968577832,11.576777652651637,16252.0
51,Phnom Penh,Russey Keo,Chrang Chamres I,88658468c9fffff,Twin Villa,residential,3545.49,42,148910.58,104.89925852242845,11.590816022849685,8037.0
52,Phnom Penh,Russey Keo,Chrang Chamres I,88658468c9fffff,Twin Villa,residential,3545.49,42,148910.58,104.89925852242845,11.590816022849685,8037.0
53,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a51fffff,Twin Villa,residential,1618.77,118,191014.86,104.96337887163695,11.521543669688597,3342.0
54,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a51fffff,Twin Villa,residential,1618.77,118,191014.86,104.96337887163695,11.521543669688597,3342.0
55,Phnom Penh,Dangkao,Dangkao,8865846183fffff,House,residential,1457.89,104,151620.56,104.85586669011143,11.504792791714067,2310.0
56,Phnom Penh,Dangkao,Dangkao,8865846183fffff,House,residential,1457.89,104,151620.56,104.85586669011143,11.504792791714067,2310.0
57,Phnom Penh,Chamkarmon,Boeung Trabek,8865846ac1fffff,Land/Development,residential,1800.94,118,212510.92,104.9194745412886,11.539767860813527,18375.0
58,Phnom Penh,Chamkarmon,Boeung Trabek,8865846ac1fffff,Land/Development,residential,1800.94,118,212510.92,104.9194745412886,11.539767860813527,18375.0
59,Phnom Penh,Chamkarmon,Boeung Trabek,8865846ac1fffff,Land/Development,residential,1800.94,118,212510.92,104.9194745412886,11.539767860813527,18375.0
60,Phnom Penh,Chamkarmon,Boeung Trabek,8865846ac1fffff,Land/Development,residential,1800.94,118,212510.92,104.9194745412886,11.539767860813527,18375.0
61,Phnom Penh,Chroy Changvar,Chroy Changvar,886586a699fffff,Villa,residential,341.33,98,33450.34,104.93747136186515,11.70363443201748,1681.0
62,Phnom Penh,Dangkao,Cheung Aek,8865846183fffff,Twin Villa,residential,1227.14,72,88354.08,104.85427787649002,11.503965266884855,2310.0
63,Phnom Penh,Dangkao,Cheung Aek,8865846183fffff,Twin Villa,residential,1227.14,72,88354.08,104.85427787649002,11.503965266884855,2310.0
64,Phnom Penh,Toul Kork,Boeung Salang,8865846ab1fffff,Retreat,residential,3671.88,82,301094.16000000003,104.89188332919994,11.573438847978599,5039.0
65,Phnom Penh,Toul Kork,Boeung Salang,8865846ab1fffff,Retreat,residential,3671.88,82,301094.16000000003,104.89188332919994,11.573438847978599,5039.0
66,Phnom Penh,Toul Kork,Boeung Salang,8865846ab1fffff,Retreat,residential,3671.88,82,301094.16000000003,104.89188332919994,11.573438847978599,5039.0
67,Phnom Penh,Toul Kork,Boeung Salang,8865846ab1fffff,Retreat,residential,3671.88,82,301094.16000000003,104.89188332919994,11.573438847978599,5039.0
68,Phnom Penh,Chamkarmon,Toul Tum Poung 1,8865846ac3fffff,Land/Development,residential,3498.0,114,398772.0,104.9095207215741,11.5386790838927,27697.0
69,Phnom Penh,Chamkarmon,Toul Tum Poung 1,8865846ac3fffff,Land/Development,residential,3498.0,114,398772.0,104.9095207215741,11.5386790838927,27697.0
70,Phnom Penh,Chamkarmon,Toul Tum Poung 1,8865846ac3fffff,Land/Development,residential,3498.0,114,398772.0,104.9095207215741,11.5386790838927,27697.0
71,Phnom Penh,Chamkarmon,Toul Tum Poung 1,8865846ac3fffff,Land/Development,residential,3498.0,114,398772.0,104.9095207215741,11.5386790838927,27697.0
72,Phnom Penh,Chamkarmon,Toul Tum Poung 1,8865846ac3fffff,Land/Development,residential,3498.0,114,398772.0,104.9095207215741,11.5386790838927,27697.0
73,Phnom Penh,Dangkao,Dangkao,88658461e1fffff,House,residential,2739.13,98,268434.74,104.89319798509447,11.505489541697047,3259.0
74,Phnom Penh,Meanchey,Boeung Tumpun,8865846ac1fffff,Condo,residential,1251.44,92,115132.48000000001,104.92598016648897,11.53764191560622,18375.0
75,Phnom Penh,Meanchey,Boeung Tumpun,8865846ac1fffff,Condo,residential,1251.44,92,115132.48000000001,104.92598016648897,11.53764191560622,18375.0
76,Phnom Penh,Meanchey,Boeung Tumpun,8865846ac1fffff,Condo,residential,1251.44,92,115132.48000000001,104.92598016648897,11.53764191560622,18375.0
77,Phnom Penh,Meanchey,Boeung Tumpun,8865846ac1fffff,Condo,residential,1251.44,92,115132.48000000001,104.92598016648897,11.53764191560622,18375.0
78,Phnom Penh,Chbar Ampov,Nirouth,8865846a51fffff,Flat,residential,3475.15,88,305813.2,104.95916679210562,11.52534724771429,3342.0
79,Phnom Penh,Chbar Ampov,Nirouth,8865846a51fffff,Flat,residential,3475.15,88,305813.2,104.95916679210562,11.52534724771429,3342.0
80,Phnom Penh,7 Makara,Veal Vong,8865846a33fffff,Condo,residential,2600.0,68,176800.0,104.94733025506831,11.562492427801013,58.0
81,Phnom Penh,7 Makara,Veal Vong,8865846a33fffff,Condo,residential,2600.0,68,176800.0,104.94733025506831,11.562492427801013,58.0
82,Phnom Penh,7 Makara,Veal Vong,8865846a33fffff,Condo,residential,2600.0,68,176800.0,104.94733025506831,11.562492427801013,58.0
83,Phnom Penh,Toul Kork,Phsar Depou I,8865846ab1fffff,Flat,residential,4861.11,40,194444.4,104.8904868936461,11.572740318504366,5039.0
84,Phnom Penh,Toul Kork,Phsar Depou I,8865846ab1fffff,Flat,residential,4861.11,40,194444.4,104.8904868936461,11.572740318504366,5039.0
85,Phnom Penh,Toul Kork,Phsar Depou I,8865846ab1fffff,Flat,residential,4861.11,40,194444.4,104.8904868936461,11.572740318504366,5039.0
86,Phnom Penh,Toul Kork,Phsar Depou I,8865846ab1fffff,Flat,residential,4861.11,40,194444.4,104.8904868936461,11.572740318504366,5039.0
87,Phnom Penh,Meanchey,Boeung Tumpun,8865846addfffff,Apartment,residential,1144.74,60,68684.4,104.90439202063935,11.526814841479442,24762.0
88,Phnom Penh,Meanchey,Chak Angrae Leu,8865846123fffff,Twin Villa,residential,2279.29,44,100288.76,104.93303842459629,11.51663806010579,9638.0
89,Phnom Penh,Por Sen Chey,Kamboul,8865846ac1fffff,Shophouse,residential,863.64,104,89818.56,104.92071886579556,11.537349263865032,18375.0
90,Phnom Penh,Por Sen Chey,Kamboul,8865846ac1fffff,Shophouse,residential,863.64,104,89818.56,104.92071886579556,11.537349263865032,18375.0
91,Phnom Penh,Por Sen Chey,Kamboul,8865846ac1fffff,Shophouse,residential,863.64,104,89818.56,104.92071886579556,11.537349263865032,18375.0
92,Phnom Penh,Por Sen Chey,Kamboul,8865846ac1fffff,Shophouse,residential,863.64,104,89818.56,104.92071886579556,11.537349263865032,18375.0
93,Phnom Penh,Russey Keo,Tuol Sangke,88658468c5fffff,Condo,residential,2500.0,54,135000.0,104.89881617385518,11.600887067854927,4612.0
94,Phnom Penh,Russey Keo,Tuol Sangke,88658468c5fffff,Condo,residential,2500.0,54,135000.0,104.89881617385518,11.600887067854927,4612.0
95,Phnom Penh,Chamkarmon,Toul Svay Prey 1,8865846ac7fffff,House,residential,3575.89,32,114428.48,104.92204880222974,11.539841107841458,23239.0
96,Phnom Penh,Chamkarmon,Toul Svay Prey 1,8865846ac7fffff,House,residential,3575.89,32,114428.48,104.92204880222974,11.539841107841458,23239.0
97,Phnom Penh,Chamkarmon,Toul Svay Prey 1,8865846ac7fffff,House,residential,3575.89,32,114428.48,104.92204880222974,11.539841107841458,23239.0
98,Phnom Penh,Chamkarmon,Toul Svay Prey 1,8865846ac7fffff,House,residential,3575.89,32,114428.48,104.92204880222974,11.539841107841458,23239.0
99,Phnom Penh,Chamkarmon,Toul Svay Prey 1,8865846ac7fffff,House,residential,3575.89,32,114428.48,104.92204880222974,11.539841107841458,23239.0
100,Phnom Penh,Chamkarmon,Toul Svay Prey 1,8865846ac7fffff,House,residential,3575.89,32,114428.48,104.92204880222974,11.539841107841458,23239.0
101,Phnom Penh,Meanchey,Chak Angrae Kraom,886584610dfffff,Land/Development,residential,1674.6,68,113872.79999999999,104.9402712415684,11.498579088334095,5303.0
102,Phnom Penh,Chbar Ampov,Chbar Ampov I,8865846a51fffff,Villa,residential,1773.63,76,134795.88,104.95990061331946,11.528392776381207,3342.0
103,Phnom Penh,Chbar Ampov,Chbar Ampov I,8865846a51fffff,Villa,residential,1773.63,76,134795.88,104.95990061331946,11.528392776381207,3342.0
104,Phnom Penh,Sen Sok,Kouk Khleang,88658468d3fffff,Villa,residential,1039.26,68,70669.68,104.85994013335235,11.589284655040935,3707.0
105,Phnom Penh,Por Sen Chey,Kakap,8865846ae9fffff,other,commercial,986.84,86,84868.24,104.93372883728944,11.549670904002161,7658.0
106,Phnom Penh,Por Sen Chey,Kakap,8865846ae9fffff,other,commercial,986.84,86,84868.24,104.93372883728944,11.549670904002161,7658.0
107,Phnom Penh,Toul Kork,Tuek L'ak 3,8865846ab9fffff,Villa,residential,1818.18,58,105454.44,104.88803095051085,11.56322961798904,15901.0
108,Phnom Penh,Toul Kork,Tuek L'ak 3,8865846ab9fffff,Villa,residential,1818.18,58,105454.44,104.88803095051085,11.56322961798904,15901.0
109,Phnom Penh,Toul Kork,Tuek L'ak 3,8865846ab9fffff,Villa,residential,1818.18,58,105454.44,104.88803095051085,11.56322961798904,15901.0
110,Phnom Penh,Toul Kork,Tuek L'ak 3,8865846ab9fffff,Villa,residential,1818.18,58,105454.44,104.88803095051085,11.56322961798904,15901.0
111,Phnom Penh,Chamkarmon,Boeung Trabek,8865846ae9fffff,Villa,residential,3076.34,68,209191.12,104.93603596618979,11.551080250070951,7658.0
112,Phnom Penh,Chamkarmon,Boeung Trabek,8865846ae9fffff,Villa,residential,3076.34,68,209191.12,104.93603596618979,11.551080250070951,7658.0
113,Phnom Penh,Dangkao,Dangkao,886584611bfffff,House,residential,2822.21,46,129821.66,104.90146963133226,11.47936825915037,1551.0
114,Phnom Penh,Daun Penh,Phsar Thmei II,8865846aadfffff,Condo,residential,3547.67,94,333480.98,104.9197109149013,11.577397962684275,16252.0
115,Phnom Penh,Daun Penh,Phsar Thmei II,8865846aadfffff,Condo,residential,3547.67,94,333480.98,104.9197109149013,11.577397962684275,16252.0
116,Phnom Penh,Daun Penh,Phsar Thmei II,8865846aadfffff,Condo,residential,3547.67,94,333480.98,104.9197109149013,11.577397962684275,16252.0
117,Phnom Penh,Daun Penh,Phsar Thmei II,8865846aadfffff,Condo,residential,3547.67,94,333480.98,104.9197109149013,11.577397962684275,16252.0
118,Phnom Penh,Daun Penh,Phsar Thmei II,8865846aadfffff,Condo,residential,3547.67,94,333480.98,104.9197109149013,11.577397962684275,16252.0
119,Phnom Penh,Daun Penh,Phsar Thmei II,8865846aadfffff,Condo,residential,3547.67,94,333480.98,104.9197109149013,11.577397962684275,16252.0
120,Phnom Penh,Chbar Ampov,Nirouth,8865846a53fffff,House,residential,1644.37,104,171014.47999999998,104.95221504881448,11.523698670808036,3952.0
121,Phnom Penh,Chbar Ampov,Preaek Thmei,886584612dfffff,House,residential,3194.44,68,217221.92,104.94837026816349,11.519818804216932,8223.0
122,Phnom Penh,Chbar Ampov,Preaek Thmei,886584612dfffff,House,residential,3194.44,68,217221.92,104.94837026816349,11.519818804216932,8223.0
123,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a5dfffff,Unit,residential,1330.06,58,77143.48,104.97306387948423,11.526965111921687,1099.0
124,Phnom Penh,Prek Pnov,Ponhea Pon,8865846d5dfffff,Unit,residential,766.36,96,73570.56,104.81393110137063,11.599144407658969,2903.0
125,Phnom Penh,Russey Keo,Russey Keo,88658469dbfffff,Land/Development,residential,3000.0,104,312000.0,104.90593915433274,11.631526687343081,2574.0
126,Phnom Penh,Russey Keo,Russey Keo,88658469dbfffff,Land/Development,residential,3000.0,104,312000.0,104.90593915433274,11.631526687343081,2574.0
127,Phnom Penh,Russey Keo,Russey Keo,88658469dbfffff,Land/Development,residential,3000.0,104,312000.0,104.90593915433274,11.631526687343081,2574.0
128,Phnom Penh,Chroy Changvar,Chroy Changvar,8865846831fffff,Shophouse,residential,3787.88,72,272727.36,104.92644260927796,11.624595258676521,1971.0
129,Phnom Penh,Chroy Changvar,Chroy Changvar,8865846831fffff,Shophouse,residential,3787.88,72,272727.36,104.92644260927796,11.624595258676521,1971.0
130,Phnom Penh,Chroy Changvar,Chroy Changvar,886584698bfffff,Retreat,residential,514.91,64,32954.24,104.9112147419891,11.655766488734963,1785.0
131,Phnom Penh,Chamkarmon,BKK 1,8865846aadfffff,Apartment,residential,2778.11,80,222248.80000000002,104.92432531254703,11.574231660922814,16252.0
132,Phnom Penh,Chamkarmon,BKK 1,8865846aadfffff,Apartment,residential,2778.11,80,222248.80000000002,104.92432531254703,11.574231660922814,16252.0
133,Phnom Penh,Chamkarmon,BKK 1,8865846aadfffff,Apartment,residential,2778.11,80,222248.80000000002,104.92432531254703,11.574231660922814,16252.0
134,Phnom Penh,Chamkarmon,BKK 1,8865846aadfffff,Apartment,residential,2778.11,80,222248.80000000002,104.92432531254703,11.574231660922814,16252.0
135,Phnom Penh,Chamkarmon,BKK 1,8865846aadfffff,Apartment,residential,2778.11,80,222248.80000000002,104.92432531254703,11.574231660922814,16252.0
136,Phnom Penh,Chamkarmon,BKK 1,8865846aadfffff,Apartment,residential,2778.11,80,222248.80000000002,104.92432531254703,11.574231660922814,16252.0
137,Phnom Penh,Por Sen Chey,Samraong Kraom,8865846ae9fffff,Villa,residential,706.25,108,76275.0,104.93155665761803,11.551070182959036,7658.0
138,Phnom Penh,Por Sen Chey,Samraong Kraom,8865846ae9fffff,Villa,residential,706.25,108,76275.0,104.93155665761803,11.551070182959036,7658.0
139,Phnom Penh,Dangkao,Dangkao,88658461e1fffff,Flat,residential,977.78,86,84089.08,104.88804052346822,11.50655082781708,3259.0
140,Phnom Penh,Dangkao,Pong Tuek,886584611bfffff,Shophouse,residential,2388.66,66,157651.56,104.90378397510825,11.483477026320324,1551.0
141,Phnom Penh,Por Sen Chey,Kakap,8865846ae9fffff,Warehouse,commercial,599.8,80,47984.0,104.92999093052822,11.555119864911521,7658.0
142,Phnom Penh,Por Sen Chey,Kakap,8865846ae9fffff,Warehouse,commercial,599.8,80,47984.0,104.92999093052822,11.555119864911521,7658.0
143,Phnom Penh,Russey Keo,Kilomaetr Lekh Prammuoy,8865846817fffff,Villa,residential,725.0,82,59450.0,104.9124794523409,11.608637421427424,5147.0
144,Phnom Penh,Russey Keo,Tuol Sangke,886584681bfffff,Flat,residential,1780.75,116,206567.0,104.9126466071107,11.591572297408254,29575.0
145,Phnom Penh,Chroy Changvar,Chroy Changvar,8865846819fffff,Condo,residential,1003.2,72,72230.40000000001,104.91939836822672,11.588524105732168,11327.0
146,Phnom Penh,Chroy Changvar,Chroy Changvar,8865846819fffff,Condo,residential,1003.2,72,72230.40000000001,104.91939836822672,11.588524105732168,11327.0
147,Phnom Penh,Chroy Changvar,Chroy Changvar,8865846819fffff,Condo,residential,1003.2,72,72230.40000000001,104.91939836822672,11.588524105732168,11327.0
148,Phnom Penh,Chamkarmon,BKK 3,8865846ae9fffff,Condo,residential,2166.93,116,251363.87999999998,104.92738640143992,11.552324697224664,7658.0
149,Phnom Penh,Chamkarmon,BKK 3,8865846ae9fffff,Condo,residential,2166.93,116,251363.87999999998,104.92738640143992,11.552324697224664,7658.0
150,Phnom Penh,Daun Penh,Chakto Mukh,8865846ae5fffff,Retreat,residential,661.54,54,35723.159999999996,104.93822046060147,11.571169609564095,15603.0
151,Phnom Penh,Daun Penh,Chakto Mukh,8865846ae5fffff,Retreat,residential,661.54,54,35723.159999999996,104.93822046060147,11.571169609564095,15603.0
152,Phnom Penh,Daun Penh,Chakto Mukh,8865846ae5fffff,Retreat,residential,661.54,54,35723.159999999996,104.93822046060147,11.571169609564095,15603.0
153,Phnom Penh,Daun Penh,Chakto Mukh,8865846ae5fffff,Retreat,residential,661.54,54,35723.159999999996,104.93822046060147,11.571169609564095,15603.0
154,Phnom Penh,Por Sen Chey,Phleung Chheh Roteh,8865846e67fffff,Flat,residential,892.86,44,39285.840000000004,104.82743769711878,11.52022626560721,12502.0
155,Phnom Penh,Chroy Changvar,Preaek Lieb,8865846819fffff,Warehouse,commercial,1875.0,94,176250.0,104.92657260597244,11.586471892036691,11327.0
156,Phnom Penh,Chroy Changvar,Preaek Lieb,8865846819fffff,Warehouse,commercial,1875.0,94,176250.0,104.92657260597244,11.586471892036691,11327.0
157,Phnom Penh,Chroy Changvar,Preaek Lieb,8865846819fffff,Warehouse,commercial,1875.0,94,176250.0,104.92657260597244,11.586471892036691,11327.0
158,Phnom Penh,Chamkarmon,BKK 1,8865846ae9fffff,Flat,residential,5616.31,50,280815.5,104.93359040973536,11.553842459258481,7658.0
159,Phnom Penh,Chamkarmon,BKK 1,8865846ae9fffff,Flat,residential,5616.31,50,280815.5,104.93359040973536,11.553842459258481,7658.0
160,Phnom Penh,Toul Kork,Boeung Kak 1,8865846ac7fffff,Shophouse,residential,3214.88,64,205752.32,104.91772445415182,11.549724230615158,23239.0
161,Phnom Penh,Toul Kork,Boeung Kak 1,8865846ac7fffff,Shophouse,residential,3214.88,64,205752.32,104.91772445415182,11.549724230615158,23239.0
162,Phnom Penh,Toul Kork,Boeung Kak 1,8865846ac7fffff,Shophouse,residential,3214.88,64,205752.32,104.91772445415182,11.549724230615158,23239.0
163,Phnom Penh,Toul Kork,Boeung Kak 1,8865846ac7fffff,Shophouse,residential,3214.88,64,205752.32,104.91772445415182,11.549724230615158,23239.0
164,Phnom Penh,Toul Kork,Boeung Kak 1,8865846ac7fffff,Shophouse,residential,3214.88,64,205752.32,104.91772445415182,11.549724230615158,23239.0
165,Phnom Penh,Toul Kork,Boeung Kak 1,8865846ac7fffff,Shophouse,residential,3214.88,64,205752.32,104.91772445415182,11.549724230615158,23239.0
166,Phnom Penh,Russey Keo,Tuol Sangke,88658468a9fffff,Villa,residential,1478.26,116,171478.16,104.88562250583173,11.62583634587043,3341.0
167,Phnom Penh,Russey Keo,Tuol Sangke,88658468a9fffff,Villa,residential,1478.26,116,171478.16,104.88562250583173,11.62583634587043,3341.0
168,Phnom Penh,Sen Sok,Phnom Penh Thmey,8865846aadfffff,Land/Development,residential,2358.78,104,245313.12000000002,104.91987557041509,11.575851576713502,16252.0
169,Phnom Penh,Sen Sok,Phnom Penh Thmey,8865846aadfffff,Land/Development,residential,2358.78,104,245313.12000000002,104.91987557041509,11.575851576713502,16252.0
170,Phnom Penh,Sen Sok,Phnom Penh Thmey,8865846aadfffff,Land/Development,residential,2358.78,104,245313.12000000002,104.91987557041509,11.575851576713502,16252.0
171,Phnom Penh,Sen Sok,Phnom Penh Thmey,8865846aadfffff,Land/Development,residential,2358.78,104,245313.12000000002,104.91987557041509,11.575851576713502,16252.0
172,Phnom Penh,Sen Sok,Phnom Penh Thmey,8865846aadfffff,Land/Development,residential,2358.78,104,245313.12000000002,104.91987557041509,11.575851576713502,16252.0
173,Phnom Penh,Sen Sok,Phnom Penh Thmey,8865846aadfffff,Land/Development,residential,2358.78,104,245313.12000000002,104.91987557041509,11.575851576713502,16252.0
174,Phnom Penh,Chbar Ampov,Preaek Aeng,8865846a41fffff,Unit,residential,1185.19,30,35555.700000000004,104.9807168304751,11.534983591301058,3141.0
175,Phnom Penh,Chbar Ampov,Preaek Aeng,8865846a41fffff,Unit,residential,1185.19,30,35555.700000000004,104.9807168304751,11.534983591301058,3141.0
176,Phnom Penh,Chamkarmon,BKK 2,8865846aebfffff,Twin Villa,residential,4631.58,60,277894.8,104.92521926853804,11.548360094518898,18149.0
177,Phnom Penh,Chamkarmon,BKK 2,8865846aebfffff,Twin Villa,residential,4631.58,60,277894.8,104.92521926853804,11.548360094518898,18149.0
178,Phnom Penh,Chamkarmon,BKK 2,8865846aebfffff,Twin Villa,residential,4631.58,60,277894.8,104.92521926853804,11.548360094518898,18149.0
179,Phnom Penh,Chamkarmon,BKK 2,8865846aebfffff,Twin Villa,residential,4631.58,60,277894.8,104.92521926853804,11.548360094518898,18149.0
180,Phnom Penh,Russey Keo,Tuol Sangkae 1,8865846ae9fffff,Land/Development,residential,1488.1,82,122024.2,104.9293244030412,11.548521767112874,7658.0
