,address_subdivision,address_locality,address_line_2,h_id,price_per_m2,land_area,price,longitude,latitude
41,Phnom Penh,Chamkar Mon,Tonle Basak,8865846a13fffff,4202.5,64,268960.0,104.9374121862677,11.541982309080868
42,Phnom Penh,Mean Chey,Stueng Mean Chey,8865846ad5fffff,1149.39,34,39079.26,104.90057121226913,11.535045969276263
43,Phnom Penh,Pur SenChey,Kakab,8865846f53fffff,1247.34,32,39914.88,104.82307723619152,11.53833305954583
44,Phnom Penh,Chamkar Mon,Phsar Daeum Thkov,8865846135fffff,3213.27,84,269914.68,104.92444347332905,11.520616444421961
45,Phnom Penh,Saensokh,Phnom Penh Thmei,8865846ab3fffff,1407.38,52,73183.76000000001,104.87972926017775,11.576846521300489
46,Phnom Penh,Dangkao,Kong Noy,88658460c5fffff,110.71,72,7971.12,104.85403604782945,11.443132208551328
47,Phnom Penh,Chbar Ampov,Preaek Aeng,8865846a43fffff,1895.93,118,223719.74000000002,104.9741998243698,11.530564387356998
48,Phnom Penh,Praek Pnov,Kouk Roka,8865846d59fffff,746.78,32,23896.96,104.80903314139672,11.590246875266851
49,Phnom Penh,Dangkao,Prey Veaeng,88658460adfffff,389.85,60,23391.0,104.84998476896091,11.47511739302993
50,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a03fffff,3966.54,64,253858.56,104.9587380852515,11.54794536722871
51,Phnom Penh,Mean Chey,Chak Angrae Kraom,886584616bfffff,489.53,50,24476.5,104.95235414822449,11.497519517882017
52,Phnom Penh,Dangkao,Preaek Kampues,886584600bfffff,1103.36,38,41927.67999999999,104.88470342389799,11.433955795738836
53,Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Pir,8865846ac7fffff,5580.91,30,167427.3,104.92024707093,11.545641606109555
54,Phnom Penh,Pur SenChey,Chaom Chau,8865846f5bfffff,727.81,74,53857.939999999995,104.82485858764917,11.531299363591202
55,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a43fffff,1679.12,110,184703.19999999998,104.97369203844757,11.532972461221815
56,Phnom Penh,Pur SenChey,Kakab,8865846f6bfffff,1347.61,66,88942.26,104.86262690486252,11.562609177053881
57,Phnom Penh,Chbar Ampov,Preaek Pra,8865846165fffff,2236.92,38,85002.96,104.96384540375463,11.51067638979351
58,Phnom Penh,Chamkar Mon,Tuol Svay Prey Ti Pir,8865846a8dfffff,1309.41,46,60232.86,104.91440346758417,11.549381606797104
59,Phnom Penh,Mean Chey,Chak Angrae Kraom,8865846105fffff,1958.49,90,176264.1,104.93877933044608,11.505447757534608
60,Phnom Penh,Dangkao,Dangkao,88658461c7fffff,1840.51,114,209818.13999999998,104.87928640487549,11.494134894711067
61,Phnom Penh,Tuol Kouk,Tuek L'ak Ti Pir,8865846ab9fffff,1679.42,94,157865.48,104.89531519666441,11.558970492982455
62,Phnom Penh,Chbar Ampov,Nirouth,8865846a57fffff,2746.84,120,329620.80000000005,104.95449317691292,11.532268319913248
63,Phnom Penh,Dangkao,Dangkao,88658461e1fffff,2769.73,38,105249.74,104.88949157912867,11.506967664929393
64,Phnom Penh,Pur SenChey,Chaom Chau,8865846f0bfffff,1759.12,40,70364.79999999999,104.83223936919113,11.550999549832515
65,Phnom Penh,Doun Penh,Phsar Thmei Ti Pir,8865846ae7fffff,2980.09,88,262247.92000000004,104.92758124394919,11.572560642171323
66,Phnom Penh,Pur SenChey,Trapeang Krasang,8865846c29fffff,330.09,32,10562.88,104.79137109193691,11.584036000703977
67,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a4bfffff,590.52,92,54327.84,104.97448690702709,11.51877692731112
68,Phnom Penh,Chraoy Chongvar,Chrouy Changvar,8865846ae5fffff,1549.61,46,71282.06,104.93251142417549,11.569310572685595
69,Phnom Penh,Doun Penh,Phsar Thmei Ti Bei,8865846ae7fffff,3426.92,86,294715.12,104.92705124274745,11.56622644351809
70,Phnom Penh,Saensokh,Phnom Penh Thmei,8865846f05fffff,917.5,74,67895.0,104.84687452638849,11.564555220622317
71,Phnom Penh,Mean Chey,Stueng Mean Chey,88658461a5fffff,2361.99,108,255094.91999999998,104.88264820780273,11.537563062182995
72,Phnom Penh,Chamkar Mon,Tumnob Tuek,8865846a89fffff,1663.6,48,79852.79999999999,104.91114201690094,11.542324495675958
73,Phnom Penh,Dangkao,Prey Veaeng,88658460a9fffff,835.45,90,75190.5,104.84266006546258,11.470127698241088
74,Phnom Penh,Pur SenChey,Samraong Kraom,8865846c29fffff,323.71,54,17480.34,104.78853690452671,11.576864520995482
75,Phnom Penh,Chbar Ampov,Kbal Kaoh,88658478bbfffff,272.11,82,22313.02,104.97214634678552,11.494877012914445
76,Phnom Penh,Pur SenChey,Chaom Chau,8865846f53fffff,1424.97,74,105447.78,104.8250210391021,11.539979470886667
77,Phnom Penh,Chraoy Chongvar,Bak Kaeng,886586a69bfffff,1150.93,108,124300.44,104.92144657039957,11.70007705814211
78,Phnom Penh,Pur SenChey,Trapeang Krasang,8865846f1bfffff,185.59,60,11135.4,104.81734060136208,11.551436316907694
79,Phnom Penh,Doun Penh,Srah Chak,8865846853fffff,1894.05,44,83338.2,104.92200156051881,11.587158158511093
80,Phnom Penh,Mean Chey,Chak Angrae Leu,886584613dfffff,2828.71,46,130120.66,104.92722474801089,11.517712569139986
81,Phnom Penh,Saensokh,Phnom Penh Thmei,8865846ab7fffff,2690.2,56,150651.19999999998,104.8837895361972,11.580757423686531
82,Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Bei,8865846a8dfffff,2796.74,108,302047.92,104.91574551859435,11.551707383860853
83,Phnom Penh,Pur SenChey,Chaom Chau,8865846e6dfffff,749.63,32,23988.16,104.83707726140165,11.511059963901085
84,Phnom Penh,Tuol Kouk,Boeng Kak Ti Pir,8865846ab7fffff,1419.63,56,79499.28,104.88242929634427,11.578589343636835
85,Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Muoy,8865846aebfffff,3118.31,114,355487.33999999997,104.92233636048005,11.548156431068605
86,Phnom Penh,Chraoy Chongvar,Chrouy Changvar,8865846819fffff,3184.62,80,254769.59999999998,104.92159494222177,11.589089460191573
87,Phnom Penh,Mean Chey,Boeng Tumpun,8865846addfffff,5009.64,82,410790.48000000004,104.90425118595822,11.53047335707043
88,Phnom Penh,Chbar Ampov,Preaek Pra,8865846125fffff,2970.38,92,273274.96,104.94554683986026,11.52699070823874
89,Phnom Penh,Dangkao,Prey Veaeng,886584619bfffff,199.52,62,12370.24,104.83546492911304,11.494546387286857
90,Phnom Penh,Chbar Ampov,Nirouth,8865846a19fffff,1922.95,86,165373.7,104.95207380709013,11.5293567045819
91,Phnom Penh,Prampir Meakkakra,Veal Vong,8865846a81fffff,2945.35,30,88360.5,104.90558914973157,11.550743973057736
92,Phnom Penh,Chraoy Chongvar,Preaek Lieb,88658469bdfffff,262.65,72,18910.8,104.91329429350185,11.67659456908421
93,Phnom Penh,Saensokh,Khmuonh,8865846d65fffff,468.63,106,49674.78,104.84133587206684,11.626673760236397
94,Phnom Penh,Mean Chey,Boeng Tumpun,8865846135fffff,2368.28,32,75784.96,104.91527119910225,11.520263881008146
95,Phnom Penh,Doun Penh,Phsar Chas,8865846aadfffff,4492.12,86,386322.32,104.92261905648157,11.57602537986537
96,Phnom Penh,Russey Keo,Kilomaetr Lekh Prammuoy,88658468c5fffff,2252.16,36,81077.76,104.89640337084408,11.597178587774307
97,Phnom Penh,Praek Pnov,Ponhea Pon,886580d28dfffff,1371.29,72,98732.88,104.79585226634374,11.67849631192586
98,Phnom Penh,Saensokh,Krang Thnong,8865846d61fffff,3377.07,118,398494.26,104.83531743157744,11.624047073831036
99,Phnom Penh,Chbar Ampov,Chhbar Ampov Ti Muoy,8865846125fffff,1747.76,40,69910.4,104.94490705721299,11.52365785145093
100,Phnom Penh,Chraoy Chongvar,Preaek Ta Sek,8865846831fffff,3526.37,102,359689.74,104.9275595163134,11.622945502193707
101,Phnom Penh,Pur SenChey,Kamboul,8865846e23fffff,1604.47,110,176491.7,104.80405690848136,11.534791065146235
102,Phnom Penh,Saensokh,Phnom Penh Thmei,88658468c3fffff,2980.9,90,268281.0,104.89038830449145,11.591845144271526
103,Phnom Penh,Tuol Kouk,Phsar Depou Ti Muoy,8865846a87fffff,2298.21,68,156278.28,104.90422745232033,11.564154498963397
104,Phnom Penh,Chraoy Chongvar,Preaek Lieb,8865846831fffff,3942.02,116,457274.32,104.92868739777667,11.619586317846329
105,Phnom Penh,Tuol Kouk,Boeng Kak Ti Muoy,88658468c1fffff,1831.34,84,153832.56,104.89300008302163,11.592570599756058
106,Phnom Penh,Chbar Ampov,Chhbar Ampov Ti Muoy,8865846a1bfffff,2079.4,76,158034.4,104.94214899357154,11.539834747094503
107,Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a9bfffff,3539.0,106,375134.0,104.87983544786177,11.545316711212942
108,Phnom Penh,Tuol Kouk,Phsar Depou Ti Bei,8865846a87fffff,3286.78,44,144618.32,104.90102338623852,11.564889238887352
109,Phnom Penh,Dangkao,Roluos,8865846019fffff,490.3,54,26476.2,104.87509084332673,11.427706901951499
110,Phnom Penh,Mean Chey,Chak Angrae Leu,8865846ac9fffff,2406.48,52,125136.96,104.9293162652043,11.532155354181096
111,Phnom Penh,Mean Chey,Chak Angrae Kraom,886584612bfffff,1526.27,100,152627.0,104.92956331066816,11.516959929599416
112,Phnom Penh,Chamkar Mon,Tonle Basak,8865846127fffff,1929.06,66,127317.95999999999,104.93191505081514,11.529365178268005
113,Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Muoy,8865846ac3fffff,4130.85,40,165234.0,104.9122642027584,11.532733951743444
114,Phnom Penh,Chamkar Mon,Tuol Tumpung Ti Pir,8865846a89fffff,3622.56,66,239088.96,104.91177771863254,11.54398971921877
115,Phnom Penh,Chbar Ampov,Kbal Kaoh,8865847993fffff,1138.23,66,75123.18000000001,104.99796356160967,11.536590382705493
116,Phnom Penh,Doun Penh,Srah Chak,8865846aa9fffff,3154.84,110,347032.4,104.91762651406508,11.564991871349378
117,Phnom Penh,Doun Penh,Chey Chummeah,8865846ae5fffff,2344.71,36,84409.56,104.93597943416786,11.57103887538504
118,Phnom Penh,Dangkao,Preaek Kampues,8865846005fffff,325.24,60,19514.4,104.89968169982428,11.457575306929662
119,Phnom Penh,Mean Chey,Chak Angrae Kraom,8865846157fffff,1965.66,114,224085.24000000002,104.9160481830354,11.483009754933109
120,Phnom Penh,Tuol Kouk,Boeng Kak Ti Pir,8865846aa3fffff,3255.12,86,279940.32,104.90609398795453,11.57812347257616
121,Phnom Penh,Prampir Meakkakra,Mittapheap,8865846a85fffff,2132.88,102,217553.76,104.90776221327415,11.55923118833545
122,Phnom Penh,Chbar Ampov,Preaek Pra,8865846127fffff,818.21,30,24546.300000000003,104.9316546629104,11.529649180980423
123,Phnom Penh,Doun Penh,Phsar Thmei Ti Muoy,8865846aa9fffff,4396.57,50,219828.5,104.91672468672759,11.563698373996024
124,Phnom Penh,Chbar Ampov,Preaek Pra,886584616dfffff,1428.24,118,168532.32,104.96240383743142,11.497049635809981
125,Phnom Penh,Chraoy Chongvar,Bak Kaeng,886586a693fffff,715.29,110,78681.9,104.91756867720535,11.704286111009745
126,Phnom Penh,Tuol Kouk,Tuek L'ak Ti Bei,8865846ab9fffff,1974.03,68,134234.04,104.88950572146963,11.567875271041602
127,Phnom Penh,Prampir Meakkakra,Mittapheap,8865846aa9fffff,3836.2,64,245516.8,104.91393229455139,11.572310984771732
128,Phnom Penh,Chamkar Mon,Tonle Basak,8865846ac9fffff,902.95,50,45147.5,104.92482781515373,11.523563477903355
129,Phnom Penh,Dangkao,Cheung Aek,8865846027fffff,446.71,98,43777.579999999994,104.89568046396721,11.474816188122574
130,Phnom Penh,Tuol Kouk,Tuek L'ak Ti Bei,8865846a9dfffff,3404.77,88,299619.76,104.89034059759129,11.543673495131959
131,Phnom Penh,Pur SenChey,Kantaok,8865846e6bfffff,2017.27,40,80690.8,104.82275317306839,11.504446651365582
132,Phnom Penh,Chraoy Chongvar,Preaek Lieb,8865846983fffff,2371.96,46,109110.16,104.91135965851521,11.6642490375929
133,Phnom Penh,Tuol Kouk,Boeng Kak Ti Muoy,88658468cbfffff,1639.24,116,190151.84,104.8862280257858,11.586072047572337
134,Phnom Penh,Chbar Ampov,Preaek Aeng,8865846a49fffff,342.01,86,29412.86,104.98496317056755,11.521926965159874
135,Phnom Penh,Prampir Meakkakra,Ou Ruessei Ti Pir,8865846ae3fffff,2793.38,66,184363.08000000002,104.9226311294548,11.556403123577896
136,Phnom Penh,Chraoy Chongvar,Chrouy Changvar,886584681dfffff,4321.18,30,129635.40000000001,104.92946627602586,11.595555300095358
137,Phnom Penh,Russey Keo,Ruessei Kaev,88658468edfffff,1917.12,100,191712.0,104.9076625021327,11.615104688542718
138,Phnom Penh,Chraoy Chongvar,Bak Kaeng,886586a699fffff,334.03,74,24718.219999999998,104.93688189101417,11.702917874683994
139,Phnom Penh,Tuol Kouk,Phsar Daeum Kor,8865846a85fffff,2215.65,72,159526.80000000002,104.9054384965297,11.563397177238574
140,Phnom Penh,Chbar Ampov,Nirouth,8865846a51fffff,1257.03,34,42739.02,104.96526006972702,11.52284646163379
141,Phnom Penh,Doun Penh,Boeng Reang,8865846aa9fffff,3321.82,52,172734.64,104.91877747800503,11.564030976915287
142,Phnom Penh,Pur SenChey,Kakab,8865846f0dfffff,1196.5,104,124436.0,104.85025070791458,11.563976696968416
143,Phnom Penh,Tuol Kouk,Tuek L'ak Ti Bei,8865846a83fffff,2290.5,110,251955.0,104.89106705435293,11.552916220256055
144,Phnom Penh,Pur SenChey,Chaom Chau,8865846f55fffff,444.24,68,30208.32,104.842792967052,11.544608598754476
145,Phnom Penh,Mean Chey,Stueng Mean Chey,8865846a8bfffff,1902.14,66,125541.24,104.90211663418461,11.547450345956749
146,Phnom Penh,Prampir Meakkakra,Veal Vong,8865846a85fffff,2091.15,84,175656.6,104.90543733745352,11.559649924280407
147,Phnom Penh,Russey Keo,Kilomaetr Lekh Prammuoy,88658468e7fffff,1607.11,98,157496.78,104.89854923578532,11.625131376163706
148,Phnom Penh,Chamkar Mon,Tuol Svay Prey Ti Pir,8865846a81fffff,3138.52,98,307574.96,104.90708854514955,11.556348710800671
149,Phnom Penh,Chraoy Chongvar,Bak Kaeng,886586a691fffff,813.74,52,42314.48,104.92606353343884,11.711644587440428
150,Phnom Penh,Pur SenChey,Kantaok,8865846e29fffff,462.76,98,45350.479999999996,104.81801077168015,11.52458966105268
151,Phnom Penh,Dangkao,Prey Sa,886584618dfffff,2850.15,34,96905.1,104.87561899788953,11.500740478359372
152,Phnom Penh,Chraoy Chongvar,Preaek Ta Sek,88658469d7fffff,1615.53,108,174477.24,104.90388915754588,11.645558029081782
153,Phnom Penh,Saensokh,Phnom Penh Thmei,88658468cbfffff,1722.4,90,155016.0,104.88732452075435,11.585798402681943
154,Phnom Penh,Chbar Ampov,Kbal Kaoh,886584616dfffff,1768.82,58,102591.56,104.96019070949271,11.497395932526551
155,Phnom Penh,Pur SenChey,Chaom Chau,88658461abfffff,2370.7,36,85345.2,104.86831584149965,11.515467927837257
156,Phnom Penh,Mean Chey,Chak Angrae Kraom,886584613dfffff,3089.61,64,197735.04,104.92818423152566,11.508780123844014
157,Phnom Penh,Dangkao,Dangkao,8865846113fffff,2229.47,82,182816.53999999998,104.90119484338103,11.494831894970183
158,Phnom Penh,Chraoy Chongvar,Chrouy Changvar,8865846839fffff,1138.54,56,63758.24,104.9321271776028,11.612499531484248
159,Phnom Penh,Pur SenChey,Kakab,8865846f01fffff,1355.66,118,159967.88,104.84126797729422,11.56581363048665
160,Phnom Penh,Russey Keo,Tuol Sangke,88658468c1fffff,2098.12,110,230793.19999999998,104.8983637157263,11.598807784652628
161,Phnom Penh,Chbar Ampov,Preaek Aeng,8865846a4bfffff,610.49,68,41513.32,104.9745289849514,11.5258068701772
162,Phnom Penh,Chbar Ampov,Nirouth,886584612dfffff,4259.89,72,306712.08,104.94820691196738,11.52055355865064
163,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a51fffff,3832.19,50,191609.5,104.96412005449545,11.523225205186389
164,Phnom Penh,Mean Chey,Chak Angrae Leu,8865846135fffff,3453.34,82,283173.88,104.91621527418413,11.521417107227599
165,Phnom Penh,Chraoy Chongvar,Preaek Lieb,8865846815fffff,1821.51,66,120219.66,104.92400443968454,11.605623240533854
166,Phnom Penh,Tuol Kouk,Boeng Salang,8865846a87fffff,4840.11,86,416249.45999999996,104.9041850169235,11.562511741810917
167,Phnom Penh,Dangkao,Cheung Aek,88658461c5fffff,772.19,86,66408.34000000001,104.89077488115892,11.493625328271865
168,Phnom Penh,Russey Keo,Kilomaetr Lekh Prammuoy,88658468e9fffff,1337.54,54,72227.16,104.90228043075236,11.612666444983601
169,Phnom Penh,Chbar Ampov,Veal Sbov,8865846a09fffff,7087.31,50,354365.5,104.97041181539986,11.540231024877334
170,Phnom Penh,Tuol Kouk,Boeng Kak Ti Pir,88658468cbfffff,1895.97,66,125134.02,104.89278657496813,11.585783058776208
171,Phnom Penh,Saensokh,Phnom Penh Thmei,88658468ddfffff,2469.95,92,227235.4,104.88039618691667,11.586176428744258
172,Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Bei,8865846aebfffff,5363.18,74,396875.32,104.92285694699112,11.55562653719228
173,Phnom Penh,Saensokh,Phnom Penh Thmei,88658468d5fffff,1749.57,112,195951.84,104.88009564538406,11.599444427432276
174,Phnom Penh,Russey Keo,Tuol Sangke,8865846819fffff,3263.03,56,182729.68000000002,104.92102303146515,11.588154742770044
175,Phnom Penh,Dangkao,Cheung Aek,8865846113fffff,2001.71,88,176150.48,104.89607925165507,11.496723017963287
176,Phnom Penh,Pur SenChey,Kamboul,8865846e31fffff,175.97,102,17948.94,104.79074587874021,11.525617785045494
177,Phnom Penh,Praek Pnov,Kouk Roka,8865846f35fffff,536.51,36,19314.36,104.83476971662557,11.582530593866347
178,Phnom Penh,Prampir Meakkakra,Ou Ruessei Ti Pir,8865846a85fffff,2250.84,102,229585.68000000002,104.91014633481093,11.563355354080002
179,Phnom Penh,Saensokh,Krang Thnong,8865846f23fffff,2172.84,110,239012.40000000002,104.83956354045122,11.586783253447267
180,Phnom Penh,Praek Pnov,Kouk Roka,8865846d05fffff,2088.34,104,217187.36000000002,104.82033201378145,11.625412829808266
181,Phnom Penh,Chbar Ampov,Nirouth,8865846a1bfffff,2469.97,54,133378.37999999998,104.94370463475812,11.533844842961143
182,Phnom Penh,Doun Penh,Boeng Reang,8865846ae1fffff,2907.46,82,238411.72,104.92439937005507,11.555851302998995
183,Phnom Penh,Dangkao,Tien,88658460c5fffff,104.31,98,10222.380000000001,104.85279243399955,11.438358155513523
184,Phnom Penh,Pur SenChey,Snaor,8865846c29fffff,365.97,70,25617.9,104.7915205005648,11.582609804321633
185,Phnom Penh,Chraoy Chongvar,Preaek Ta Sek,88658469b9fffff,2219.6,112,248595.19999999998,104.89916181288068,11.675699811077672
186,Phnom Penh,Chraoy Chongvar,Chrouy Changvar,8865846851fffff,2329.41,30,69882.29999999999,104.93118204920158,11.5790995218958
187,Phnom Penh,Saensokh,Tuek Thla,8865846ab9fffff,1983.61,94,186459.34,104.89328171784686,11.566237522588798
188,Phnom Penh,Chbar Ampov,Veal Sbov,88658478bbfffff,307.92,64,19706.88,104.96962490733328,11.504163882240755
189,Phnom Penh,Pur SenChey,Kamboul,8865846c5dfffff,364.19,52,18937.88,104.77761423839883,11.541300850474997
190,Phnom Penh,Pur SenChey,Snaor,8865846c2bfffff,280.74,58,16282.92,104.78103646419827,11.58258390971858
191,Phnom Penh,Pur SenChey,Kakab,8865846f1dfffff,1242.91,108,134234.28,104.82888737240172,11.555253044638253
192,Phnom Penh,Saensokh,Tuek Thla,8865846f4dfffff,2840.33,78,221545.74,104.87156908650661,11.545541550379296
193,Phnom Penh,Dangkao,Dangkao,8865846137fffff,1735.95,54,93741.3,104.91286545127673,11.526321725091377
194,Phnom Penh,Chbar Ampov,Preaek Aeng,8865847993fffff,1231.04,56,68938.23999999999,104.99872495193546,11.539844680420902
195,Phnom Penh,Saensokh,Phnom Penh Thmei,8865846f27fffff,1968.09,60,118085.4,104.84204406919025,11.591661180898715
196,Phnom Penh,Chamkar Mon,Phsar Daeum Thkov,8865846ac3fffff,1616.34,98,158401.31999999998,104.91129294778419,11.540095329243986
197,Phnom Penh,Russey Keo,Chrang Chamreh Ti Pir,88658468a9fffff,1269.13,114,144680.82,104.89172854589246,11.62352259271735
198,Phnom Penh,Dangkao,Cheung Aek,88658461cdfffff,1020.05,78,79563.9,104.89093116718269,11.489612003240667
199,Phnom Penh,Chamkar Mon,Boeng Keng Kang Ti Muoy,8865846ae1fffff,3647.79,94,342892.26,104.92829604666395,11.556909750120507
200,Phnom Penh,Chbar Ampov,Preaek Pra,886584616bfffff,411.72,106,43642.32,104.94951847120745,11.496377949795695
201,Phnom Penh,Chbar Ampov,Veal Sbov,88658478b7fffff,1669.57,56,93495.92,104.97662328064524,11.51740183056896
202,Phnom Penh,Pur SenChey,Kamboul,8865846c59fffff,441.12,108,47640.96,104.77219064480599,11.538724254026798
203,Phnom Penh,Mean Chey,Chak Angrae Kraom,886584610dfffff,1684.24,84,141476.16,104.94006786893856,11.500516556674873
204,Phnom Penh,Prampir Meakkakra,Boeng Proluet,8865846ae3fffff,2902.18,88,255391.84,104.92371617616165,11.564349110411468
205,Phnom Penh,Doun Penh,Phsar Kandal Ti Muoy,8865846ae7fffff,3336.38,62,206855.56,104.92476603057558,11.56933083630248
206,Phnom Penh,Saensokh,Phnom Penh Thmei,88658468d7fffff,1160.05,48,55682.399999999994,104.8688554239578,11.597171128607211
207,Phnom Penh,Pur SenChey,Chaom Chau,8865846f57fffff,926.36,60,55581.6,104.82692330169671,11.547147172120816
208,Phnom Penh,Chamkar Mon,Olympic,8865846a8dfffff,4451.57,106,471866.42,104.91284291723782,11.55045203124454
209,Phnom Penh,Praek Pnov,Preaek Phnov,886580d243fffff,2106.61,112,235940.32,104.86399581831267,11.654448818303585
210,Phnom Penh,Saensokh,Khmuonh,8865846d61fffff,2433.93,68,165507.24,104.84356524710303,11.627810578212452
211,Phnom Penh,Chraoy Chongvar,Kaoh Dach,886584698dfffff,1119.16,112,125345.92000000001,104.92524950358579,11.66397047455969
