n_gas_station_in_1km_to_2km,n_borey_in_3km_to_5km,n_pre_school_in_1km,address_line_2,n_atm_in_1km_to_2km,n_super_market_in_1km,n_resturant_in_1km_to_2km,h_id,n_atm_in_3km_to_5km,population,near_Phnom_Penh_Airport_in_km,n_pre_school_in_1km_to_2km,n_cafe_in_1km,near_Phsar_kandal_in_km,n_seven_eleven_in_1km_to_2km,n_university_in_2km_to_3km,n_atm_5km,n_atm_in_1km,near_AEON_Mall_3_in_km,n_university_in_3km_to_5km,price_per_m2
34,12,2,1,101,5,8,453,236,36545.0,8,17,8,2,6,36,810,37,11,37,4708.54
21,10,4,1,30,2,2,339,543,3083.0,7,20,2,4,2,41,645,5,12,46,4257.3
9,10,1,91,10,1,1,178,440,8114.0,10,6,2,4,1,6,555,0,5,24,4863.41
31,14,6,106,130,4,8,440,349,21669.0,7,21,12,3,7,47,785,25,7,42,4864.89
21,22,10,55,95,5,17,464,401,18375.0,8,21,14,3,4,12,755,35,6,60,4641.54
17,9,3,109,222,10,21,311,150,5351.0,10,9,17,0,3,13,810,124,9,65,4724.83
30,20,6,8,235,4,13,436,151,26838.0,7,19,7,2,8,33,815,59,8,32,4699.27
16,14,2,91,25,0,5,468,475,22796.0,10,15,7,4,5,8,625,5,5,27,4768.94
35,19,5,108,196,2,6,436,280,26838.0,7,22,6,3,8,42,810,25,7,37,4821.74
37,16,9,96,124,5,4,463,353,15107.0,7,24,15,3,5,31,825,20,10,28,4147.23
30,17,5,63,380,12,87,454,100,16037.0,8,15,17,1,9,36,830,149,9,30,6586.75
34,13,8,1,137,8,7,451,257,7618.0,7,17,17,3,7,21,815,42,10,38,4944.52
18,12,3,109,344,3,62,456,175,16252.0,9,5,15,1,9,30,815,116,10,59,4268.93
34,21,7,8,250,7,25,436,85,26838.0,7,27,11,2,8,44,815,76,8,33,4759.29
24,22,9,55,70,6,15,464,455,18375.0,9,21,12,3,5,10,735,25,5,59,4358.49
25,12,6,1,67,5,4,343,419,8037.0,7,13,8,3,3,35,765,15,11,43,4315.27
30,18,3,54,382,15,91,438,90,25191.0,8,22,12,1,10,38,825,151,8,32,4946.56
9,19,13,10,166,11,18,466,165,13796.0,9,18,15,2,8,12,775,45,7,58,4753.75
30,13,4,1,203,3,10,453,200,36545.0,8,19,9,2,8,34,815,47,10,36,5058.61
23,12,1,84,338,12,70,454,120,16037.0,9,16,15,1,7,46,830,137,9,39,4846.99
13,25,3,91,30,2,5,468,501,22796.0,9,13,10,4,2,13,651,15,5,36,5022.53
33,12,6,1,50,4,2,343,546,8037.0,7,18,9,4,2,47,695,5,11,39,4419.19
11,9,2,91,15,1,0,178,490,8114.0,10,8,1,4,1,7,625,0,5,25,4882.51
24,22,11,3,100,4,16,467,385,23239.0,8,26,16,3,4,17,765,45,6,57,4801.92
39,20,3,103,184,2,5,436,289,26838.0,7,20,4,3,8,34,815,15,8,28,5042.42
39,12,5,1,213,5,10,451,215,7618.0,7,24,14,2,7,22,825,37,10,38,4874.15
32,15,9,1,86,4,0,459,458,13220.0,7,14,11,3,4,23,810,15,10,35,4395.96
19,22,17,106,115,6,15,467,390,23239.0,8,20,14,3,4,17,775,30,6,68,5175.14
16,6,0,53,236,6,36,311,190,5351.0,10,7,5,0,4,11,785,117,10,63,3432.82
32,11,2,84,284,1,41,450,180,9274.0,8,23,8,2,8,31,830,38,10,35,4133.34
17,20,7,105,30,4,4,469,525,27484.0,8,16,6,4,5,12,680,10,5,61,4704.3
35,16,4,96,219,2,7,439,206,20882.0,7,21,9,2,4,38,830,20,9,21,4638.8
29,12,1,53,381,7,73,456,170,16252.0,9,12,16,1,9,43,825,128,10,43,4860.12
33,21,12,3,292,16,25,483,120,18149.0,8,33,19,2,9,21,800,80,7,59,5610.34
34,16,5,104,220,2,14,436,231,26838.0,7,27,12,2,9,47,810,35,7,37,5082.62
24,13,3,99,65,3,6,440,417,21669.0,7,17,10,3,8,36,785,25,6,54,5815.55
20,12,0,53,276,15,37,456,130,16252.0,9,13,11,1,6,39,820,185,9,45,5354.33
32,24,10,3,143,4,24,467,286,23239.0,8,25,15,2,6,18,775,45,6,60,5208.08
36,20,8,103,283,11,32,442,115,23250.0,8,36,18,2,11,33,805,65,7,52,5941.9
22,11,0,53,250,13,25,456,120,16252.0,9,13,7,0,6,37,815,205,9,47,5655.92
9,14,6,91,159,5,40,416,211,5336.0,10,20,7,1,6,12,760,20,8,42,5996.81
28,21,13,91,90,5,19,464,455,18375.0,9,22,10,3,5,11,740,20,6,56,5331.02
12,12,0,91,15,1,0,413,563,2899.0,12,1,2,3,4,4,658,0,7,22,5176.1
28,15,6,48,343,14,86,454,105,16037.0,8,12,25,1,7,41,830,161,9,35,5568.58
22,21,6,99,85,8,6,465,425,27697.0,8,21,6,3,7,15,745,15,6,65,5487.49
37,19,5,103,214,2,6,436,252,26838.0,7,17,4,3,8,29,815,25,8,29,5273.5
17,15,12,5,362,12,62,483,137,18149.0,9,13,16,1,13,11,785,77,7,55,5714.68
27,23,7,91,143,8,21,466,284,13796.0,9,28,11,2,7,14,760,40,6,57,5600.8
26,18,5,6,339,10,86,438,75,25191.0,8,30,15,1,12,48,820,133,8,32,5650.63
18,14,9,48,302,12,82,479,90,39519.0,9,22,19,1,10,40,815,202,8,40,5785.86
32,14,7,103,248,4,22,442,208,23250.0,7,31,12,2,10,50,810,25,7,34,5584.34
19,23,8,105,65,5,6,464,480,18375.0,8,16,6,3,5,12,725,20,5,59,5342.12
12,18,17,3,130,6,19,466,237,13796.0,10,18,13,2,7,11,760,40,7,55,5583.54
27,15,7,103,237,5,22,440,235,21669.0,7,31,11,2,11,50,810,40,7,37,5647.87
20,18,12,105,100,7,7,465,414,27697.0,8,18,10,3,5,20,760,20,6,69,5797.47
24,19,11,106,149,8,14,440,331,21669.0,8,26,9,3,6,28,785,30,6,61,5345.75
33,21,11,103,278,14,25,442,120,23250.0,8,33,20,2,9,21,800,80,7,59,5991.29
15,14,0,91,70,3,12,414,426,3446.0,11,21,7,2,3,7,690,10,7,23,5663.6
32,18,9,6,245,7,29,442,178,23250.0,8,34,12,2,9,30,795,40,7,57,5095.32
36,17,5,43,363,11,88,454,90,16037.0,8,16,16,1,7,34,830,133,9,34,5244.94
37,19,14,5,342,15,46,483,125,18149.0,8,30,12,1,11,25,810,112,7,55,5296.22
32,21,9,105,254,11,28,467,165,23239.0,8,34,19,2,10,23,795,50,7,57,6316.05
31,14,4,49,368,14,80,454,120,16037.0,8,16,24,1,7,42,830,172,9,32,6417.91
26,9,5,20,277,22,32,481,115,28799.0,9,18,15,0,5,16,805,228,9,56,6737.58
32,18,9,103,312,10,52,442,95,23250.0,8,35,18,1,9,39,815,135,8,41,6551.19
31,18,5,49,350,15,65,479,95,39519.0,8,38,18,1,13,35,815,137,8,43,6387.21
20,20,18,4,142,6,18,467,331,23239.0,8,20,16,3,6,19,775,20,6,67,7096.35
28,16,13,91,432,15,75,478,105,20064.0,9,20,8,1,13,13,805,126,8,61,6423.66
28,20,9,4,120,5,23,466,428,13796.0,9,24,9,3,7,10,735,15,6,51,6953.93
27,14,10,20,389,27,63,478,125,20064.0,9,19,19,0,12,13,805,168,8,59,6347.04
29,20,8,45,310,9,33,442,110,23250.0,8,39,18,2,10,43,810,67,7,43,6542.01
7,17,9,4,219,13,35,482,143,7658.0,9,14,15,1,8,13,785,65,7,55,8115.15
29,24,11,4,183,10,21,467,228,23239.0,9,27,16,2,7,12,785,40,6,59,7351.3
8,17,8,4,176,14,35,482,140,7658.0,9,16,17,2,7,13,780,70,7,55,8065.16
21,20,10,4,149,5,19,466,248,13796.0,9,21,12,2,8,12,765,20,6,58,7943.83
36,18,12,4,358,13,56,483,105,18149.0,8,30,15,1,14,28,810,118,7,50,8165.61
8,12,8,4,216,12,35,482,149,7658.0,10,18,17,1,6,11,780,50,7,54,8134.5
17,10,6,20,200,18,24,481,110,28799.0,9,19,23,0,1,30,815,294,9,50,7241.15
28,23,7,4,193,10,24,467,250,23239.0,8,30,17,2,10,14,780,35,6,64,7747.0
7,15,7,16,250,4,57,484,156,7576.0,10,19,8,1,7,14,755,20,8,45,7689.37
24,15,12,4,417,17,75,478,120,20064.0,9,16,13,1,13,14,800,115,8,58,8365.81
33,23,10,4,233,10,21,467,178,23239.0,8,33,18,2,9,18,785,35,7,62,7685.68
17,6,1,59,224,12,26,311,180,5351.0,10,6,6,0,4,10,795,146,10,61,7756.93
32,19,11,4,233,12,26,467,215,23239.0,8,30,14,2,8,21,795,30,6,60,7697.65
10,17,12,16,229,12,36,483,138,18149.0,9,19,12,2,10,13,785,60,7,56,7805.2
28,22,13,4,204,9,26,467,259,23239.0,8,28,18,2,9,16,780,30,6,67,7760.47
18,10,3,59,221,10,20,311,145,5351.0,10,6,14,0,3,13,805,128,10,64,8415.98
16,10,3,59,252,10,36,311,150,5351.0,10,4,16,0,5,11,805,149,10,64,8162.58
28,18,3,4,339,13,68,479,85,39519.0,8,38,16,1,13,42,820,138,8,37,7783.68
16,6,0,59,237,8,36,311,190,5351.0,10,8,4,0,4,10,785,142,10,63,7646.11
36,20,14,4,344,12,49,483,125,18149.0,9,26,12,1,11,17,810,112,7,62,7892.98
18,8,4,62,270,9,29,481,145,28799.0,10,17,11,0,3,13,810,113,9,64,9110.7
20,10,4,61,234,11,25,481,140,28799.0,10,17,17,0,1,12,810,180,9,64,8935.34
25,14,13,16,422,19,76,478,110,20064.0,9,16,14,1,13,15,805,122,8,58,8141.41
21,10,5,4,293,26,55,478,110,20064.0,9,24,13,0,7,18,805,214,8,56,8229.15
22,9,4,62,248,12,29,481,145,28799.0,10,19,11,0,4,13,810,189,9,63,9612.85
20,11,0,63,255,17,32,456,130,16252.0,9,12,11,0,6,37,820,206,9,47,9230.84
20,9,5,59,233,12,25,481,135,28799.0,9,16,18,0,1,14,810,172,9,62,9892.75
25,10,6,60,244,16,58,481,95,28799.0,9,18,19,0,5,41,815,260,9,42,10025.36
17,11,1,62,236,17,19,456,135,16252.0,9,10,14,0,5,22,815,181,10,56,10123.23
18,10,2,62,241,15,18,456,135,16252.0,9,10,13,0,5,23,815,181,9,55,10140.51
17,10,3,63,232,12,20,481,120,28799.0,9,13,9,0,3,31,815,206,9,51,11218.66
20,8,3,63,267,12,19,481,145,28799.0,10,12,18,0,2,13,810,136,9,64,10500.33
21,8,4,59,193,16,27,481,105,28799.0,9,16,17,0,4,38,815,269,9,46,10526.97
3,14,0,14,0,0,0,165,32,8431.0,11,0,0,7,0,0,36,4,2,3,2233.15
17,8,0,52,4,0,0,692,12,2226.0,2,2,2,9,3,6,16,0,12,17,2563.41
4,24,0,17,0,0,0,223,8,11389.0,2,0,0,10,1,1,8,0,9,10,1818.69
0,0,0,33,0,0,0,824,0,764.0,19,0,0,13,0,0,0,0,22,0,174.3
3,2,0,69,0,0,0,97,0,1285.0,11,0,0,12,1,0,0,0,3,0,226.61
2,4,0,64,0,0,0,139,0,375.0,9,0,0,16,0,0,0,0,11,0,315.94
0,0,0,0,0,0,0,817,0,148.0,22,0,0,17,0,0,0,0,26,0,535.48
0,6,0,70,0,0,0,375,0,161.0,13,0,0,9,0,0,0,0,18,2,1720.86
36,20,6,103,187,4,14,436,92,26838.0,7,17,7,2,8,35,657,48,8,30,5637.93
16,9,6,7,157,16,23,481,96,28799.0,9,18,20,0,2,29,649,196,9,49,6634.31
0,1,0,31,0,0,0,497,0,483.0,9,0,0,19,0,0,0,0,19,0,917.35
0,2,0,67,0,0,0,287,0,689.0,10,0,0,18,0,0,0,0,12,0,1163.23
6,10,1,78,4,0,0,359,108,5598.0,10,3,0,5,1,1,120,0,14,13,1666.32
0,5,0,31,0,0,0,514,0,3039.0,5,0,0,15,0,0,0,0,15,1,1083.14
11,18,1,98,28,2,0,449,404,23197.0,5,9,4,5,3,41,480,4,7,49,3263.23
6,4,0,71,0,0,0,14,0,2118.0,12,0,0,12,1,0,0,0,20,0,951.24
32,16,4,96,132,3,3,439,221,20882.0,7,17,10,3,6,35,661,16,8,24,4432.5
31,15,1,85,36,1,6,471,375,16637.0,7,14,0,5,7,11,451,0,5,73,3390.46
3,6,0,41,0,0,0,715,4,1388.0,3,0,1,11,1,0,4,0,14,5,1245.23
6,11,0,25,0,0,0,325,8,6138.0,10,2,4,8,2,1,8,0,17,3,1223.35
15,9,1,100,24,0,0,293,401,6843.0,9,4,0,4,1,4,497,8,12,63,1427.43
3,10,0,77,0,0,0,87,0,109.0,12,0,0,14,1,0,0,0,6,0,177.18
3,6,0,51,0,0,0,630,0,692.0,5,0,0,14,0,1,0,0,11,0,423.08
27,11,8,106,48,3,2,465,378,27697.0,7,15,13,3,6,18,597,24,6,68,4588.06
0,5,0,34,0,0,0,748,0,35.0,17,0,0,11,0,0,0,0,7,0,474.51
0,0,0,9,0,0,0,256,0,330.0,12,0,0,21,0,0,0,0,16,0,120.56
0,1,0,66,0,0,0,608,0,50.0,10,0,0,18,0,0,0,0,21,0,197.72
0,0,0,9,0,0,0,273,0,24.0,11,0,0,21,0,0,0,0,17,0,148.94
2,5,0,94,0,0,0,528,0,364.0,5,0,0,15,1,0,0,0,17,0,367.85
1,0,0,66,0,0,0,76,0,416.0,15,0,0,22,0,0,0,0,26,0,175.29
1,6,0,39,0,0,0,570,4,851.0,5,0,0,10,0,0,4,0,15,5,899.62
2,2,0,67,0,0,0,143,0,891.0,10,0,0,17,0,0,0,0,12,0,1137.78
0,4,0,39,0,0,0,564,0,1.0,9,0,0,12,0,0,0,0,19,0,757.92
0,4,0,90,0,0,0,249,0,107.0,14,0,0,17,0,0,0,0,9,0,263.02
31,15,6,106,167,6,21,440,209,21669.0,8,30,10,2,12,41,629,32,7,46,5464.32
1,15,0,17,0,0,0,208,0,5794.0,5,0,1,11,0,0,0,0,7,1,1583.96
8,10,7,91,301,7,84,484,138,7576.0,10,15,6,1,7,11,621,45,8,52,6004.97
0,10,0,34,0,0,0,199,0,74.0,14,0,0,8,0,0,4,0,5,0,559.99
8,13,0,52,4,1,0,708,24,987.0,3,1,3,8,1,5,32,0,12,30,2382.97
20,20,7,11,28,4,3,469,424,27484.0,8,16,6,4,5,14,548,8,5,59,2891.31
18,13,2,15,68,2,16,470,382,5626.0,10,25,5,3,6,6,553,4,6,26,2828.6
4,23,0,75,0,0,0,230,0,531.0,7,1,1,9,1,1,0,0,4,3,768.47
0,1,0,31,0,0,0,498,0,314.0,8,0,0,17,0,0,0,0,18,0,1217.41
1,6,0,73,0,0,0,397,4,1716.0,12,1,0,9,2,1,4,0,18,2,665.48
0,16,0,83,0,0,0,240,0,993.0,8,0,0,11,0,0,0,0,4,0,285.03
4,16,0,75,0,0,0,240,0,993.0,8,0,0,11,1,0,0,0,4,1,658.29
6,9,0,41,0,1,0,704,16,1460.0,4,1,0,9,2,1,16,0,14,20,1205.94
17,25,0,98,16,2,0,729,132,4719.0,3,5,1,6,3,24,164,0,10,47,2634.05
11,24,1,85,4,2,0,721,76,10778.0,3,2,0,7,3,19,92,0,8,60,2696.59
0,12,0,75,0,0,0,209,0,3008.0,5,0,0,11,0,0,0,0,8,1,672.59
2,6,0,34,0,0,0,743,0,27.0,18,0,0,11,0,0,0,0,8,1,470.68
4,5,0,14,4,0,0,194,16,5574.0,12,0,0,7,1,0,20,0,4,2,2016.9
5,5,0,39,0,0,0,710,4,1494.0,3,0,1,11,1,0,4,0,14,6,939.9
0,0,0,51,0,0,0,270,0,996.0,10,0,0,18,0,0,0,0,14,0,325.53
1,6,0,69,0,0,0,111,0,663.0,13,0,1,15,0,0,0,0,6,0,262.11
1,1,0,68,0,0,0,788,0,543.0,19,0,0,9,0,1,0,0,12,0,605.07
34,14,5,8,40,0,1,441,432,29434.0,6,15,3,4,4,42,621,8,7,48,3510.57
32,16,10,7,321,12,81,479,80,39519.0,9,27,13,1,13,24,649,87,8,54,5138.96
0,0,0,9,0,0,0,259,0,90.0,13,0,0,22,0,0,0,0,17,0,187.27
4,6,1,107,0,0,0,411,153,1726.0,13,0,4,4,1,1,157,0,8,10,1251.39
1,8,0,81,0,0,0,530,0,137.0,5,0,0,14,1,0,0,0,16,0,368.47
19,12,8,49,226,13,77,454,72,16037.0,9,19,23,1,9,44,653,164,9,38,6316.48
5,29,0,17,0,0,0,720,20,10448.0,2,0,0,9,1,0,20,0,9,24,1940.26
1,16,0,75,0,0,0,208,0,5794.0,4,0,0,10,1,0,0,0,7,3,671.32
0,0,0,66,0,0,0,621,0,461.0,12,0,0,18,0,0,0,0,23,0,232.19
1,8,0,81,0,0,0,574,0,855.0,6,0,0,14,1,0,0,0,17,0,374.14
2,12,0,81,0,0,0,700,4,3163.0,2,0,2,12,0,1,4,0,12,0,578.24
8,6,0,17,0,0,0,638,0,9811.0,3,0,0,13,2,0,0,0,12,0,1467.01
2,9,0,81,0,0,0,715,4,1388.0,2,0,0,11,0,0,4,0,13,7,550.68
27,16,3,42,272,16,88,454,80,16037.0,8,18,18,1,7,40,661,130,9,36,5140.87
3,5,0,39,0,0,0,711,4,531.0,4,0,0,12,1,0,4,0,15,1,895.92
4,12,0,32,0,0,0,667,0,943.0,4,0,0,13,1,0,0,0,11,0,1219.46
11,16,0,15,8,0,1,176,188,9638.0,10,3,3,5,1,2,224,0,4,25,2234.39
31,17,6,108,177,5,27,442,173,23250.0,8,34,7,2,10,38,629,32,7,48,4799.56
0,8,0,70,0,0,0,369,0,8.0,13,0,0,10,0,0,0,0,19,2,1897.92
17,16,1,52,8,0,0,732,72,4408.0,4,6,1,7,1,16,96,4,11,50,2805.0
0,3,0,64,0,0,0,142,0,948.0,10,0,0,17,0,0,0,0,10,0,318.76
3,1,1,107,0,0,0,423,16,3164.0,14,0,0,6,2,0,16,0,8,3,934.99
0,1,0,50,0,0,0,551,0,807.0,10,0,0,19,0,0,0,0,21,0,94.95
0,0,0,80,0,0,0,0,0,247.0,18,0,0,19,0,0,0,0,27,0,204.46
6,10,0,78,8,0,0,304,142,1190.0,12,1,1,5,1,1,158,0,14,12,506.86
10,10,0,35,0,0,0,326,4,2082.0,10,0,0,9,2,0,4,0,17,2,1099.05
0,2,0,66,0,0,0,558,0,21.0,9,0,0,17,0,0,0,0,20,0,197.5
2,8,0,107,0,0,0,425,0,611.0,16,1,0,6,0,0,0,0,9,0,785.18
19,13,2,84,253,3,68,456,132,16252.0,9,5,12,1,8,30,641,89,10,60,4659.89
4,13,0,17,0,0,0,670,0,9223.0,5,0,0,12,1,1,0,0,9,0,1595.95
5,3,0,44,4,0,0,196,72,5394.0,12,2,1,6,0,0,76,0,4,6,1533.28
1,9,0,39,0,0,0,568,0,66.0,6,0,0,11,0,0,0,0,16,1,813.25
19,12,5,63,218,14,76,454,80,16037.0,9,15,24,1,7,44,653,184,9,41,7559.18
1,8,0,77,0,0,0,91,0,791.0,13,0,0,15,0,0,0,0,6,0,221.46
0,15,0,79,0,0,0,159,0,666.0,9,0,0,13,0,0,0,0,6,0,737.12
11,9,1,72,12,1,1,178,338,8114.0,10,6,3,4,1,5,418,0,5,25,991.72
5,13,0,28,0,0,0,725,4,9191.0,1,0,0,11,1,1,4,0,11,5,1853.87
0,15,0,83,0,0,0,102,0,263.0,9,0,0,12,0,0,0,0,5,0,266.61
22,10,1,1,16,1,0,339,397,3083.0,8,13,3,4,1,11,479,8,12,69,2380.29
0,9,0,34,0,0,0,744,0,793.0,17,0,0,10,0,0,0,0,7,0,490.15
0,2,0,0,0,0,0,72,0,436.0,21,0,0,17,0,0,0,0,26,0,714.08
0,0,0,66,0,0,0,590,0,54.0,13,0,0,21,0,0,0,0,24,0,188.17
13,25,4,55,40,4,4,464,394,18375.0,9,16,9,4,3,12,542,8,5,46,3842.18
7,3,0,81,0,0,0,710,8,1494.0,3,0,0,11,2,0,8,0,14,6,553.5
23,14,2,52,8,0,0,707,52,5234.0,3,3,2,8,2,11,64,0,11,52,2661.76
0,1,0,71,0,0,0,23,0,412.0,15,0,0,16,1,0,0,0,24,0,711.07
1,16,0,83,0,0,0,232,0,1664.0,9,0,0,11,0,0,0,0,4,1,282.65
12,11,0,41,4,1,0,708,24,987.0,3,1,3,9,2,5,32,0,12,28,1443.86
0,7,0,39,0,0,0,581,0,1.0,8,0,0,12,0,0,0,0,18,0,740.83
8,19,0,35,0,0,0,318,24,1452.0,6,1,0,8,0,1,28,0,14,26,1206.92
0,19,0,83,0,0,0,102,0,263.0,9,0,0,12,0,0,0,0,5,0,246.25
1,15,0,85,0,1,0,214,48,13304.0,3,0,3,8,0,4,52,0,7,31,2359.92
3,13,0,83,0,0,0,104,0,557.0,11,0,0,14,1,0,0,0,6,0,229.17
19,23,0,11,20,0,6,184,263,24682.0,8,7,0,5,4,9,323,0,4,36,2673.99
26,16,1,85,16,0,0,471,298,16637.0,6,8,0,5,3,12,350,0,5,73,3282.96
41,16,3,95,77,1,1,461,383,15901.0,6,16,12,3,4,28,649,12,8,26,3760.59
4,14,0,17,0,0,0,723,4,8517.0,1,0,1,11,1,1,4,0,11,4,1747.27
32,18,9,5,233,13,53,442,76,23250.0,8,35,17,1,9,38,649,112,8,41,5594.19
0,14,0,83,0,0,0,162,0,508.0,10,0,0,14,0,0,0,0,6,0,228.1
0,5,0,69,0,0,0,83,0,730.0,13,0,1,14,0,0,0,0,5,0,225.97
4,6,1,107,0,0,0,431,72,1701.0,14,1,2,5,2,1,72,0,7,6,1029.15
23,10,5,60,216,23,32,481,92,28799.0,9,18,15,0,5,16,641,168,9,56,8753.49
1,0,0,66,0,0,0,596,0,714.0,13,0,0,20,0,0,0,0,24,0,207.45
0,4,0,31,0,0,0,518,0,315.0,5,0,0,15,0,0,0,0,15,1,1260.58
20,21,3,95,28,3,0,445,484,16116.0,5,8,5,4,6,23,605,8,8,27,3787.92
0,1,0,50,0,0,0,674,0,1077.0,11,0,0,21,0,0,0,0,20,0,103.62
5,16,0,75,0,0,0,228,0,1470.0,7,0,0,10,1,0,0,0,4,2,685.29
31,20,3,52,36,3,1,457,470,5039.0,5,22,1,4,5,19,569,8,10,30,3301.68
2,9,0,41,0,0,0,580,0,1339.0,8,1,0,11,1,0,0,0,17,0,1195.31
0,2,0,94,0,0,0,489,0,735.0,6,0,0,16,0,0,0,0,16,0,410.01
10,6,1,15,0,0,1,175,132,8422.0,11,2,1,5,1,1,140,4,4,15,2134.07
7,13,1,25,0,0,0,354,78,2822.0,9,4,0,6,0,5,94,0,14,13,1390.29
0,1,0,50,0,0,0,511,0,450.0,9,0,0,18,0,0,0,0,20,0,92.96
0,0,0,9,0,0,0,268,0,767.0,10,0,0,19,0,0,0,0,15,0,195.8
23,12,12,7,289,19,65,478,112,20064.0,10,13,18,0,9,9,637,140,8,58,5518.52
3,15,0,75,0,0,0,212,0,1396.0,5,0,0,11,2,0,0,0,6,2,744.29
3,14,0,17,0,0,0,207,0,9709.0,5,0,1,12,0,1,0,0,9,0,1556.19
15,23,4,105,52,5,6,465,383,27697.0,8,19,8,3,6,13,581,12,5,61,5258.53
0,11,0,41,0,0,0,584,4,4427.0,7,1,0,10,0,0,4,0,16,1,1147.16
0,0,0,67,0,0,0,279,0,1.0,12,0,0,20,0,0,0,0,14,0,1086.35
1,9,0,81,0,0,0,578,0,1775.0,6,0,0,14,1,0,0,0,17,0,429.35
25,19,4,95,44,1,0,437,472,29015.0,5,15,3,4,6,44,629,4,8,32,3600.64
4,7,0,14,0,1,0,198,0,5084.0,13,0,0,8,0,0,4,0,4,0,1946.3
0,3,0,66,0,0,0,502,0,118.0,7,0,0,16,0,0,0,0,19,0,278.28
0,0,0,51,0,0,0,270,0,996.0,9,0,0,18,0,0,0,0,14,0,415.35
0,1,0,66,0,0,0,614,0,113.0,12,0,0,20,0,0,0,0,23,0,183.9
8,14,0,17,0,0,0,694,8,4108.0,0,0,3,10,1,0,12,0,11,18,1900.57
21,18,4,52,32,2,1,352,350,3193.0,6,21,2,5,5,37,422,4,11,34,3250.72
0,0,0,9,0,0,0,264,0,813.0,9,0,0,19,0,0,0,0,15,0,161.64
1,10,0,39,0,0,0,568,0,66.0,6,0,0,11,0,0,0,0,16,1,824.5
6,10,0,17,0,2,0,214,44,13304.0,4,0,1,8,1,4,44,0,6,26,1972.08
0,0,0,9,0,0,0,268,0,767.0,10,0,0,19,0,0,0,0,15,0,176.79
0,1,0,50,0,0,0,673,0,262.0,10,0,0,20,0,0,0,0,19,0,91.67
