n_university_in_1km_to_2km,near_AEON_Mall_2_in_km,n_hospital_in_3km_to_5km,n_atm_in_1km,n_hotel_in_1km_to_2km,n_university_in_2km_to_3km,near_Phnom_Penh_Airport_in_km,n_borey_5km,n_cafe_5km,n_cafe_in_1km,address_line_2,n_bank_in_1km,n_university_in_3km_to_5km,n_hotel_in_1km,n_university_in_1km,n_pre_school_in_1km,nearest_atm,h_id,n_super_market_in_1km,near_Koh_Pich_in_km,n_hotel_in_2km_to_3km,n_hospital_in_2km_to_3km,near_AEON_Mall_3_in_km,n_hospital_in_1km,price_per_m2
28,2,70,20,6,18,6,29,175,8,-1,0,33,0,29,8,0,-1,2,6,5,28,10,2,3987.6
27,2,67,20,6,17,6,29,181,11,-1,0,33,0,31,9,0,-1,2,6,5,30,10,3,3639.2
6,8,51,15,12,13,9,24,158,9,-1,10,51,3,2,8,5,-1,3,2,15,40,6,5,2803.44
38,5,6,68,20,34,7,26,181,11,-1,43,31,0,8,7,16,-1,8,3,62,26,8,22,4178.67
19,5,22,25,4,47,7,23,179,12,-1,5,41,0,4,5,10,-1,2,4,23,52,7,5,4350.42
2,9,78,5,2,11,9,30,127,4,-1,0,29,1,0,2,0,-1,2,3,5,14,4,0,3586.3
33,1,76,0,4,28,6,28,145,4,-1,0,37,1,3,8,5,-1,4,7,6,11,11,0,3852.47
17,3,33,25,5,32,6,25,193,10,-1,5,27,1,19,9,5,-1,3,5,21,56,9,6,3683.72
10,7,47,30,9,13,9,28,164,16,-1,0,59,1,1,9,5,-1,6,2,16,44,6,3,3899.11
19,5,73,15,1,54,5,29,179,3,-1,0,36,0,1,1,0,-1,2,5,4,30,7,1,3542.14
9,6,81,15,0,14,6,29,168,3,-1,0,79,0,3,0,0,-1,2,4,6,22,6,3,3503.63
32,3,36,47,13,34,8,22,177,8,-1,10,36,3,2,3,5,-1,5,5,46,44,10,1,3645.96
29,5,20,25,5,43,7,26,181,5,-1,0,38,0,2,6,5,-1,1,4,21,48,7,7,3907.84
18,1,83,20,3,39,7,26,152,10,-1,5,36,1,5,7,0,-1,5,6,6,11,11,0,4126.46
3,1,79,10,3,27,8,23,130,4,-1,0,55,0,2,2,0,-1,2,6,6,5,12,0,3396.79
20,5,36,15,1,47,6,25,182,6,-1,5,39,0,7,7,10,-1,3,4,13,58,7,5,3215.66
15,5,83,5,1,61,5,32,171,4,-1,0,30,1,3,2,0,-1,1,6,4,17,7,0,3454.08
26,3,33,15,4,26,7,26,185,17,-1,5,31,2,20,9,15,-1,5,5,22,58,10,4,4161.51
12,6,75,10,0,20,6,27,173,2,-1,0,72,0,2,2,5,-1,1,5,5,31,6,4,3472.06
24,5,83,10,1,50,5,32,171,5,-1,5,32,1,3,3,0,-1,1,6,4,18,8,1,3390.51
50,4,32,15,2,32,6,29,184,3,-1,5,25,0,5,5,0,-1,2,4,17,46,8,2,3767.33
26,4,39,20,3,30,6,26,192,4,-1,0,21,1,27,3,10,-1,4,5,19,46,9,5,4085.8
5,8,73,20,4,11,8,30,159,9,-1,5,59,2,2,8,10,-1,4,3,9,22,5,0,4091.34
0,8,81,0,0,4,12,13,109,0,-1,0,23,0,0,0,0,-1,0,1,19,8,9,0,4655.9
25,3,31,34,21,37,8,21,178,6,-1,1,41,3,1,3,10,-1,5,4,45,43,10,3,4081.48
28,3,56,20,5,20,6,28,182,7,-1,0,27,0,23,6,0,-1,3,5,5,39,9,1,3645.37
9,6,78,15,0,17,6,28,169,3,-1,0,76,0,3,0,0,-1,3,4,6,26,6,3,3524.63
38,5,37,10,1,39,6,26,184,4,-1,5,32,0,4,3,5,-1,4,4,13,49,7,2,3834.56
4,8,72,20,3,12,8,30,155,8,-1,5,56,2,2,7,10,-1,3,3,10,23,5,0,3179.42
38,3,71,10,3,18,5,30,181,11,-1,0,27,1,19,5,5,-1,1,6,7,28,9,2,3865.48
50,4,77,10,2,26,5,33,180,6,-1,0,27,0,4,3,5,-1,3,6,6,23,8,3,3422.16
5,1,59,0,1,8,8,24,114,7,-1,10,70,0,0,3,0,-1,1,7,4,1,13,0,3269.61
21,5,51,20,1,51,6,29,182,4,-1,0,35,0,7,3,0,-1,3,4,7,48,7,3,3672.84
7,8,73,10,3,12,8,29,155,7,-1,0,61,1,0,6,10,-1,4,3,8,22,5,0,3987.16
39,3,69,10,3,20,5,29,183,11,-1,0,26,1,24,5,10,-1,2,6,6,30,9,2,3591.05
48,4,51,20,1,31,6,28,185,5,-1,0,28,1,6,4,0,-1,0,5,10,40,8,1,3549.48
29,3,18,15,11,30,7,26,194,11,-1,6,29,1,15,4,15,-1,3,4,54,46,9,6,3631.44
25,3,34,15,4,26,7,26,186,17,-1,0,32,2,16,10,15,-1,4,5,21,57,10,4,3414.15
55,4,77,10,2,23,5,33,180,5,-1,0,25,0,4,3,5,-1,3,6,6,23,8,4,3813.96
47,4,52,15,1,24,6,29,186,9,-1,0,28,1,10,4,10,-1,0,5,8,42,8,2,3283.91
9,7,83,10,1,14,7,29,157,1,-1,0,74,0,2,2,0,-1,2,4,6,17,5,1,3496.18
36,3,76,5,3,19,5,31,181,10,-1,0,26,1,27,4,5,-1,0,6,7,22,9,2,3218.28
7,4,35,42,39,29,9,18,157,8,-1,1,54,6,1,1,5,-1,1,4,25,51,11,6,4032.22
5,8,72,10,9,9,10,20,132,8,-1,5,29,1,1,2,0,-1,1,1,11,22,6,1,2943.81
25,2,69,10,6,16,6,28,178,11,-1,0,36,1,30,10,0,-1,3,6,4,29,10,4,3585.42
41,2,78,5,5,21,5,32,154,1,-1,0,30,1,10,2,5,-1,3,6,6,11,10,1,3822.06
24,3,20,20,4,35,7,26,192,9,-1,1,22,0,18,6,10,-1,2,4,34,54,9,5,3948.61
8,7,49,30,5,18,8,24,171,14,-1,0,70,1,4,10,10,-1,7,3,10,47,6,3,4168.86
6,0,59,5,3,24,7,27,126,5,-1,5,60,0,1,2,0,-1,2,7,4,2,12,0,3349.66
37,3,34,47,16,31,8,21,181,7,-1,10,35,3,3,4,5,-1,3,4,48,39,10,2,3911.33
27,5,14,20,4,43,7,27,179,6,-1,0,38,0,5,4,5,-1,2,3,39,44,7,5,3922.63
49,5,31,10,2,30,6,28,184,3,-1,5,30,0,4,5,0,-1,3,4,18,47,8,2,3889.69
11,5,17,152,17,12,10,14,166,16,-1,30,65,32,2,3,110,-1,11,3,14,37,10,17,2870.66
21,4,27,10,3,36,6,26,196,9,-1,0,21,1,30,4,15,-1,3,5,23,49,9,5,3566.92
36,3,26,27,24,34,8,20,186,6,-1,1,33,2,3,5,17,-1,0,4,43,36,10,2,3960.09
11,6,66,25,2,15,7,24,175,6,-1,0,75,0,2,7,0,-1,3,4,7,38,6,3,3635.2
13,5,77,5,1,49,5,29,173,1,-1,0,43,0,4,1,5,-1,1,5,4,28,7,1,3470.45
25,3,46,25,5,23,6,28,187,4,-1,0,27,1,15,8,5,-1,3,5,11,43,9,4,3620.86
10,7,57,30,6,17,7,23,167,13,-1,0,69,0,3,8,5,-1,3,3,8,42,6,3,4075.03
11,1,26,0,2,34,5,30,100,3,-1,5,40,3,0,3,0,-1,1,8,3,5,12,0,3092.73
28,3,22,15,11,27,7,26,193,10,-1,6,29,1,18,5,10,-1,3,4,48,50,9,6,4028.53
6,1,76,10,3,46,7,26,136,4,-1,0,40,1,2,4,0,-1,3,7,6,7,12,0,4181.52
36,3,21,32,12,30,7,25,195,12,-1,12,30,0,16,5,10,-1,5,4,56,41,9,5,3865.39
47,3,35,30,5,24,7,23,179,15,-1,5,35,4,6,9,5,-1,8,5,36,52,10,2,4267.94
40,3,80,10,4,19,5,31,172,8,-1,0,26,1,10,5,0,-1,3,6,7,20,10,2,3515.89
18,5,52,20,1,52,6,30,182,5,-1,0,36,0,7,4,0,-1,3,4,7,49,7,3,4872.19
47,2,75,5,5,16,6,29,163,3,-1,0,35,0,7,10,5,-1,4,6,5,17,11,1,3324.47
2,8,78,10,2,10,8,31,138,4,-1,0,38,1,0,2,0,-1,2,3,5,16,4,0,3759.76
11,7,30,40,16,13,9,26,162,11,-1,6,57,2,3,7,10,-1,9,2,35,50,6,6,3991.84
7,0,53,5,1,16,7,26,124,3,-1,5,65,0,0,2,0,-1,3,7,6,2,12,0,3390.68
36,1,75,25,3,24,7,26,159,13,-1,5,39,2,6,12,0,-1,6,6,7,21,11,1,3940.29
15,5,84,5,1,59,5,32,176,3,-1,0,32,1,3,2,0,-1,2,5,4,17,7,0,3270.11
9,3,62,15,10,39,8,21,148,1,-1,0,49,0,1,3,5,-1,0,5,34,36,11,0,3580.15
44,1,76,5,2,23,6,27,155,10,-1,0,37,1,1,10,5,-1,6,6,7,18,11,1,3349.35
42,5,6,72,16,33,7,26,184,9,-1,38,31,0,7,7,5,-1,4,3,65,32,8,19,3915.51
26,5,82,0,1,50,5,32,172,4,-1,0,31,1,3,4,5,-1,3,6,4,17,8,0,3693.16
20,3,33,20,4,28,7,26,187,17,-1,5,30,2,21,10,10,-1,4,5,21,58,10,5,4143.04
33,4,44,20,4,31,6,26,193,13,-1,0,26,0,18,4,5,-1,3,5,18,40,8,4,2031.02
15,6,36,10,3,49,6,24,180,5,-1,5,42,0,6,7,15,-1,3,4,11,59,7,1,3863.51
10,1,73,5,5,47,7,28,133,3,-1,5,34,0,1,1,0,-1,3,7,5,6,12,0,3328.92
36,2,60,20,3,23,7,26,177,9,-1,10,35,3,14,9,5,-1,5,5,14,40,10,0,4141.18
6,8,84,10,2,13,8,29,150,7,-1,0,59,0,0,5,5,-1,5,3,7,17,5,0,4596.97
7,4,27,75,51,25,9,16,162,12,-1,1,55,6,2,2,5,-1,3,4,12,49,10,7,4073.91
44,5,7,35,20,31,7,27,184,11,-1,12,30,0,6,3,50,-1,6,3,63,27,8,26,4253.88
2,9,77,0,2,8,9,29,126,2,-1,0,28,1,0,1,0,-1,1,3,5,13,4,0,3565.97
31,3,30,31,23,37,8,20,181,5,-1,1,36,3,2,5,17,-1,1,4,43,38,10,2,3852.78
12,6,61,15,1,19,7,23,176,4,-1,0,71,0,2,7,5,-1,4,4,8,43,6,2,3639.58
7,8,50,20,14,12,10,21,154,13,-1,15,45,2,1,7,5,-1,4,1,23,39,6,3,3828.25
36,3,82,10,5,18,5,31,164,5,-1,0,28,0,21,2,0,-1,3,6,7,13,10,3,3370.92
12,1,77,15,3,43,7,26,149,11,-1,0,38,1,5,7,0,-1,5,6,6,11,11,0,3400.65
10,0,65,5,5,45,6,29,130,1,-1,5,36,0,0,0,0,-1,1,7,3,4,12,0,3371.77
15,4,17,153,52,50,9,18,181,21,-1,37,33,13,5,1,24,-1,11,3,14,20,10,26,4404.89
15,6,14,35,7,51,7,22,176,12,-1,5,36,2,4,7,5,-1,3,3,54,30,7,9,2616.22
16,1,73,10,6,44,6,30,134,1,-1,0,33,0,2,2,0,-1,2,7,4,8,12,0,3488.35
42,4,59,20,1,25,5,29,187,10,-1,0,27,0,14,4,5,-1,0,5,7,38,8,1,3245.1
20,5,68,10,1,53,5,30,182,3,-1,0,34,0,5,2,0,-1,3,5,6,32,7,1,3401.7
4,8,61,15,6,11,9,28,157,8,-1,10,52,2,1,9,5,-1,7,2,12,36,5,0,3383.48
38,3,79,10,5,17,5,31,165,6,-1,0,28,0,19,3,0,-1,3,6,6,16,10,3,4065.08
42,1,77,0,5,23,6,27,149,6,-1,0,39,1,1,10,5,-1,5,6,5,10,11,0,3340.13
45,2,80,5,5,19,6,33,154,2,-1,0,33,1,9,6,5,-1,2,6,5,7,11,0,3322.86
7,0,56,0,4,40,7,27,129,5,-1,5,43,0,0,0,5,-1,0,7,4,2,12,0,3366.78
49,4,9,31,8,32,7,28,187,8,-1,6,23,0,7,7,0,-1,2,4,45,46,8,10,4411.53
36,5,16,20,5,37,7,27,179,4,-1,0,37,0,2,3,5,-1,0,4,27,47,7,5,4555.59
4,7,84,5,0,12,6,33,130,6,-1,0,75,0,5,3,0,-1,2,5,1,5,6,0,3464.72
7,7,90,5,0,15,6,31,141,4,-1,0,72,0,3,3,0,-1,2,5,2,6,6,0,3516.51
22,4,38,10,4,36,6,26,193,12,-1,0,22,0,26,5,10,-1,3,5,19,40,8,5,4007.19
17,5,53,20,1,51,6,27,181,4,-1,0,40,0,4,4,5,-1,2,4,6,49,7,4,3151.21
1,9,73,0,2,6,10,24,121,1,-1,5,27,2,0,1,0,-1,0,3,2,11,4,0,4508.64
26,4,20,20,4,35,7,26,194,12,-1,1,22,0,18,7,10,-1,2,4,42,51,9,6,3591.89
35,3,18,50,12,29,7,25,195,8,-1,11,31,0,19,4,5,-1,7,4,59,40,9,9,3888.18
15,5,49,20,1,49,6,27,180,5,-1,0,42,0,6,5,5,-1,2,4,7,51,7,5,3663.95
29,4,13,20,6,36,7,26,191,11,-1,1,23,1,25,4,5,-1,2,4,48,48,8,9,3915.33
46,2,76,15,3,21,6,26,162,11,-1,10,36,1,3,10,0,-1,6,6,7,19,11,1,3843.85
45,2,78,5,5,21,6,33,154,2,-1,0,31,1,9,7,5,-1,2,6,5,11,10,0,3842.03
4,1,75,10,4,36,7,24,129,3,-1,5,49,0,4,4,0,-1,2,7,4,2,12,0,3339.93
7,8,61,10,12,11,10,21,146,10,-1,15,41,2,1,3,0,-1,2,1,16,28,6,1,3182.41
40,1,82,5,1,25,6,27,153,10,-1,0,37,2,3,12,5,-1,7,6,8,11,11,1,3986.58
9,5,21,148,32,16,9,15,170,17,-1,31,61,23,5,3,36,-1,9,3,15,41,10,9,3026.69
25,2,67,25,6,17,6,29,183,12,-1,0,32,1,32,10,0,-1,4,6,5,31,10,3,3774.49
23,4,20,15,3,34,6,26,192,9,-1,1,22,1,29,4,10,-1,2,4,31,53,9,8,4117.27
4,1,76,10,3,26,8,24,125,2,-1,0,55,0,4,3,0,-1,2,7,4,3,12,0,4021.2
12,6,70,15,1,13,7,26,173,3,-1,0,75,0,3,5,0,-1,4,4,7,33,6,3,3635.69
38,3,78,10,5,18,5,31,169,7,-1,0,27,0,19,2,0,-1,3,6,7,18,10,3,4153.57
44,4,15,25,3,35,6,27,189,9,-1,5,22,0,11,10,0,-1,4,4,31,47,8,8,4117.84
42,2,55,15,3,24,7,23,169,4,-1,0,39,1,3,10,5,-1,5,5,19,48,11,1,4201.65
7,7,86,0,0,12,6,33,130,0,-1,0,73,0,1,1,0,-1,0,5,1,5,5,0,3264.08
10,7,77,10,1,11,7,26,162,3,-1,0,77,0,3,4,0,-1,4,4,6,25,6,3,3492.13
46,1,77,0,5,21,6,29,151,4,-1,0,37,1,1,9,5,-1,2,6,5,10,11,0,3855.14
35,2,44,15,8,29,8,23,171,14,-1,5,39,2,3,6,10,-1,7,5,34,50,11,1,3653.89
4,7,86,5,0,16,6,33,135,5,-1,0,70,0,5,3,0,-1,1,5,2,6,6,0,3295.91
15,5,75,5,1,54,5,28,175,4,-1,0,39,0,3,2,5,-1,1,5,5,30,7,1,3382.73
12,1,75,10,3,47,7,29,138,6,-1,0,35,1,1,4,0,-1,3,7,6,8,12,0,3980.74
45,4,7,69,15,27,7,26,189,15,-1,45,30,1,10,4,5,-1,3,4,63,39,8,22,3967.38
51,4,53,15,1,22,5,29,185,4,-1,0,29,1,7,3,5,-1,0,5,6,40,8,2,3723.3
5,1,80,5,3,43,8,24,138,4,-1,0,42,1,0,5,10,-1,3,6,6,11,12,0,3406.97
5,4,64,15,15,9,10,18,143,4,-1,5,69,1,1,1,10,-1,2,4,48,27,11,0,3801.66
10,3,45,30,16,34,9,18,162,5,-1,0,53,2,2,0,10,-1,1,4,49,51,11,1,4078.45
40,1,81,5,2,25,6,28,155,12,-1,0,38,2,3,12,5,-1,8,6,7,13,11,1,4113.87
1,8,81,15,3,12,9,30,146,10,-1,0,38,1,1,4,0,-1,2,3,6,17,5,0,3953.17
6,3,51,20,16,33,9,18,159,3,-1,0,55,1,2,0,10,-1,0,4,49,45,11,1,4001.74
8,1,75,5,3,43,7,26,142,6,-1,0,42,1,3,6,5,-1,4,6,6,10,12,0,4088.91
28,2,72,15,6,16,6,29,175,11,-1,0,36,1,26,11,0,-1,3,6,5,26,10,4,3981.37
5,4,58,15,29,11,10,17,149,2,-1,5,68,1,0,0,10,-1,1,4,35,34,11,2,3759.72
45,5,49,20,1,33,6,28,183,5,-1,0,28,1,7,4,0,-1,0,5,10,43,8,1,3614.01
38,3,56,10,3,24,5,28,190,7,-1,0,24,1,22,4,10,-1,2,5,5,39,9,1,3260.68
44,1,73,5,3,21,6,27,160,11,-1,0,37,1,3,13,5,-1,7,6,6,19,11,1,4089.75
30,4,13,66,9,33,7,25,193,13,-1,38,24,1,24,4,5,-1,2,4,60,46,9,13,3934.65
3,1,67,10,3,10,8,24,116,6,-1,10,69,0,2,2,0,-1,1,7,3,1,12,0,3327.95
43,3,32,30,17,26,8,20,186,6,-1,10,37,3,2,5,17,-1,1,4,49,40,10,1,3996.55
8,7,65,20,6,9,8,30,159,7,-1,5,64,1,1,6,10,-1,2,3,6,33,5,0,3215.01
1,9,59,0,2,3,10,20,107,1,-1,5,21,1,0,0,0,-1,0,3,2,8,4,0,4706.78
5,8,67,20,5,11,8,30,160,8,-1,5,62,2,2,8,10,-1,5,3,8,29,5,0,4050.53
10,7,26,35,6,17,8,28,172,19,-1,10,67,2,2,13,10,-1,4,2,33,54,6,6,4123.62
28,5,53,20,1,44,6,30,185,2,-1,0,36,0,6,3,0,-1,4,5,7,41,7,1,3639.86
33,5,50,15,1,39,6,29,184,3,-1,0,34,0,8,3,0,-1,2,5,8,42,7,1,3657.21
35,2,41,15,2,24,7,25,183,8,-1,5,34,4,18,13,10,-1,4,5,19,50,10,3,3656.17
1,8,76,15,3,13,9,28,140,8,-1,10,37,1,1,3,0,-1,3,3,10,18,5,0,3823.75
5,0,51,5,2,18,7,25,125,3,-1,5,65,0,0,2,0,-1,2,7,5,2,12,0,3401.55
29,3,42,42,13,36,8,21,170,7,-1,5,38,1,1,2,5,-1,5,5,45,48,11,1,3756.67
44,2,44,25,5,22,7,23,171,9,-1,5,42,2,2,8,5,-1,6,5,32,51,10,2,3643.13
19,1,53,5,3,47,5,29,118,4,-1,0,23,2,2,2,0,-1,2,7,4,6,11,1,3193.76
0,8,82,0,0,4,12,13,103,0,-1,0,23,0,0,0,0,-1,0,1,19,5,9,0,2390.44
43,4,46,15,2,29,6,27,191,13,-1,0,26,1,12,3,5,-1,0,5,16,38,8,4,4027.4
18,3,46,25,11,44,8,20,163,5,-1,5,39,1,0,3,5,-1,3,5,42,51,11,0,3664.13
3,8,71,15,3,11,9,30,154,10,-1,5,49,1,1,5,0,-1,2,3,11,21,5,0,4035.13
13,7,70,15,1,10,7,24,170,3,-1,0,78,0,3,6,0,-1,3,4,7,33,6,3,3580.58
14,3,42,33,20,47,9,19,169,8,-1,1,40,1,1,3,10,-1,5,4,46,42,11,1,4088.9
27,4,18,20,2,35,6,26,190,12,-1,0,23,1,25,6,5,-1,4,4,27,49,8,8,3615.93
46,4,50,15,1,29,6,28,193,5,-1,0,27,1,9,4,0,-1,0,5,11,41,8,1,3820.34
10,7,53,25,8,10,9,28,163,12,-1,5,59,1,1,9,5,-1,6,2,11,45,5,1,3755.86
15,5,79,10,3,53,4,31,165,2,-1,5,33,0,4,1,0,-1,1,6,2,12,8,1,3436.11
45,3,35,41,5,24,7,23,179,15,-1,5,35,4,8,9,5,-1,8,5,36,51,10,2,4055.03
15,7,27,45,16,11,9,27,173,17,-1,6,59,4,2,12,10,-1,11,2,39,43,6,4,4104.36
31,1,75,5,6,31,6,29,145,2,-1,0,36,1,2,6,0,-1,3,7,3,10,11,0,3351.74
8,8,51,20,11,11,9,25,157,5,-1,5,51,4,1,10,0,-1,4,2,12,42,6,4,3563.24
48,4,25,15,3,30,6,29,184,3,-1,5,25,0,9,7,0,-1,2,4,22,46,8,1,3924.32
47,2,75,5,5,16,6,29,162,3,-1,0,35,0,7,8,5,-1,4,6,5,17,11,1,3909.08
32,3,32,31,21,36,8,21,179,4,-1,1,36,3,1,5,17,-1,1,4,45,40,10,2,3902.07
27,4,51,15,3,26,6,28,189,4,-1,0,27,1,28,2,10,-1,2,5,10,42,9,2,3921.08
5,0,44,0,3,16,7,26,113,8,-1,5,63,0,0,1,5,-1,1,8,5,2,12,0,3301.75
10,6,35,30,5,28,7,24,171,9,-1,0,62,0,1,6,5,-1,8,3,16,55,6,6,3516.61
7,0,69,10,3,30,7,26,126,6,-1,10,55,0,1,2,0,-1,3,7,4,3,12,0,3514.49
28,3,70,10,5,16,6,29,177,13,-1,0,33,1,23,9,0,-1,3,6,5,28,10,3,3344.98
27,3,51,20,4,26,6,28,190,4,-1,0,23,0,22,3,10,-1,4,5,13,39,9,2,3332.05
21,5,51,15,1,50,6,28,182,5,-1,0,37,0,4,4,5,-1,3,4,7,50,7,4,4802.0
52,5,18,10,4,29,6,28,182,6,-1,5,28,0,2,7,0,-1,3,4,26,46,8,8,3909.58
39,2,81,10,6,20,5,32,164,7,-1,0,28,1,15,7,0,-1,3,6,5,15,10,2,3424.11
6,0,53,5,1,16,7,27,123,2,-1,5,67,0,0,2,0,-1,3,7,6,2,12,0,3342.45
7,8,52,20,13,12,10,21,152,13,-1,15,45,2,1,5,5,-1,4,1,23,37,6,3,3055.89
5,7,83,0,0,11,6,33,131,4,-1,0,75,0,3,3,0,-1,1,5,2,4,5,0,3233.77
25,5,42,10,1,51,6,27,185,4,-1,5,32,0,5,3,5,-1,5,4,11,53,7,3,3866.37
6,0,57,5,2,17,7,26,124,4,-1,5,65,0,1,2,0,-1,3,7,5,2,12,0,3332.88
5,8,82,0,0,9,7,31,133,1,-1,0,45,0,0,1,0,-1,0,5,2,9,4,0,3531.26
43,2,77,5,5,22,6,33,153,2,-1,0,29,1,10,6,5,-1,2,6,5,12,10,1,3893.73
23,3,48,25,3,26,6,28,190,4,-1,0,24,1,25,2,5,-1,4,5,13,39,9,4,4117.36
40,2,78,10,6,19,6,33,163,1,-1,0,31,0,15,8,0,-1,3,6,4,17,10,0,3354.46
10,5,28,132,37,10,10,12,160,6,-1,16,63,26,0,1,0,-1,6,3,14,49,10,3,3965.1
51,4,8,83,17,22,7,25,194,7,-1,39,32,2,6,3,7,-1,4,4,58,29,9,16,3932.83
14,6,24,30,4,48,7,25,178,11,-1,5,43,0,4,3,10,-1,2,3,24,53,7,3,3349.87
6,8,71,0,0,5,6,36,119,1,-1,0,67,0,1,0,0,-1,0,5,0,6,5,0,3319.41
7,8,40,30,18,13,10,22,157,15,-1,11,53,2,2,11,5,-1,4,1,33,42,6,5,3992.9
21,5,56,15,1,52,6,30,185,3,-1,0,36,0,5,3,0,-1,4,5,7,43,7,1,3627.95
14,5,70,5,1,53,6,28,175,2,-1,0,40,0,2,2,5,-1,1,5,6,35,7,1,3397.11
2,8,66,10,4,12,9,27,149,8,-1,15,48,2,0,5,5,-1,5,2,11,28,5,0,3392.96
38,2,65,20,3,25,7,24,162,3,-1,5,37,1,5,14,5,-1,2,6,13,35,11,1,4260.39
10,6,69,5,0,22,6,27,175,2,-1,0,72,0,4,2,10,-1,1,4,6,37,6,5,2747.5
22,4,33,15,3,36,6,26,196,9,-1,0,21,1,28,4,10,-1,3,5,22,44,9,5,3813.6
5,4,58,15,29,9,10,17,146,2,-1,5,70,1,0,0,10,-1,1,4,35,33,11,2,3726.41
2,9,78,0,2,7,9,31,126,3,-1,0,34,1,0,2,0,-1,2,3,5,14,4,0,3538.22
1,9,78,5,3,11,9,29,127,5,-1,0,26,0,1,0,0,-1,2,3,6,15,4,0,3694.86
29,4,51,15,3,26,6,28,189,5,-1,0,27,1,26,2,10,-1,2,5,10,42,9,2,3501.44
7,0,69,10,3,29,7,26,125,6,-1,10,55,0,1,2,0,-1,3,7,4,3,12,0,3347.1
12,7,74,15,1,11,7,26,170,3,-1,0,78,0,3,5,0,-1,3,4,6,29,6,3,3613.86
44,4,8,68,13,30,7,26,190,13,-1,45,26,1,11,4,5,-1,3,4,62,45,8,15,4386.23
13,6,19,40,5,39,8,23,183,7,-1,0,48,3,6,5,10,-1,6,3,47,43,7,7,3559.41
8,6,81,15,0,16,6,30,166,3,-1,0,78,0,3,0,0,-1,2,4,6,19,6,3,3730.32
47,2,79,5,5,15,6,29,166,3,-1,0,34,0,10,8,5,-1,3,6,5,15,10,1,3503.21
