n_atm_in_1km,n_university_in_2km_to_3km,n_gas_station_in_1km,n_borey_in_3km_to_5km,near_Phnom_Penh_Airport_in_km,near_Phsar_kandal_in_km,n_cafe_in_1km,address_line_2,n_university_in_3km_to_5km,n_mart_in_1km,n_pre_school_in_1km,nearest_atm,h_id,n_super_market_in_1km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,n_atm_5km,near_AEON_Mall_3_in_km,n_atm_in_1km_to_2km,n_hospital_in_1km,price_per_m2
20,12,8,24,7.882102506027652,3.932495422519941,8,11,56,3,7,10,476,3,125,520,717.0,4.849809967822154,35,0,1001.1900168431188
10,18,10,17,4.998749570722315,4.0029114573040445,11,2,27,4,5,5,464,1,148,562,775.0,9.179206585738514,50,2,4118.291088420163
10,26,11,21,5.0561718406479566,3.9115760205755534,6,83,27,2,3,5,452,3,112,608,765.0,8.10921710713647,35,3,3937.090548749095
0,8,4,11,7.981657437807674,4.829707660007984,7,45,70,1,3,0,349,1,50,391,467.0,12.684233745088182,20,0,2980.3023708822666
20,51,6,16,5.978654975087098,4.188680619438514,4,78,35,4,3,0,448,3,209,516,802.0,6.956568466745403,55,3,3779.891779551573
10,12,8,21,8.070776373454708,3.968820425578146,7,48,61,3,6,10,476,4,100,543,715.0,5.065092579933348,45,0,3171.584818626537
10,20,7,18,4.985487940708303,4.198729804419317,11,83,26,5,5,10,468,2,128,592,787.0,9.026620147634883,45,2,2876.185853876285
20,31,7,16,6.285217611142396,3.986394197320241,5,8,28,8,4,0,444,0,231,499,802.0,8.065197515318319,55,1,3257.405657192857
15,30,10,17,7.004747099273517,2.0359221431085026,11,77,29,6,4,15,462,3,370,196,830.0,9.124051850337333,234,6,3066.95133020794
15,26,8,15,7.121175331103868,3.318431132163081,17,50,32,6,10,15,470,4,276,400,825.0,9.852282394676545,119,4,2653.3638094403027
10,23,11,21,5.011585977849491,3.761858593774964,5,83,25,2,3,5,452,3,112,608,772.0,8.14590986100362,35,4,2687.052303580613
15,24,5,18,5.8715443407686365,3.747275570354822,9,86,28,9,4,10,468,0,196,544,803.0,8.16952222178801,40,2,2142.946066012989
10,14,4,14,6.986434547941606,4.165249249514663,1,78,74,0,2,0,480,2,60,566,679.0,4.875294868848526,50,1,4303.96853850059
5,19,8,20,4.954723530837969,4.264041995539684,10,86,26,2,4,5,469,0,120,580,762.0,9.038696021437808,55,2,3090.4860909113568
42,29,4,15,8.91104592812823,0.9806842494949192,8,77,54,10,1,5,459,1,235,210,791.0,11.086222238815626,303,6,2528.1002444386654
10,9,6,13,9.893730462710534,3.0773630403738506,8,13,29,1,2,0,477,1,107,492,697.0,5.933083701565462,75,1,2173.3639374869745
10,16,8,16,6.075286375460677,4.229615419477272,11,84,36,4,10,0,464,3,135,575,778.0,9.92618518816168,60,4,2993.165445953853
5,21,5,21,5.173110124180383,4.0449519400224485,1,2,30,2,2,5,467,3,66,560,675.0,9.940452287706815,40,1,3174.3952946468103
20,35,14,17,6.962939268379743,2.955764386048542,9,84,22,7,6,10,470,2,348,308,833.0,8.94669994874315,144,5,2822.932802945768
30,18,8,15,8.050081193551941,3.113546063396796,14,48,70,5,10,10,472,7,205,430,737.0,5.919448393092245,70,3,3671.7726801349104
5,24,8,13,6.968826945384876,4.988638144836246,5,45,60,1,2,0,347,2,40,346,395.0,12.298341204141495,20,0,3745.319157992746
47,31,14,12,8.07057075500823,2.1069619798259502,7,77,35,8,4,5,460,3,342,200,810.0,9.97936930169085,221,2,2708.994695119851
20,43,6,19,7.121920507561684,3.0706007695652584,6,47,38,9,4,5,443,2,312,259,816.0,7.118067505330036,214,5,5326.281507157324
10,30,9,17,5.940395768511801,2.893298536017955,3,8,30,6,5,0,444,3,273,394,824.0,7.972840308445935,138,2,1361.4187801186754
152,12,1,10,10.007757858398,0.0,16,22,65,13,3,110,317,11,200,135,807.0,9.914212305557603,208,17,2377.9537182203258
10,36,8,16,6.14640046626349,3.0635102388282567,9,47,21,10,4,15,446,3,317,361,832.0,8.961632895031869,127,5,2512.466455605404
27,34,6,10,8.04496554397238,2.2394504607442003,6,77,33,6,5,17,457,0,316,185,824.0,10.082720464445584,280,2,4074.509377654419
25,15,8,8,7.05705370942726,4.128397575516565,6,78,75,0,7,0,480,3,174,506,765.0,5.842548347095722,55,3,3036.2032790806998
5,49,4,16,5.110238205967311,4.189930099132864,1,78,43,1,1,5,456,1,120,566,725.0,7.11405955571387,35,1,3284.980478413718
25,23,15,16,5.887289855414891,3.0696414122040703,4,84,27,7,8,5,470,3,258,434,815.0,8.989983444508551,103,4,3818.425362183008
30,17,7,12,6.93544629504534,2.9836563703662438,13,48,69,5,8,5,472,3,183,467,754.0,6.0118455839451945,65,3,2838.065380610444
0,34,10,17,4.930793261388611,6.092091503401193,3,45,40,1,3,0,353,1,30,178,233.0,11.92218986709258,20,0,2798.847488642036
15,27,11,16,7.032323002997087,2.040253482851814,10,84,29,6,5,10,470,3,393,226,822.0,9.103411023636664,186,6,3372.752956578077
10,46,8,14,6.902295857171335,4.012433831688636,4,1,40,2,4,0,351,3,62,548,650.0,11.838249036546353,30,0,3853.895619116654
32,30,12,15,7.117796815043488,2.177315250154282,12,49,30,4,5,10,462,5,380,170,827.0,9.159861822714658,238,5,3871.4744837272488
30,24,8,12,6.984241294892359,3.0896845541360185,15,2,35,4,9,5,458,8,383,282,803.0,9.930045453360847,110,2,1746.1750073506971
10,19,7,18,4.982658663952652,3.8781225860284927,8,84,26,4,5,0,464,3,116,579,753.0,10.12181734884432,55,2,3232.8691699462806
20,52,7,17,6.060729794283965,4.136870579118967,5,87,36,4,4,0,448,3,192,523,786.0,7.038903056949799,55,3,4711.944564900716
5,16,5,19,6.059115048246979,4.195874246522042,3,45,35,2,10,5,467,4,66,589,729.0,11.109488991668169,60,1,2578.3506689937158
10,10,7,25,7.987032849685871,3.962223263897432,4,48,38,0,2,0,476,2,80,452,568.0,3.866337823540933,20,0,3327.695806135784
40,13,5,23,9.23420833269663,2.265595006579119,11,10,57,8,7,10,473,9,293,284,757.0,5.905855588762446,133,6,2517.1186711156643
5,16,9,12,7.16241385238321,5.1990911035195975,3,45,65,0,2,0,347,3,25,351,401.0,11.913634472611918,20,0,3199.647329776353
25,24,10,16,7.041656137952994,4.013084198276871,13,2,39,4,12,0,351,6,92,578,723.0,11.017372203058462,30,1,4102.633122840006
5,59,1,20,4.976944392801041,4.067585790408076,3,86,32,3,2,0,456,2,61,600,708.0,6.981412984300929,40,0,2424.563433716732
15,39,1,11,7.976071436704233,2.896845680848123,1,77,49,4,3,5,460,0,336,331,764.0,10.823070088843178,73,0,2954.053927065944
5,23,4,17,5.937894953919554,3.927425768376213,10,45,37,2,10,5,351,6,91,574,720.0,11.025696959223003,50,1,2172.371280109117
72,33,11,20,7.139406253908098,1.870055707989296,9,35,31,13,7,5,445,4,367,105,827.0,8.045403619202053,276,19,2744.490488442429
0,50,1,20,4.936926102877691,3.961424253260797,4,83,31,2,4,5,452,3,51,594,684.0,7.829493200632851,40,0,3196.4451970438417
20,28,8,15,6.986772745125238,3.3547474331749982,17,2,30,7,10,10,470,4,280,389,827.0,9.800421257346107,126,5,3891.5438348220314
20,31,5,15,6.1037752773354885,3.066541485880652,13,85,26,5,4,5,468,3,258,429,831.0,8.112130270556017,108,4,2963.06527901898
10,49,11,11,6.036941940393867,3.034610992427088,5,78,42,7,7,15,448,3,264,436,787.0,6.937688294361903,70,1,4043.972877460176
5,47,9,17,6.881165440299979,5.188090736359985,3,45,34,2,1,0,347,3,60,479,562.0,12.15500679218745,25,0,3196.194070027631
20,23,13,14,6.944293584736113,3.1455765439433603,9,2,35,6,9,5,466,5,199,509,800.0,10.054406114018704,67,0,3191.686921149597
10,13,5,21,8.043565660529199,3.976542733735735,7,91,59,2,5,5,476,5,95,515,661.0,4.884363378241121,35,0,5024.598320571162
75,25,1,12,8.935494832070766,1.1188517956190878,12,77,55,9,2,5,313,3,206,195,797.0,9.99450349916834,314,7,3562.410272263965
35,31,4,21,6.915337038403841,1.919364704682164,11,47,30,7,3,50,445,6,337,95,822.0,8.01832042258168,308,26,2969.113966143422
0,8,3,22,9.084799048429543,3.8945840442337696,2,48,28,0,1,0,187,1,70,405,519.0,4.144286422948422,30,0,2425.7186271049686
31,37,8,10,8.118226840671696,2.034368117139265,5,77,36,6,5,17,457,1,308,190,821.0,10.233455793560202,274,2,2548.240452009973
15,19,8,6,6.961681499002163,3.893402487736117,4,78,71,0,7,5,480,4,189,496,754.0,6.019772182902599,55,2,2970.866684197092
20,12,6,18,10.046572435904686,2.968790938950328,13,10,45,2,7,5,473,4,161,439,738.0,5.97653717935535,110,3,1848.0397294903307
10,18,4,18,4.987913431785446,4.059304367908716,5,84,28,3,2,0,464,3,68,602,727.0,10.021052921073531,50,3,2987.3881776824696
15,43,5,15,6.966788917367095,4.127535984326286,11,45,38,3,7,0,351,5,82,563,685.0,10.907765224642882,30,0,2820.4372555182176
5,45,2,17,5.864996030271004,4.748705926162766,1,45,36,1,0,0,347,1,45,361,438.0,11.9291345238629,25,0,2836.5439062000764
153,50,9,13,8.985515666983774,1.0242925591586023,21,36,33,7,1,24,463,11,155,135,833.0,9.814508569569588,358,26,4384.333313664443
35,51,7,15,7.05645620435219,2.046279908213948,12,5,36,12,7,5,449,3,330,182,805.0,7.01917120816506,258,9,2571.0855797628856
10,44,6,18,5.774127744352339,4.905180033970372,1,45,33,2,2,0,351,2,66,489,593.0,11.972012179540336,30,0,3093.245932879256
20,25,5,17,4.862311826522965,3.974029466608958,10,86,27,8,4,5,468,0,148,592,805.0,8.00010227442554,40,1,3424.6567120232226
10,53,12,16,4.990194162970691,4.218953600095607,3,78,34,4,2,0,456,3,123,612,780.0,7.036385706211436,45,1,3661.400403658907
15,11,7,22,9.032493247281172,3.0470208163950647,8,10,52,3,9,5,471,7,145,480,715.0,5.01142201566843,65,0,2626.432460503287
10,17,3,18,5.065702622499615,3.864357477817156,6,2,28,3,3,0,464,3,86,594,736.0,9.960567167528133,50,3,2696.2881588406926
0,23,13,17,6.117237216067423,4.1579003401318175,6,45,39,1,10,5,351,5,67,583,686.0,11.025841123722644,40,0,2681.888960612318
5,19,8,22,5.984744423630492,4.102942433269623,2,45,33,2,6,5,467,2,47,576,695.0,11.184726708704549,55,0,2807.219895645861
0,40,4,16,7.015608532278107,5.148740486422808,5,45,43,1,0,5,347,0,40,357,416.0,12.123579069998016,20,0,3350.0324836200666
31,32,13,21,6.973001987443066,2.044735761562944,8,49,23,12,7,0,446,2,368,199,824.0,7.956656921402169,227,10,2927.6419115582557
20,37,5,19,7.084250732318568,2.7713547159715533,4,94,37,10,3,5,443,0,325,287,824.0,6.98463180614573,173,5,5235.781543247785
5,12,12,17,6.143370845448255,5.182794644404682,6,78,75,0,3,0,479,2,65,387,463.0,6.006737513354292,10,0,3522.697674180822
5,15,10,16,5.858260636019569,5.303478766993366,4,78,72,0,3,0,478,2,55,447,522.0,6.048234229830199,20,0,3996.6354045857433
10,36,3,16,6.062897495572233,3.097953297509132,12,84,22,12,5,10,468,3,302,383,833.0,8.00144014916183,120,5,3462.295791047197
20,51,8,12,5.965180402637632,3.916499580476314,4,11,40,3,4,5,448,2,212,513,789.0,6.928115124522803,40,4,1588.9351866182724
0,6,5,17,10.13422973047604,3.973625725613089,1,81,27,1,1,0,475,0,70,363,440.0,3.992306637312785,15,0,6564.748895576541
20,35,14,17,7.170362056197991,3.1681632603696706,12,50,22,7,7,10,470,2,366,284,820.0,9.155019465564264,150,6,5115.368545904772
50,29,13,16,7.146974495331267,2.082335965986079,8,49,31,4,4,5,462,7,385,160,839.0,8.892090749043437,230,9,3817.2034724587215
20,49,11,12,5.844874093153448,4.034695889791041,5,78,42,3,5,5,448,2,219,496,792.0,6.972270614121661,50,5,3282.6455735635413
20,36,10,16,7.030692890629175,2.9238466909838534,11,51,23,9,4,5,446,2,375,217,839.0,7.799674905295958,213,9,2888.2273266598654
15,21,2,15,5.852019537598477,3.8592961198415887,11,2,36,5,10,0,466,6,128,542,729.0,10.979032607163251,50,1,2476.79268542696
5,21,6,22,5.953917382715707,4.055467150207873,2,2,31,2,7,5,467,2,47,588,703.0,9.828272749738955,55,0,2733.6856018127846
10,36,4,10,7.067461254510892,3.985046700466939,3,45,49,1,4,0,346,2,57,526,613.0,11.983691591007489,25,0,2315.969984816112
10,11,1,18,9.919896943137053,3.0604799129766573,10,13,41,2,3,0,477,2,141,459,717.0,5.88371125622444,115,1,1851.19792341084
5,25,6,17,5.94754533433281,3.766842344661826,10,2,37,2,12,5,351,7,72,583,700.0,10.86359023549215,45,1,4138.441025283946
148,16,5,11,9.041251648945773,0.9287394113378002,17,95,61,12,3,36,463,9,202,170,817.0,9.9034920623704,254,9,4065.07607098434
25,17,17,16,5.942693680184668,4.122059193250584,12,84,32,4,10,0,464,4,174,571,802.0,10.05196384148582,35,3,2989.402646709628
15,34,11,16,5.803037244245386,2.86438380499708,9,84,22,8,4,10,446,2,335,327,820.0,9.079159637546844,143,8,3778.596326575024
10,26,4,10,8.038295570064795,4.004670989009061,2,1,55,1,3,0,346,2,72,523,633.0,12.199559605639044,25,0,4066.9142787769474
15,13,8,9,6.879997696907359,4.0321075361463325,3,78,75,0,5,0,480,4,172,518,760.0,6.108313079774789,55,3,3448.8493113158474
10,18,4,18,4.979466811461491,3.9930653977910455,7,2,27,3,2,0,464,3,102,578,738.0,9.985978034490907,50,3,3704.822051810182
25,35,11,18,6.137334759188813,2.9709146235987367,9,50,22,10,10,0,446,4,367,286,825.0,8.0823553129502,147,8,3715.95572419209
15,24,12,12,7.029486742871548,2.9655902736805864,4,1,39,1,10,5,350,5,263,430,779.0,10.83051367042496,77,1,2616.079664928872
0,12,3,16,5.853671823789031,5.031075740271446,0,78,73,0,1,0,478,0,45,374,440.0,4.945867044628207,20,0,2719.85932781543
10,11,8,11,6.914460981873546,3.7979500611429455,3,78,77,0,4,0,480,4,95,566,729.0,6.0689900069842695,50,3,3270.61945008071
0,21,13,19,5.981315621999847,4.096276704382122,4,2,37,2,9,5,467,2,67,578,690.0,11.100456475519016,45,0,3228.355124763951
15,29,15,13,8.021838586754061,3.067055522636919,14,77,39,5,6,10,460,7,365,311,802.0,10.941262884529658,99,1,4603.922630769912
5,16,10,17,5.963398537280582,4.905406744018648,5,78,70,0,3,0,479,1,55,404,477.0,6.017879533562486,15,0,2407.913601911808
5,54,7,16,4.939556513266935,4.105867332813798,4,86,39,3,2,5,456,1,126,599,775.0,6.935664835818592,40,1,732.1121165239898
10,47,11,17,6.970030492201783,3.9777275509205032,6,2,35,3,4,0,351,3,72,548,666.0,11.905404929489928,30,0,4129.983851858562
69,27,13,18,7.089581781531029,2.096018914600253,15,47,30,8,4,5,445,3,363,115,825.0,7.997422263714564,273,22,3849.855997722986
15,22,6,17,4.913101896456266,4.0386359916572125,4,83,29,7,3,5,444,0,164,571,797.0,7.960775931811484,50,2,3867.22767306423
5,43,6,11,8.132515485637859,3.973133348057299,4,45,42,1,5,10,346,3,73,542,675.0,12.095417537755846,40,0,3721.238390279197
15,9,2,16,10.125859848906194,1.954449076866651,4,77,69,3,1,10,302,2,283,308,742.0,10.948195937012864,129,0,3200.4882910748324
30,34,9,12,9.111357164239893,2.062348065931293,5,77,53,3,0,10,459,1,357,216,790.0,10.878538096948244,177,1,5098.71281453176
5,25,6,18,5.921689604466113,4.000510912381249,12,1,38,4,12,5,351,8,91,574,697.0,11.081657626794344,45,1,3391.8488903250845
15,12,8,24,9.081933759129091,3.796658353418136,10,48,38,0,4,0,476,2,90,507,642.0,5.118138869195863,30,0,3112.346433314161
20,33,8,12,8.995360310778484,1.8788946218607407,3,77,55,5,0,10,459,0,367,218,773.0,11.16858699682661,155,1,2549.363328288078
5,43,5,14,6.932448307071255,4.018629901742918,6,2,42,1,6,5,351,4,77,553,676.0,12.134948034244744,30,0,4630.855039813328
15,16,6,16,5.923603068066948,3.825970865894357,11,2,36,4,11,0,464,3,134,571,775.0,10.205445677143558,55,4,3776.155845539168
15,11,0,15,10.030856560470609,1.990943491656969,2,77,68,2,0,10,313,1,255,284,762.0,10.999702596471066,191,2,3390.1222404037358
20,33,8,16,5.939939177940145,2.9744031356492435,5,8,28,8,4,0,444,0,236,499,810.0,8.015367434372887,55,1,2301.153949644154
10,24,4,16,5.179551886510816,4.002546480692308,7,86,24,2,4,10,468,2,154,581,807.0,8.890519456454175,50,1,2259.216008820836
5,21,2,17,6.036756553987069,3.961972920233663,11,1,37,3,13,5,351,7,91,574,721.0,11.042025696405403,50,1,4605.064420260956
66,33,13,17,6.915412413231286,2.076130296023754,13,77,24,7,4,5,462,2,390,150,832.0,9.184848792360697,219,13,2948.9583582291307
10,10,4,10,8.07680709596326,4.889138153100733,6,45,69,2,2,0,349,1,50,427,505.0,12.065804514330464,15,0,3302.4038704644186
30,26,14,10,7.843056193307693,1.9791802395695848,6,77,37,7,5,17,457,1,323,205,813.0,9.774594460891066,245,1,5160.8879162186295
20,9,10,22,7.761041783394288,3.939811810699615,7,11,64,2,6,10,472,2,133,507,719.0,5.1256544426216,50,0,486.20238119278775
0,3,5,9,9.98367465987518,5.076952694637352,1,81,21,0,0,0,181,0,50,326,392.0,3.9308357757856434,10,0,6460.318277682191
20,11,10,24,8.040657776609876,4.018693305202888,8,48,62,3,8,10,476,5,132,503,712.0,5.277298043524297,50,0,3762.481967863318
35,17,17,22,7.825395538176023,3.231026921131008,19,10,67,6,13,10,474,4,263,331,772.0,6.065256860323339,136,6,1942.0265375154245
20,44,2,18,5.964350415762969,4.095888807047616,2,83,36,8,3,0,444,4,189,546,806.0,7.152383298760367,55,1,5452.840229374955
15,39,1,18,5.951213240927683,4.004489297986014,3,8,34,7,3,0,444,2,209,526,817.0,6.862210538691974,60,1,2299.667100044034
15,24,11,13,6.853223128865578,2.884730430993569,8,77,34,4,13,10,458,4,277,432,831.0,9.919048048226989,86,3,4258.239075829847
15,13,7,22,9.09760458040117,3.880643519366256,8,48,37,1,3,0,475,3,115,497,661.0,4.836515970151499,25,0,1599.1078757167345
5,18,9,12,6.900399821484041,4.977515271253151,3,45,65,0,2,0,347,2,30,338,391.0,12.033342613727852,15,0,2834.112096540532
42,36,5,12,8.040832229349975,1.819277908462544,7,77,38,6,2,5,460,5,429,247,812.0,11.03011105890255,87,1,2493.9682160211087
25,22,14,13,6.928638383881613,2.8358715431788606,9,50,42,2,8,5,458,6,323,348,809.0,9.803714736838746,99,2,2791.360017846592
5,47,3,17,5.131951518752718,5.106030059621236,4,45,23,1,2,0,357,2,45,282,343.0,10.938715270091318,15,1,2700.145726559786
0,4,0,11,12.084794552259924,3.033185822211745,0,81,23,0,0,0,427,0,47,586,635.0,8.851360312222477,5,0,2082.360802944685
15,29,5,17,5.769455998371392,2.99234278950697,13,84,26,7,3,5,468,0,245,433,820.0,8.143732919780833,122,4,3621.935470195841
25,44,5,10,7.938232000261532,1.920597628787331,5,77,39,4,3,5,460,3,402,256,790.0,10.843107610928518,97,0,3950.695854239322
15,11,11,24,9.078425339975768,3.8671046202659047,10,48,49,2,5,0,476,2,125,497,686.0,4.913955457298599,45,0,2495.439367533673
15,10,8,7,7.052683169677628,4.0387621125305175,3,78,78,0,6,0,480,3,182,508,756.0,5.916186219382309,45,3,2712.6084448987704
33,47,9,13,8.928048244843797,2.03621293764932,8,77,40,2,3,10,459,5,327,215,811.0,10.963445811024782,220,1,4734.032364409714
20,35,6,16,5.975696330154769,2.987895179199235,12,49,23,10,6,5,446,4,317,352,836.0,8.083094139347098,131,8,4406.196526956155
15,29,5,16,5.958487606004156,3.025183716976104,5,8,27,8,4,0,444,0,229,488,808.0,8.038993248560352,78,1,3018.383552937816
25,10,6,22,8.93008691889463,2.9217505629734264,12,10,59,1,9,5,471,6,176,454,736.0,4.9645523287313535,75,1,2923.187193186079
