address_line_2,nearest_cafe,nearest_mart,n_seven_eleven_in_1km,n_bank_in_1km,nearest_pre_school,nearest_secondary_school,nearest_primary_school,n_university_in_1km,nearest_seven_eleven,nearest_hotel,nearest_bank,Chroy_Changvar_Bridge_3_5km,Olympic_Stadium_1_2km,nearest_gas_station,Bassac_Lane_1_2km,Royal_Palace_1_2km,Koh_Pich_2_3km,Phsar_kandal_1_2km,Boeng_Keng_Kang_1_1_2km,f_footway,Sisowath_Riverside_Park_1_2km,Boeng_Keng_Kang_1_nearest,nearest_university,AEON_Mall_1_2_3km,Royal_Palace_nearest,Bassac_Lane_nearest,Olympic_Stadium_2_3km,AEON_Mall_1_1_2km,Phsar_Tmey_1_2km,Wat_Phnom_2_3km,Phnom_Penh_Airport_5_10km,Vattanac_Tower_2_3km,Russian_Market_2_3km,Phsar_Chas_2_3km,Phsar_Tmey_nearest,Vattanac_Tower_1_2km,f_tertiary,Phsar_Tmey_2_3km,Camko_City_3_5km,f_residential,Sisowath_Riverside_Park_2_3km,Wat_Phnom_3_5km,Phsar_Chas_nearest,Russian_Market_1_2km,Phsar_Chas_1_2km,Sisowath_Riverside_Park_3_5km,Chroy_Changvar_Bridge_2_3km,Phsar_kandal_2_3km,Russian_Market_3_5km,Koh_Pich_3_5km,Wat_Phnom_1_2km,Koh_Pich_1_2km,Boeng_Keng_Kang_1_2_3km,Bassac_Lane_2_3km,Royal_Palace_2_3km,f_service,Vattanac_Tower_nearest,Wat_Phnom_nearest,n_borey_in_1km_to_2km,price_per_m2
Boeng Kak Ti Muoy,0,0,1,5,5,2,3,3,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,3576.31
Boeng Kak Ti Pir,3,1,4,0,5,3,4,29,0,1,0,1,0,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,3118.57
Tuek L'ak Ti Muoy,3,1,4,0,3,3,2,31,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,3497.51
Boeng Keng Kang Ti Bei,2,0,2,10,2,0,2,2,0,0,5,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3873.96
Phsar Daeum Kor,2,2,2,43,0,1,2,8,1,0,1,1,0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,3911.29
Veal Vong,1,4,2,5,2,0,1,4,0,0,0,1,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,3318.88
Phsar Daeum Thkov,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,3592.41
Boeng Kak Ti Pir,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3207.93
Phsar Depou Ti Muoy,5,3,2,5,1,0,0,19,3,0,0,0,1,2,0,0,0,0,0,1,0,0,19,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,3224.73
Boeng Trabaek,2,2,5,0,3,1,0,1,1,1,10,0,0,2,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3739.95
Tuek L'ak Ti Bei,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,3414.84
Stueng Mean Chey,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,7,3185.3
Srah Chak,1,0,0,10,3,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,3050.18
Boeng Salang,3,3,2,0,1,0,2,2,0,0,5,1,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,2,3651.73
Boeng Kak Ti Pir,1,0,1,5,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6,3470.36
Phnom Penh Thmei,1,0,1,0,1,2,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,8,3095.16
Boeng Tumpun,1,1,2,5,0,0,2,7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4,3096.31
Stueng Mean Chey,1,0,0,0,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,3174.81
Boeng Kak Ti Pir,1,2,3,5,2,0,2,20,1,0,5,0,0,8,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,3991.68
Stueng Mean Chey,2,0,0,0,1,1,1,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10,3197.64
Stueng Mean Chey,1,1,1,5,0,0,1,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3112.03
Boeng Salang,1,4,0,5,1,2,2,5,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4,3727.35
Tuek L'ak Ti Pir,11,3,0,0,4,3,3,27,3,0,0,1,1,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3996.72
Phsar Daeum Thkov,4,0,2,5,2,4,1,2,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,3946.02
Tonle Basak,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3870.26
Srah Chak,2,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,2,3942.85
Tuek L'ak Ti Bei,7,2,3,0,1,1,0,23,2,0,0,1,0,1,0,0,0,0,0,1,0,0,14,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,3482.8
Stueng Mean Chey,0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,7,3174.29
Tuek L'ak Ti Bei,1,2,0,5,1,1,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4,3705.86
Boeng Tumpun,2,0,3,5,2,3,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,3,3015.8
Boeng Kak Ti Pir,1,1,4,0,0,1,0,19,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,3207.46
Tuek L'ak Ti Bei,1,1,0,0,1,1,1,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,3126.73
Phnom Penh Thmei,0,0,1,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3306.61
Stueng Mean Chey,0,3,1,0,1,1,2,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,3474.25
Phsar Daeum Thkov,3,0,0,0,1,3,1,0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,3,3843.88
Tuek L'ak Ti Bei,2,1,3,0,1,1,0,24,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4,3507.81
Boeng Salang,0,1,1,0,2,1,1,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,3191.26
Srah Chak,2,3,3,6,0,0,1,15,1,1,0,0,1,7,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,4,3158.48
Phsar Depou Ti Muoy,1,2,3,0,2,0,2,16,1,0,5,0,0,8,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,4,3082.58
Tuek L'ak Ti Bei,2,1,0,0,1,1,1,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3680.31
Tuek Thla,3,1,1,0,3,1,0,10,0,0,0,1,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,5,3189.54
Stueng Mean Chey,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4,3276.23
Tuek Thla,0,1,2,0,0,0,0,27,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,3002.36
Srah Chak,1,0,0,1,0,3,1,1,0,1,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,2,3954.43
Chak Angrae Leu,0,0,1,5,0,0,2,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3000.25
Tuek L'ak Ti Muoy,2,1,3,0,2,1,2,30,1,0,0,1,0,4,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,3139.98
Boeng Kak Ti Pir,1,0,0,0,2,0,1,10,1,0,0,1,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3259.65
Tuek L'ak Ti Muoy,5,5,3,1,1,3,5,18,2,1,0,1,1,2,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,3,3820.51
Phsar Daeum Thkov,2,1,5,0,3,1,2,4,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,3,3999.2
Phnom Penh Thmei,0,0,1,5,0,0,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3062.93
Srah Chak,3,0,0,10,2,2,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,3383.8
Phsar Daeum Kor,3,4,3,0,2,1,3,5,0,0,5,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,2,3863.05
Boeng Salang,1,4,0,5,1,0,3,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3,3605.21
Chrouy Changvar,4,9,4,30,0,0,0,2,2,19,16,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,3007.85
Phsar Daeum Kor,5,2,2,0,2,5,6,30,1,0,0,1,1,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,3243.86
Srah Chak,4,0,1,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,2,3845.59
Stueng Mean Chey,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,4,3488.45
Stueng Mean Chey,3,2,0,0,1,2,2,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3163.62
Tuek L'ak Ti Muoy,10,1,1,0,2,0,0,15,3,0,0,1,0,2,0,0,0,0,0,0,0,0,23,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,3420.01
Phsar Daeum Thkov,1,0,4,0,2,1,2,3,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,3,3923.54
Phnom Penh Thmei,2,0,0,5,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3006.56
Tuek L'ak Ti Muoy,2,3,3,6,0,0,1,18,1,1,0,0,1,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,4,3967.01
Boeng Kak Ti Muoy,0,0,1,0,1,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3642.71
Phsar Depou Ti Bei,1,4,3,12,0,0,1,16,1,2,0,0,1,5,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,0,4,3557.44
Boeng Kak Ti Pir,1,2,2,5,5,2,3,6,0,0,5,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,3,3933.65
Tuek L'ak Ti Muoy,0,0,2,0,1,0,0,10,1,0,0,1,0,3,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3200.01
Tumnob Tuek,0,2,1,0,0,1,4,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,5,3881.45
