Koh_Norea_5_10km,Phsar_Chas_nearest,Phsar_kandal_nearest,address_line_2,address_locality,h_id_price_min,n_atm_in_1km_to_2km,n_atm_in_3km_to_5km,n_university_in_1km_to_2km,n_university_in_2km_to_3km,price_per_m2
1.0,0.0,0.0,87.0,0.0,2747.5,55.0,513.0,21.0,50.0,4802.0
1.0,0.0,0.0,8.0,11.0,1636.88,167.0,325.0,52.0,29.0,3909.58
1.0,0.0,0.0,86.0,10.0,925.25,60.0,586.0,39.0,20.0,3424.11
1.0,0.0,0.0,45.0,10.0,1492.51,20.0,351.0,6.0,16.0,3342.45
0.0,0.0,0.0,13.0,5.0,1899.58,110.0,439.0,7.0,12.0,3055.89
1.0,0.0,0.0,78.0,5.0,1549.48,20.0,362.0,5.0,11.0,3233.77
1.0,0.0,0.0,83.0,11.0,2275.51,71.0,451.0,25.0,51.0,3866.37
1.0,0.0,0.0,45.0,10.0,1492.51,20.0,348.0,6.0,17.0,3332.88
1.0,0.0,0.0,78.0,5.0,1549.48,20.0,343.0,5.0,9.0,3531.26
1.0,0.0,0.0,2.0,11.0,2816.67,50.0,583.0,43.0,22.0,3893.73
1.0,0.0,0.0,84.0,11.0,2783.48,88.0,442.0,23.0,26.0,4117.36
1.0,0.0,0.0,45.0,10.0,1492.51,55.0,588.0,40.0,19.0,3354.46
0.0,1.0,0.0,95.0,4.0,3026.69,246.0,175.0,10.0,10.0,3965.1
1.0,0.0,0.0,35.0,7.0,2707.91,295.0,130.0,51.0,22.0,3932.83
1.0,0.0,0.0,11.0,5.0,1321.63,121.0,350.0,14.0,48.0,3349.87
1.0,0.0,0.0,78.0,5.0,1549.48,5.0,283.0,6.0,5.0,3319.41
0.0,0.0,0.0,10.0,0.0,2070.16,110.0,336.0,7.0,13.0,3992.9
1.0,0.0,0.0,83.0,11.0,2275.51,60.0,546.0,21.0,52.0,3627.95
1.0,0.0,0.0,8.0,11.0,1636.88,40.0,594.0,14.0,53.0,3397.11
0.0,0.0,0.0,10.0,0.0,2070.16,65.0,510.0,2.0,12.0,3392.96
1.0,0.0,0.0,1.0,11.0,2380.29,62.0,501.0,38.0,25.0,4260.39
1.0,0.0,0.0,87.0,0.0,2747.5,50.0,549.0,10.0,22.0,2747.5
1.0,0.0,0.0,51.0,11.0,2148.47,111.0,378.0,22.0,36.0,3813.6
1.0,0.0,0.0,77.0,4.0,2857.88,186.0,279.0,5.0,9.0,3726.41
0.0,0.0,0.0,48.0,0.0,2054.11,30.0,402.0,2.0,7.0,3538.22
0.0,0.0,0.0,48.0,0.0,2054.11,35.0,461.0,1.0,11.0,3694.86
1.0,0.0,0.0,86.0,10.0,925.25,40.0,521.0,29.0,26.0,3501.44
1.0,0.0,0.0,45.0,10.0,1492.51,15.0,429.0,7.0,29.0,3347.1
1.0,0.0,0.0,78.0,5.0,1549.48,45.0,545.0,12.0,11.0,3613.86
1.0,0.0,0.0,51.0,11.0,2148.47,244.0,125.0,44.0,30.0,4386.23
0.0,0.0,0.0,11.0,5.0,1321.63,223.0,258.0,13.0,39.0,3559.41
1.0,0.0,0.0,78.0,5.0,1549.48,35.0,571.0,8.0,16.0,3730.32
1.0,0.0,0.0,45.0,10.0,1492.51,70.0,567.0,47.0,15.0,3503.21
1.0,0.0,0.0,83.0,11.0,2275.51,45.0,584.0,48.0,29.0,3333.03
1.0,0.0,0.0,45.0,10.0,1492.51,50.0,597.0,36.0,17.0,3300.99
1.0,0.0,0.0,83.0,11.0,2275.51,94.0,437.0,25.0,50.0,3879.67
1.0,0.0,0.0,11.0,5.0,1321.63,71.0,416.0,18.0,48.0,3240.89
0.0,0.0,0.0,48.0,0.0,2054.11,70.0,493.0,2.0,11.0,3943.96
1.0,0.0,0.0,2.0,11.0,2816.67,45.0,579.0,38.0,27.0,3843.62
1.0,0.0,0.0,8.0,11.0,1636.88,65.0,487.0,14.0,41.0,3683.1
1.0,0.0,0.0,45.0,10.0,1492.51,50.0,564.0,23.0,17.0,3425.99
1.0,0.0,0.0,77.0,4.0,2857.88,282.0,190.0,44.0,27.0,3878.6
1.0,0.0,0.0,8.0,11.0,1636.88,35.0,592.0,14.0,54.0,3389.47
1.0,0.0,0.0,45.0,10.0,1492.51,50.0,571.0,39.0,17.0,3255.68
1.0,0.0,0.0,77.0,4.0,2857.88,348.0,180.0,33.0,37.0,4253.52
1.0,0.0,0.0,1.0,11.0,2380.29,30.0,548.0,5.0,47.0,4312.26
1.0,0.0,0.0,78.0,5.0,1549.48,25.0,391.0,8.0,12.0,3284.84
0.0,0.0,0.0,11.0,5.0,1321.63,143.0,339.0,6.0,28.0,3500.53
1.0,0.0,0.0,84.0,11.0,2783.48,138.0,363.0,20.0,34.0,3965.64
1.0,0.0,0.0,78.0,5.0,1549.48,50.0,516.0,13.0,18.0,3616.64
1.0,0.0,0.0,8.0,11.0,1636.88,132.0,389.0,48.0,32.0,3776.95
1.0,0.0,0.0,86.0,10.0,925.25,35.0,489.0,12.0,33.0,3276.43
1.0,0.0,0.0,8.0,11.0,1636.88,151.0,284.0,25.0,35.0,3987.8
1.0,0.0,0.0,50.0,11.0,2401.48,137.0,338.0,25.0,36.0,3776.51
1.0,0.0,0.0,45.0,10.0,1492.51,15.0,339.0,4.0,8.0,3220.68
1.0,0.0,0.0,1.0,11.0,2380.29,20.0,503.0,10.0,45.0,4050.66
0.0,0.0,0.0,48.0,0.0,2054.11,50.0,520.0,3.0,11.0,4048.01
1.0,0.0,0.0,45.0,10.0,1492.51,35.0,417.0,33.0,32.0,3158.18
1.0,0.0,0.0,77.0,4.0,2857.88,192.0,205.0,41.0,27.0,3744.45
1.0,0.0,0.0,83.0,11.0,2275.51,108.0,434.0,29.0,29.0,3821.94
1.0,0.0,0.0,50.0,11.0,2401.48,145.0,289.0,26.0,35.0,3634.07
1.0,0.0,0.0,83.0,11.0,2275.51,55.0,582.0,40.0,24.0,3601.39
1.0,0.0,0.0,1.0,11.0,2380.29,52.0,528.0,38.0,25.0,4257.82
1.0,0.0,0.0,50.0,11.0,2401.48,92.0,411.0,48.0,25.0,3510.68
1.0,0.0,0.0,11.0,5.0,1321.63,126.0,397.0,26.0,42.0,3239.61
1.0,0.0,0.0,50.0,11.0,2401.48,94.0,318.0,48.0,25.0,3772.61
1.0,0.0,0.0,78.0,5.0,1549.48,15.0,397.0,15.0,43.0,3220.6
0.0,0.0,0.0,48.0,0.0,2054.11,15.0,298.0,1.0,5.0,3218.36
1.0,0.0,0.0,8.0,11.0,1636.88,111.0,378.0,22.0,34.0,4148.87
1.0,0.0,0.0,78.0,5.0,1549.48,40.0,585.0,20.0,54.0,3494.13
1.0,0.0,0.0,7.0,4.0,3830.82,372.0,115.0,39.0,29.0,3830.82
0.0,0.0,0.0,11.0,5.0,1321.63,90.0,417.0,9.0,26.0,3433.77
1.0,0.0,0.0,45.0,10.0,1492.51,35.0,566.0,36.0,24.0,3451.86
0.0,0.0,0.0,10.0,0.0,2070.16,65.0,459.0,9.0,11.0,3752.68
1.0,0.0,0.0,1.0,11.0,2380.29,40.0,573.0,33.0,27.0,4278.92
1.0,0.0,0.0,83.0,11.0,2275.51,166.0,340.0,50.0,31.0,4013.04
1.0,0.0,0.0,77.0,4.0,2857.88,201.0,227.0,37.0,28.0,3805.72
1.0,0.0,0.0,45.0,10.0,1492.51,35.0,532.0,5.0,41.0,3408.49
1.0,0.0,0.0,94.0,7.0,2664.9,190.0,292.0,17.0,50.0,4394.65
1.0,0.0,0.0,78.0,5.0,1549.48,35.0,455.0,8.0,44.0,3433.98
0.0,0.0,0.0,10.0,0.0,2070.16,176.0,258.0,14.0,12.0,4103.01
1.0,0.0,0.0,45.0,10.0,1492.51,50.0,578.0,37.0,18.0,3371.21
1.0,0.0,0.0,47.0,11.0,3295.08,218.0,140.0,36.0,30.0,4067.4
1.0,0.0,0.0,78.0,5.0,1549.48,10.0,299.0,3.0,10.0,3280.2
1.0,0.0,0.0,84.0,11.0,2783.48,55.0,582.0,38.0,24.0,3575.81
1.0,0.0,0.0,2.0,11.0,2816.67,122.0,367.0,20.0,31.0,4328.94
1.0,0.0,0.0,78.0,5.0,1549.48,35.0,402.0,8.0,12.0,3343.31
1.0,0.0,0.0,47.0,11.0,3295.08,258.0,110.0,47.0,30.0,3990.56
1.0,0.0,0.0,77.0,4.0,2857.88,98.0,262.0,45.0,21.0,3817.78
