address_line_2,address_locality,h_id,n_atm_in_1km,n_atm_in_1km_to_2km,n_atm_in_2km_to_3km,n_atm_in_3km_to_5km,n_university_in_2km_to_3km,near_AEON_Mall_3_in_km,near_Phnom_Penh_Airport_in_km,price_per_m2
94.0,7.0,443.0,25.0,121.0,296.0,353.0,47.0,7.198012923493758,7.045201600947858,2953.421320368042
48.0,0.0,476.0,5.0,25.0,70.0,437.0,11.0,3.836660186447782,8.768629871081563,3461.355857572472
2.0,11.0,351.0,0.0,40.0,67.0,558.0,28.0,11.022862362767304,6.068634528052039,2963.260083147825
50.0,11.0,470.0,25.0,122.0,290.0,388.0,32.0,8.837239389943004,5.969321868864234,3118.8772008019423
10.0,0.0,471.0,30.0,90.0,213.0,407.0,13.0,6.068096697411515,9.086006044506505,4208.777639487937
83.0,11.0,456.0,15.0,35.0,126.0,604.0,54.0,7.03181649425818,4.892381338035957,3438.88497366143
78.0,5.0,481.0,15.0,35.0,80.0,563.0,14.0,6.214858961533749,5.902233363602684,3869.836596272897
77.0,4.0,460.0,47.0,153.0,415.0,195.0,34.0,9.97489003203757,7.896321380782404,2734.553173704817
8.0,11.0,443.0,25.0,155.0,302.0,323.0,43.0,7.115670758428935,7.07216931366955,3005.970538400144
2.0,11.0,351.0,20.0,30.0,78.0,577.0,39.0,11.103081483617562,7.106397963076888,3764.669730625405
45.0,10.0,346.0,10.0,25.0,74.0,541.0,27.0,12.134630381932404,7.964863380571227,2686.8945998198205
11.0,5.0,448.0,15.0,66.0,258.0,451.0,47.0,7.092136727005283,5.817476073806352,1789.7403526687826
78.0,5.0,456.0,5.0,40.0,50.0,527.0,61.0,6.940974959719006,5.064671419328625,3588.5701033737937
2.0,11.0,470.0,15.0,119.0,308.0,368.0,26.0,10.1715503407479,7.054748267654676,3721.694726849548
78.0,5.0,481.0,10.0,30.0,119.0,582.0,20.0,5.9436039363620194,6.053886175569492,3206.4575900506675
78.0,5.0,450.0,10.0,30.0,55.0,515.0,50.0,7.773125341550284,4.88517729387009,4526.4770220795845
8.0,11.0,444.0,15.0,128.0,279.0,398.0,32.0,8.021662893982223,5.989400581285292,3477.04418820466
85.0,11.0,468.0,20.0,104.0,300.0,386.0,30.0,9.0883742874499,6.075833920555791,3395.4607341119445
48.0,0.0,476.0,20.0,40.0,125.0,520.0,11.0,4.907301913617223,7.959093179666596,3116.123291595742
81.0,0.0,427.0,0.0,5.0,68.0,565.0,4.0,9.035971965729717,11.997416448388526,2461.773069706217
77.0,4.0,457.0,34.0,253.0,313.0,200.0,37.0,10.006953110178712,7.890452716627262,3795.940638956769
83.0,11.0,468.0,20.0,45.0,176.0,564.0,20.0,9.031473502302113,6.037642146749836,2883.765957764769
78.0,5.0,481.0,15.0,40.0,86.0,585.0,17.0,6.070764110576532,6.075281964992835,3421.177661223945
83.0,11.0,444.0,10.0,115.0,257.0,423.0,39.0,6.913507632009204,6.0702396000111865,2298.750990741862
11.0,5.0,476.0,20.0,35.0,125.0,520.0,12.0,4.849809967822154,7.882102506027652,1001.1900168431188
2.0,11.0,464.0,10.0,50.0,148.0,562.0,18.0,9.179206585738514,4.998749570722315,4118.291088420163
83.0,11.0,452.0,10.0,35.0,112.0,608.0,26.0,8.10921710713647,5.0561718406479566,3937.090548749095
45.0,10.0,349.0,0.0,20.0,50.0,391.0,8.0,12.684233745088182,7.981657437807674,2980.3023708822666
78.0,5.0,448.0,20.0,55.0,209.0,516.0,51.0,6.956568466745403,5.978654975087098,3779.891779551573
48.0,0.0,476.0,10.0,45.0,100.0,543.0,12.0,5.065092579933348,8.070776373454708,3171.584818626537
83.0,11.0,468.0,10.0,45.0,128.0,592.0,20.0,9.026620147634883,4.985487940708303,2876.185853876285
8.0,11.0,444.0,20.0,55.0,231.0,499.0,31.0,8.065197515318319,6.285217611142396,3257.405657192857
77.0,4.0,462.0,15.0,234.0,370.0,196.0,30.0,9.124051850337333,7.004747099273517,3066.95133020794
50.0,11.0,470.0,15.0,119.0,276.0,400.0,26.0,9.852282394676545,7.121175331103868,2653.3638094403027
83.0,11.0,452.0,10.0,35.0,112.0,608.0,23.0,8.14590986100362,5.011585977849491,2687.052303580613
86.0,10.0,468.0,15.0,40.0,196.0,544.0,24.0,8.16952222178801,5.8715443407686365,2142.946066012989
78.0,5.0,480.0,10.0,50.0,60.0,566.0,14.0,4.875294868848526,6.986434547941606,4303.96853850059
86.0,10.0,469.0,5.0,55.0,120.0,580.0,19.0,9.038696021437808,4.954723530837969,3090.4860909113568
77.0,4.0,459.0,42.0,303.0,235.0,210.0,29.0,11.086222238815626,8.91104592812823,2528.1002444386654
13.0,5.0,477.0,10.0,75.0,107.0,492.0,9.0,5.933083701565462,9.893730462710534,2173.3639374869745
84.0,11.0,464.0,10.0,60.0,135.0,575.0,16.0,9.92618518816168,6.075286375460677,2993.165445953853
2.0,11.0,467.0,5.0,40.0,66.0,560.0,21.0,9.940452287706815,5.173110124180383,3174.3952946468103
84.0,11.0,470.0,20.0,144.0,348.0,308.0,35.0,8.94669994874315,6.962939268379743,2822.932802945768
48.0,0.0,472.0,30.0,70.0,205.0,430.0,18.0,5.919448393092245,8.050081193551941,3671.7726801349104
45.0,10.0,347.0,5.0,20.0,40.0,346.0,24.0,12.298341204141495,6.968826945384876,3745.319157992746
77.0,4.0,460.0,47.0,221.0,342.0,200.0,31.0,9.97936930169085,8.07057075500823,2708.994695119851
47.0,11.0,443.0,20.0,214.0,312.0,259.0,43.0,7.118067505330036,7.121920507561684,5326.281507157324
8.0,11.0,444.0,10.0,138.0,273.0,394.0,30.0,7.972840308445935,5.940395768511801,1361.4187801186754
22.0,2.0,317.0,152.0,208.0,200.0,135.0,12.0,9.914212305557603,10.007757858398,2377.9537182203258
47.0,11.0,446.0,10.0,127.0,317.0,361.0,36.0,8.961632895031869,6.14640046626349,2512.466455605404
77.0,4.0,457.0,27.0,280.0,316.0,185.0,34.0,10.082720464445584,8.04496554397238,4074.509377654419
78.0,5.0,480.0,25.0,55.0,174.0,506.0,15.0,5.842548347095722,7.05705370942726,3036.2032790806998
78.0,5.0,456.0,5.0,35.0,120.0,566.0,49.0,7.11405955571387,5.110238205967311,3284.980478413718
84.0,11.0,470.0,25.0,103.0,258.0,434.0,23.0,8.989983444508551,5.887289855414891,3818.425362183008
48.0,0.0,472.0,30.0,65.0,183.0,467.0,17.0,6.0118455839451945,6.93544629504534,2838.065380610444
45.0,10.0,353.0,0.0,20.0,30.0,178.0,34.0,11.92218986709258,4.930793261388611,2798.847488642036
84.0,11.0,470.0,15.0,186.0,393.0,226.0,27.0,9.103411023636664,7.032323002997087,3372.752956578077
1.0,11.0,351.0,10.0,30.0,62.0,548.0,46.0,11.838249036546353,6.902295857171335,3853.895619116654
49.0,11.0,462.0,32.0,238.0,380.0,170.0,30.0,9.159861822714658,7.117796815043488,3871.4744837272488
2.0,11.0,458.0,30.0,110.0,383.0,282.0,24.0,9.930045453360847,6.984241294892359,1746.1750073506971
84.0,11.0,464.0,10.0,55.0,116.0,579.0,19.0,10.12181734884432,4.982658663952652,3232.8691699462806
87.0,0.0,448.0,20.0,55.0,192.0,523.0,52.0,7.038903056949799,6.060729794283965,4711.944564900716
45.0,10.0,467.0,5.0,60.0,66.0,589.0,16.0,11.109488991668169,6.059115048246979,2578.3506689937158
48.0,0.0,476.0,10.0,20.0,80.0,452.0,10.0,3.866337823540933,7.987032849685871,3327.695806135784
10.0,0.0,473.0,40.0,133.0,293.0,284.0,13.0,5.905855588762446,9.23420833269663,2517.1186711156643
45.0,10.0,347.0,5.0,20.0,25.0,351.0,16.0,11.913634472611918,7.16241385238321,3199.647329776353
2.0,11.0,351.0,25.0,30.0,92.0,578.0,24.0,11.017372203058462,7.041656137952994,4102.633122840006
86.0,10.0,456.0,5.0,40.0,61.0,600.0,59.0,6.981412984300929,4.976944392801041,2424.563433716732
77.0,4.0,460.0,15.0,73.0,336.0,331.0,39.0,10.823070088843178,7.976071436704233,2954.053927065944
45.0,10.0,351.0,5.0,50.0,91.0,574.0,23.0,11.025696959223003,5.937894953919554,2172.371280109117
35.0,7.0,445.0,72.0,276.0,367.0,105.0,33.0,8.045403619202053,7.139406253908098,2744.490488442429
83.0,11.0,452.0,0.0,40.0,51.0,594.0,50.0,7.829493200632851,4.936926102877691,3196.4451970438417
2.0,11.0,470.0,20.0,126.0,280.0,389.0,28.0,9.800421257346107,6.986772745125238,3891.5438348220314
85.0,11.0,468.0,20.0,108.0,258.0,429.0,31.0,8.112130270556017,6.1037752773354885,2963.06527901898
78.0,5.0,448.0,10.0,70.0,264.0,436.0,49.0,6.937688294361903,6.036941940393867,4043.972877460176
45.0,10.0,347.0,5.0,25.0,60.0,479.0,47.0,12.15500679218745,6.881165440299979,3196.194070027631
2.0,11.0,466.0,20.0,67.0,199.0,509.0,23.0,10.054406114018704,6.944293584736113,3191.686921149597
91.0,0.0,476.0,10.0,35.0,95.0,515.0,13.0,4.884363378241121,8.043565660529199,5024.598320571162
77.0,4.0,313.0,75.0,314.0,206.0,195.0,25.0,9.99450349916834,8.935494832070766,3562.410272263965
47.0,11.0,445.0,35.0,308.0,337.0,95.0,31.0,8.01832042258168,6.915337038403841,2969.113966143422
48.0,0.0,187.0,0.0,30.0,70.0,405.0,8.0,4.144286422948422,9.084799048429543,2425.7186271049686
77.0,4.0,457.0,31.0,274.0,308.0,190.0,37.0,10.233455793560202,8.118226840671696,2548.240452009973
78.0,5.0,480.0,15.0,55.0,189.0,496.0,19.0,6.019772182902599,6.961681499002163,2970.866684197092
10.0,0.0,473.0,20.0,110.0,161.0,439.0,12.0,5.97653717935535,10.046572435904686,1848.0397294903307
84.0,11.0,464.0,10.0,50.0,68.0,602.0,18.0,10.021052921073531,4.987913431785446,2987.3881776824696
45.0,10.0,351.0,15.0,30.0,82.0,563.0,43.0,10.907765224642882,6.966788917367095,2820.4372555182176
45.0,10.0,347.0,5.0,25.0,45.0,361.0,45.0,11.9291345238629,5.864996030271004,2836.5439062000764
36.0,7.0,463.0,153.0,358.0,155.0,135.0,50.0,9.814508569569588,8.985515666983774,4384.333313664443
5.0,0.0,449.0,35.0,258.0,330.0,182.0,51.0,7.01917120816506,7.05645620435219,2571.0855797628856
45.0,10.0,351.0,10.0,30.0,66.0,489.0,44.0,11.972012179540336,5.774127744352339,3093.245932879256
86.0,10.0,468.0,20.0,40.0,148.0,592.0,25.0,8.00010227442554,4.862311826522965,3424.6567120232226
78.0,5.0,456.0,10.0,45.0,123.0,612.0,53.0,7.036385706211436,4.990194162970691,3661.400403658907
10.0,0.0,471.0,15.0,65.0,145.0,480.0,11.0,5.01142201566843,9.032493247281172,2626.432460503287
2.0,11.0,464.0,10.0,50.0,86.0,594.0,17.0,9.960567167528133,5.065702622499615,2696.2881588406926
45.0,10.0,351.0,0.0,40.0,67.0,583.0,23.0,11.025841123722644,6.117237216067423,2681.888960612318
45.0,10.0,467.0,5.0,55.0,47.0,576.0,19.0,11.184726708704549,5.984744423630492,2807.219895645861
45.0,10.0,347.0,0.0,20.0,40.0,357.0,40.0,12.123579069998016,7.015608532278107,3350.0324836200666
49.0,11.0,446.0,31.0,227.0,368.0,199.0,32.0,7.956656921402169,6.973001987443066,2927.6419115582557
94.0,7.0,443.0,20.0,173.0,325.0,287.0,37.0,6.98463180614573,7.084250732318568,5235.781543247785
78.0,5.0,479.0,5.0,10.0,65.0,387.0,12.0,6.006737513354292,6.143370845448255,3522.697674180822
78.0,5.0,478.0,5.0,20.0,55.0,447.0,15.0,6.048234229830199,5.858260636019569,3996.6354045857433
84.0,11.0,468.0,10.0,120.0,302.0,383.0,36.0,8.00144014916183,6.062897495572233,3462.295791047197
11.0,5.0,448.0,20.0,40.0,212.0,513.0,51.0,6.928115124522803,5.965180402637632,1588.9351866182724
81.0,0.0,475.0,0.0,15.0,70.0,363.0,6.0,3.992306637312785,10.13422973047604,6564.748895576541
50.0,11.0,470.0,20.0,150.0,366.0,284.0,35.0,9.155019465564264,7.170362056197991,5115.368545904772
49.0,11.0,462.0,50.0,230.0,385.0,160.0,29.0,8.892090749043437,7.146974495331267,3817.2034724587215
78.0,5.0,448.0,20.0,50.0,219.0,496.0,49.0,6.972270614121661,5.844874093153448,3282.6455735635413
51.0,11.0,446.0,20.0,213.0,375.0,217.0,36.0,7.799674905295958,7.030692890629175,2888.2273266598654
2.0,11.0,466.0,15.0,50.0,128.0,542.0,21.0,10.979032607163251,5.852019537598477,2476.79268542696
2.0,11.0,467.0,5.0,55.0,47.0,588.0,21.0,9.828272749738955,5.953917382715707,2733.6856018127846
45.0,10.0,346.0,10.0,25.0,57.0,526.0,36.0,11.983691591007489,7.067461254510892,2315.969984816112
13.0,5.0,477.0,10.0,115.0,141.0,459.0,11.0,5.88371125622444,9.919896943137053,1851.19792341084
2.0,11.0,351.0,5.0,45.0,72.0,583.0,25.0,10.86359023549215,5.94754533433281,4138.441025283946
95.0,4.0,463.0,148.0,254.0,202.0,170.0,16.0,9.9034920623704,9.041251648945773,4065.07607098434
84.0,11.0,464.0,25.0,35.0,174.0,571.0,17.0,10.05196384148582,5.942693680184668,2989.402646709628
84.0,11.0,446.0,15.0,143.0,335.0,327.0,34.0,9.079159637546844,5.803037244245386,3778.596326575024
1.0,11.0,346.0,10.0,25.0,72.0,523.0,26.0,12.199559605639044,8.038295570064795,4066.9142787769474
78.0,5.0,480.0,15.0,55.0,172.0,518.0,13.0,6.108313079774789,6.879997696907359,3448.8493113158474
2.0,11.0,464.0,10.0,50.0,102.0,578.0,18.0,9.985978034490907,4.979466811461491,3704.822051810182
50.0,11.0,446.0,25.0,147.0,367.0,286.0,35.0,8.0823553129502,6.137334759188813,3715.95572419209
1.0,11.0,350.0,15.0,77.0,263.0,430.0,24.0,10.83051367042496,7.029486742871548,2616.079664928872
78.0,5.0,478.0,0.0,20.0,45.0,374.0,12.0,4.945867044628207,5.853671823789031,2719.85932781543
78.0,5.0,480.0,10.0,50.0,95.0,566.0,11.0,6.0689900069842695,6.914460981873546,3270.61945008071
2.0,11.0,467.0,0.0,45.0,67.0,578.0,21.0,11.100456475519016,5.981315621999847,3228.355124763951
77.0,4.0,460.0,15.0,99.0,365.0,311.0,29.0,10.941262884529658,8.021838586754061,4603.922630769912
78.0,5.0,479.0,5.0,15.0,55.0,404.0,16.0,6.017879533562486,5.963398537280582,2407.913601911808
86.0,10.0,456.0,5.0,40.0,126.0,599.0,54.0,6.935664835818592,4.939556513266935,732.1121165239898
2.0,11.0,351.0,10.0,30.0,72.0,548.0,47.0,11.905404929489928,6.970030492201783,4129.983851858562
47.0,11.0,445.0,69.0,273.0,363.0,115.0,27.0,7.997422263714564,7.089581781531029,3849.855997722986
83.0,11.0,444.0,15.0,50.0,164.0,571.0,22.0,7.960775931811484,4.913101896456266,3867.22767306423
45.0,10.0,346.0,5.0,40.0,73.0,542.0,43.0,12.095417537755846,8.132515485637859,3721.238390279197
77.0,4.0,302.0,15.0,129.0,283.0,308.0,9.0,10.948195937012864,10.125859848906194,3200.4882910748324
77.0,4.0,459.0,30.0,177.0,357.0,216.0,34.0,10.878538096948244,9.111357164239893,5098.71281453176
1.0,11.0,351.0,5.0,45.0,91.0,574.0,25.0,11.081657626794344,5.921689604466113,3391.8488903250845
48.0,0.0,476.0,15.0,30.0,90.0,507.0,12.0,5.118138869195863,9.081933759129091,3112.346433314161
77.0,4.0,459.0,20.0,155.0,367.0,218.0,33.0,11.16858699682661,8.995360310778484,2549.363328288078
2.0,11.0,351.0,5.0,30.0,77.0,553.0,43.0,12.134948034244744,6.932448307071255,4630.855039813328
2.0,11.0,464.0,15.0,55.0,134.0,571.0,16.0,10.205445677143558,5.923603068066948,3776.155845539168
77.0,4.0,313.0,15.0,191.0,255.0,284.0,11.0,10.999702596471066,10.030856560470609,3390.1222404037358
8.0,11.0,444.0,20.0,55.0,236.0,499.0,33.0,8.015367434372887,5.939939177940145,2301.153949644154
86.0,10.0,468.0,10.0,50.0,154.0,581.0,24.0,8.890519456454175,5.179551886510816,2259.216008820836
1.0,11.0,351.0,5.0,50.0,91.0,574.0,21.0,11.042025696405403,6.036756553987069,4605.064420260956
77.0,4.0,462.0,66.0,219.0,390.0,150.0,33.0,9.184848792360697,6.915412413231286,2948.9583582291307
45.0,10.0,349.0,10.0,15.0,50.0,427.0,10.0,12.065804514330464,8.07680709596326,3302.4038704644186
77.0,4.0,457.0,30.0,245.0,323.0,205.0,26.0,9.774594460891066,7.843056193307693,5160.8879162186295
11.0,5.0,472.0,20.0,50.0,133.0,507.0,9.0,5.1256544426216,7.761041783394288,486.20238119278775
81.0,0.0,181.0,0.0,10.0,50.0,326.0,3.0,3.9308357757856434,9.98367465987518,6460.318277682191
48.0,0.0,476.0,20.0,50.0,132.0,503.0,11.0,5.277298043524297,8.040657776609876,3762.481967863318
10.0,0.0,474.0,35.0,136.0,263.0,331.0,17.0,6.065256860323339,7.825395538176023,1942.0265375154245
83.0,11.0,444.0,20.0,55.0,189.0,546.0,44.0,7.152383298760367,5.964350415762969,5452.840229374955
8.0,11.0,444.0,15.0,60.0,209.0,526.0,39.0,6.862210538691974,5.951213240927683,2299.667100044034
77.0,4.0,458.0,15.0,86.0,277.0,432.0,24.0,9.919048048226989,6.853223128865578,4258.239075829847
48.0,0.0,475.0,15.0,25.0,115.0,497.0,13.0,4.836515970151499,9.09760458040117,1599.1078757167345
45.0,10.0,347.0,5.0,15.0,30.0,338.0,18.0,12.033342613727852,6.900399821484041,2834.112096540532
77.0,4.0,460.0,42.0,87.0,429.0,247.0,36.0,11.03011105890255,8.040832229349975,2493.9682160211087
50.0,11.0,458.0,25.0,99.0,323.0,348.0,22.0,9.803714736838746,6.928638383881613,2791.360017846592
45.0,10.0,357.0,5.0,15.0,45.0,282.0,47.0,10.938715270091318,5.131951518752718,2700.145726559786
81.0,0.0,427.0,0.0,5.0,47.0,586.0,4.0,8.851360312222477,12.084794552259924,2082.360802944685
84.0,11.0,468.0,15.0,122.0,245.0,433.0,29.0,8.143732919780833,5.769455998371392,3621.935470195841
77.0,4.0,460.0,25.0,97.0,402.0,256.0,44.0,10.843107610928518,7.938232000261532,3950.695854239322
48.0,0.0,476.0,15.0,45.0,125.0,497.0,11.0,4.913955457298599,9.078425339975768,2495.439367533673
78.0,5.0,480.0,15.0,45.0,182.0,508.0,10.0,5.916186219382309,7.052683169677628,2712.6084448987704
77.0,4.0,459.0,33.0,220.0,327.0,215.0,47.0,10.963445811024782,8.928048244843797,4734.032364409714
49.0,11.0,446.0,20.0,131.0,317.0,352.0,35.0,8.083094139347098,5.975696330154769,4406.196526956155
8.0,11.0,444.0,15.0,78.0,229.0,488.0,29.0,8.038993248560352,5.958487606004156,3018.383552937816
10.0,0.0,471.0,25.0,75.0,176.0,454.0,10.0,4.9645523287313535,8.93008691889463,2923.187193186079
78.0,5.0,450.0,10.0,25.0,35.0,475.0,53.0,7.912715668110747,4.058202817096597,3864.870485860423
50.0,11.0,458.0,41.0,131.0,357.0,276.0,24.0,10.028438681947415,6.954146258307856,2969.547500339272
10.0,0.0,473.0,45.0,176.0,289.0,255.0,11.0,5.939349860088851,8.951294615068937,3633.168714593864
45.0,10.0,351.0,5.0,35.0,72.0,545.0,31.0,11.00093504129763,6.080777182502176,2411.708992217606
10.0,0.0,471.0,20.0,115.0,153.0,447.0,11.0,5.9786784154137225,8.961726581021116,3897.564333377192
83.0,11.0,444.0,15.0,146.0,288.0,371.0,30.0,8.052514083305287,5.963784635440599,3531.5259234086056
2.0,11.0,467.0,5.0,65.0,61.0,589.0,16.0,11.003007626199004,5.977957154870348,1683.9244396541146
77.0,4.0,457.0,31.0,261.0,306.0,205.0,36.0,10.210868612263564,7.974932479770724,4166.696198503139
83.0,11.0,468.0,15.0,40.0,241.0,509.0,26.0,9.268657266880984,5.925342220852558,4031.547923639305
45.0,10.0,347.0,0.0,15.0,30.0,267.0,16.0,11.944131815126074,6.970157644301739,3589.5075227558623
11.0,5.0,447.0,30.0,90.0,243.0,417.0,28.0,5.902959737706567,7.132891913901857,2014.0816901182109
45.0,10.0,346.0,10.0,15.0,50.0,440.0,30.0,11.851169392607822,7.011542081182801,3398.1783249932746
45.0,10.0,464.0,10.0,60.0,133.0,582.0,16.0,10.082775666836415,5.967281914164121,3052.806546201114
86.0,10.0,468.0,20.0,79.0,251.0,460.0,26.0,8.758991568700226,6.174555040590333,2127.658413701948
87.0,0.0,448.0,15.0,55.0,202.0,513.0,50.0,6.9037399129673815,6.066721454270305,3462.5619767711614
8.0,11.0,443.0,10.0,167.0,318.0,325.0,29.0,8.020206175748674,5.979471660119672,2380.140418064717
86.0,10.0,464.0,10.0,60.0,99.0,586.0,20.0,9.969502003959764,4.989233698634592,2186.633181283454
45.0,10.0,347.0,5.0,20.0,25.0,351.0,16.0,12.33895637396334,7.060411566499517,3306.856505459587
13.0,5.0,477.0,20.0,110.0,156.0,439.0,12.0,6.06507006506486,10.006124317004472,1968.5733195913083
78.0,5.0,479.0,0.0,20.0,50.0,362.0,11.0,4.978724617456749,5.991779830806336,3214.000578416563
83.0,11.0,444.0,10.0,71.0,268.0,451.0,51.0,6.779814634849691,5.987434155272814,2788.241023498701
45.0,10.0,347.0,5.0,20.0,30.0,348.0,17.0,11.837862223695817,6.899334780465946,3397.8185749100594
78.0,5.0,482.0,0.0,20.0,50.0,343.0,9.0,3.798284833585292,6.93542621739777,3657.690104608458
2.0,11.0,467.0,5.0,50.0,57.0,583.0,22.0,10.199466946865597,5.973490766239536,2427.693406767953
84.0,11.0,468.0,25.0,88.0,260.0,442.0,26.0,9.172333656177493,6.077053692662971,2594.7069724867206
45.0,10.0,467.0,10.0,55.0,82.0,588.0,19.0,10.021223274562647,6.122089339840898,2443.1986695944624
95.0,4.0,317.0,132.0,246.0,232.0,175.0,10.0,10.135494054944434,9.940094851987336,2759.996408985624
35.0,7.0,462.0,83.0,295.0,315.0,130.0,22.0,8.91613164011354,7.165503344955776,3416.8908704964124
11.0,5.0,447.0,30.0,121.0,284.0,350.0,48.0,6.965286267050135,7.100840083475824,2286.9061699091944
78.0,5.0,483.0,0.0,5.0,50.0,283.0,5.0,4.74919269540741,5.9740858267344885,3416.0022755092195
10.0,0.0,473.0,30.0,110.0,269.0,336.0,13.0,5.936363402715935,10.149815709205962,4019.0224738527168
83.0,11.0,444.0,15.0,60.0,169.0,546.0,52.0,6.78233503165902,5.996164176664916,2483.924706690027
8.0,11.0,456.0,5.0,40.0,136.0,594.0,53.0,7.099880016123776,5.955122738035323,4722.3023484854975
10.0,0.0,471.0,10.0,65.0,110.0,510.0,12.0,5.031736717423654,9.125192198474618,2443.58762594535
1.0,11.0,350.0,20.0,62.0,167.0,501.0,25.0,10.84146091223062,6.973039973223341,5610.3288039260615
87.0,0.0,448.0,5.0,50.0,146.0,549.0,22.0,6.128237192028775,6.0273993083113,4111.428742681614
51.0,11.0,446.0,15.0,111.0,311.0,378.0,36.0,9.167891956331143,5.852957012156998,2833.912299042969
77.0,4.0,313.0,15.0,186.0,260.0,279.0,9.0,11.026277471912216,9.996847724692074,3198.4652317031787
48.0,0.0,476.0,0.0,30.0,70.0,402.0,7.0,3.90872081627973,9.048487883291967,4868.4550079876535
48.0,0.0,475.0,5.0,35.0,60.0,461.0,11.0,3.8524323406099192,9.057485215860066,2430.955955555659
86.0,10.0,468.0,15.0,40.0,229.0,521.0,26.0,9.012558082556422,5.927173263864788,1994.8564296242275
45.0,10.0,346.0,10.0,15.0,50.0,429.0,29.0,11.898919159366187,6.920814931661541,2847.9514069351485
78.0,5.0,480.0,15.0,45.0,145.0,545.0,11.0,5.882974315814525,6.910345345770998,3216.241791886826
51.0,11.0,446.0,68.0,244.0,383.0,125.0,30.0,7.973275754597585,7.052037996135281,3207.309668413293
11.0,5.0,447.0,40.0,223.0,259.0,258.0,39.0,6.901136343568324,7.981738133892938,1264.5586361702387
78.0,5.0,481.0,15.0,35.0,70.0,571.0,16.0,6.085008048379923,6.066982576539611,3645.160255115232
45.0,10.0,467.0,5.0,70.0,88.0,567.0,15.0,9.85589234284243,6.033770324223219,3088.291454788436
