address_locality,address_line_2,near_Koh_Pich_in_km,near_Bassac_Lane_in_km,near_Royal_Palace_in_km,near_Phnom_Penh_Airport_in_km,n_secondary_school_in_3km_to_5km,n_primary_school_5km,n_primary_school_in_3km_to_5km,n_university_in_2km_to_3km,n_university_in_3km_to_5km,n_resturant_in_1km,n_super_market_5km,n_super_market_in_1km_to_2km,n_bank_5km,price_per_m2
0.0,10.0,2.0100305912602474,1.1816562243858275,1.8944288405411385,9.086006044506505,21.0,67.0,32.0,13.0,59.0,2.0,83.0,19.0,154.0,4208.777639487937
11.0,83.0,4.964222456209139,3.0287849221338616,3.9751299070073567,4.892381338035957,47.0,91.0,47.0,54.0,36.0,0.0,101.0,6.0,166.0,3438.88497366143
5.0,78.0,3.920058815102602,2.9893157995427315,4.0905814285648,5.902233363602684,39.0,84.0,44.0,14.0,79.0,0.0,96.0,8.0,163.0,3869.836596272897
4.0,77.0,5.073166711880894,3.016284975145498,3.01276277238476,7.896321380782404,31.0,71.0,36.0,34.0,36.0,3.0,97.0,15.0,174.0,2734.553173704817
11.0,8.0,4.011297084909878,1.9426255657070348,2.707621886564947,7.07216931366955,38.0,89.0,36.0,43.0,38.0,0.0,103.0,19.0,165.0,3005.970538400144
11.0,2.0,5.999230761996815,4.836553796092828,3.9582265501936247,7.106397963076888,40.0,68.0,43.0,39.0,36.0,1.0,75.0,9.0,167.0,3764.669730625405
10.0,45.0,6.152714769191147,4.936218815886425,3.8514716611095032,7.964863380571227,35.0,52.0,34.0,27.0,55.0,0.0,64.0,6.0,156.0,2686.8945998198205
5.0,11.0,3.7791730210186985,3.071208846566291,2.9045172503269656,5.817476073806352,47.0,89.0,40.0,47.0,39.0,0.0,103.0,11.0,163.0,1789.7403526687826
5.0,78.0,5.967170463344754,3.953248457401317,4.007741377873929,5.064671419328625,50.0,92.0,51.0,61.0,30.0,0.0,85.0,7.0,148.0,3588.5701033737937
11.0,2.0,4.964937286323962,3.0535140879921405,2.9536448115446152,7.054748267654676,42.0,81.0,38.0,26.0,31.0,1.0,102.0,13.0,178.0,3721.694726849548
5.0,78.0,5.136876166928894,3.00437331537732,3.900968474617415,6.053886175569492,40.0,87.0,42.0,20.0,72.0,0.0,96.0,7.0,162.0,3206.4575900506675
11.0,8.0,4.08936086296853,2.8991742956653144,2.893118396950494,5.989400581285292,41.0,88.0,32.0,32.0,25.0,0.0,103.0,11.0,174.0,3477.04418820466
11.0,85.0,4.810959547357425,3.03468005829529,2.876211485358044,6.075833920555791,50.0,90.0,44.0,30.0,21.0,0.0,106.0,9.0,175.0,3395.4607341119445
0.0,48.0,3.0782513446154107,1.98927611353625,3.092094360347104,7.959093179666596,36.0,64.0,37.0,11.0,59.0,4.0,84.0,7.0,154.0,3116.123291595742
0.0,81.0,1.041830887154944,2.8791895717592704,2.021728698367127,11.997416448388526,34.0,26.0,23.0,4.0,23.0,0.0,67.0,0.0,150.0,2461.773069706217
4.0,77.0,4.117588524100781,2.896666128855752,1.9131520847896943,7.890452716627262,30.0,67.0,34.0,37.0,41.0,3.0,97.0,22.0,174.0,3795.940638956769
11.0,83.0,5.105690135372557,3.991687613838319,4.099695961973057,6.037642146749836,49.0,89.0,42.0,20.0,27.0,0.0,103.0,11.0,175.0,2883.765957764769
5.0,78.0,4.099976856964467,3.0730598619071605,4.155517099501674,6.075281964992835,39.0,85.0,41.0,17.0,76.0,0.0,95.0,8.0,162.0,3421.177661223945
11.0,83.0,4.05200954412453,3.283445324815482,2.9089319747682088,6.0702396000111865,44.0,93.0,38.0,39.0,32.0,0.0,103.0,9.0,165.0,2298.750990741862
5.0,11.0,3.0378254787692387,1.842187518024604,3.200257092775636,7.882102506027652,35.0,63.0,34.0,12.0,56.0,4.0,81.0,8.0,148.0,1001.1900168431188
11.0,2.0,5.820524037071745,3.809696495812322,3.980379705705325,4.998749570722315,49.0,90.0,42.0,18.0,27.0,0.0,99.0,12.0,170.0,4118.291088420163
11.0,83.0,5.978318223433829,3.828465197636236,4.050554887548506,5.0561718406479566,49.0,96.0,48.0,26.0,27.0,0.0,95.0,6.0,169.0,3937.090548749095
10.0,45.0,6.897159186507035,6.057876450826967,4.931309576461592,7.981657437807674,27.0,40.0,22.0,8.0,70.0,0.0,49.0,7.0,124.0,2980.3023708822666
5.0,78.0,3.970798361036718,2.990692583127495,3.1211810266478275,5.978654975087098,45.0,92.0,40.0,51.0,35.0,0.0,102.0,9.0,164.0,3779.891779551573
0.0,48.0,2.84674808782297,2.099654497925889,3.2623969784107825,8.070776373454708,36.0,65.0,35.0,12.0,61.0,4.0,87.0,6.0,155.0,3171.584818626537
11.0,83.0,5.8739018820990045,4.017864216236443,4.099550730163864,4.985487940708303,45.0,88.0,40.0,20.0,26.0,0.0,100.0,11.0,174.0,2876.185853876285
11.0,8.0,4.861869183240208,2.9956066743971177,3.2699061724441805,6.285217611142396,50.0,92.0,39.0,31.0,28.0,0.0,105.0,8.0,175.0,3257.405657192857
4.0,77.0,3.965223818231302,2.966526925036249,1.680464405622888,7.004747099273517,35.0,84.0,36.0,30.0,29.0,0.0,103.0,22.0,179.0,3066.95133020794
11.0,50.0,5.162655285642663,2.740729088944367,2.7487575465021608,7.121175331103868,43.0,81.0,37.0,26.0,32.0,2.0,103.0,12.0,179.0,2653.3638094403027
11.0,83.0,5.962100194865106,4.073135783245764,4.196922318302161,5.011585977849491,49.0,95.0,47.0,23.0,25.0,0.0,95.0,7.0,177.0,2687.052303580613
10.0,86.0,4.778574796023666,2.945059148082763,3.232406793845497,5.8715443407686365,51.0,91.0,43.0,24.0,28.0,0.0,103.0,9.0,172.0,2142.946066012989
10.0,86.0,6.085760604702744,4.137450305059343,4.012313400037864,4.954723530837969,47.0,91.0,41.0,19.0,26.0,0.0,97.0,14.0,168.0,3090.4860909113568
4.0,77.0,4.08355811476321,2.748500762840686,2.065890832859822,8.91104592812823,33.0,55.0,32.0,29.0,54.0,4.0,90.0,27.0,166.0,2528.1002444386654
5.0,13.0,1.0113086159675655,0.9565697188081516,3.1836453652825507,9.893730462710534,30.0,52.0,30.0,9.0,29.0,0.0,79.0,14.0,149.0,2173.3639374869745
11.0,84.0,5.9882965566778,3.921940423025223,3.9684367226355017,6.075286375460677,45.0,85.0,46.0,16.0,36.0,2.0,99.0,11.0,170.0,2993.165445953853
11.0,2.0,5.850595423537414,4.947894085832434,4.976784378749047,5.173110124180383,42.0,75.0,44.0,21.0,30.0,1.0,82.0,7.0,166.0,3174.3952946468103
11.0,84.0,3.730490952075409,3.0975613937343947,2.791064524424028,6.962939268379743,36.0,87.0,36.0,35.0,22.0,0.0,106.0,17.0,178.0,2822.932802945768
0.0,48.0,3.0641928895024875,1.7612302101112154,2.821603422192997,8.050081193551941,28.0,79.0,39.0,18.0,70.0,6.0,93.0,11.0,165.0,3671.7726801349104
4.0,77.0,3.989305023453833,2.9217944504058853,1.7783306285943927,8.07057075500823,32.0,71.0,34.0,31.0,35.0,3.0,97.0,16.0,180.0,2708.994695119851
11.0,47.0,3.028737311151281,1.947416865957437,2.0819731903137355,7.121920507561684,31.0,86.0,36.0,43.0,38.0,0.0,105.0,27.0,164.0,5326.281507157324
11.0,8.0,4.024583002545514,2.877343371609616,3.1312618970506865,5.940395768511801,43.0,90.0,37.0,30.0,30.0,0.0,105.0,9.0,168.0,1361.4187801186754
2.0,22.0,3.054499053965299,2.1180803545296256,1.0583578072846211,10.007757858398,38.0,62.0,40.0,12.0,65.0,31.0,95.0,25.0,164.0,2377.9537182203258
11.0,47.0,5.083574447802428,3.015241801840129,3.0269415548920686,6.14640046626349,43.0,88.0,44.0,36.0,21.0,0.0,108.0,13.0,178.0,2512.466455605404
4.0,77.0,3.946760879286433,3.200967442749337,2.0967954274313434,8.04496554397238,31.0,69.0,33.0,34.0,33.0,3.0,99.0,27.0,179.0,4074.509377654419
5.0,78.0,3.8075390694230657,1.841285765215763,3.060424705785953,7.05705370942726,34.0,82.0,38.0,15.0,75.0,1.0,94.0,13.0,164.0,3036.2032790807
5.0,78.0,4.942899309015198,2.940973889237329,3.979390556085999,5.110238205967311,44.0,89.0,46.0,49.0,43.0,0.0,99.0,7.0,163.0,3284.980478413718
11.0,84.0,4.936145047435996,3.9789188897765446,3.007523849299876,5.887289855414891,46.0,87.0,40.0,23.0,27.0,0.0,103.0,14.0,180.0,3818.425362183008
0.0,48.0,2.8390476615294404,1.9547878975726432,3.0280734302334658,6.93544629504534,31.0,80.0,41.0,17.0,69.0,5.0,93.0,11.0,159.0,2838.065380610444
10.0,45.0,8.00124151433767,6.190350104406114,6.159466185847275,4.930793261388611,31.0,59.0,42.0,34.0,40.0,0.0,36.0,5.0,81.0,2798.847488642036
11.0,84.0,3.9756214245646624,2.9020533294448767,2.951206368585184,7.032323002997087,37.0,85.0,38.0,27.0,29.0,0.0,104.0,18.0,178.0,3372.752956578077
11.0,1.0,7.074729486906372,4.95285836069863,5.047850745335144,6.902295857171335,42.0,62.0,39.0,46.0,40.0,0.0,67.0,10.0,159.0,3853.895619116654
11.0,49.0,4.100202557100874,2.9976894560799536,2.2026861841583023,7.117796815043488,34.0,82.0,39.0,30.0,30.0,0.0,104.0,23.0,177.0,3871.4744837272488
11.0,2.0,5.046355471991545,2.853556709298724,3.2699067953872176,6.984241294892359,39.0,73.0,37.0,24.0,35.0,1.0,98.0,10.0,175.0,1746.1750073506971
11.0,84.0,6.072985483693939,4.130648472791939,4.181790192624768,4.982658663952652,44.0,85.0,42.0,19.0,26.0,1.0,96.0,11.0,163.0,3232.8691699462806
0.0,87.0,4.003985012157995,2.933025493857423,2.971567215339149,6.060729794283965,45.0,93.0,41.0,52.0,36.0,0.0,104.0,9.0,166.0,4711.944564900716
10.0,45.0,6.037740267071708,5.0724642175840255,3.938334687655817,6.059115048246979,49.0,73.0,43.0,16.0,35.0,1.0,88.0,9.0,167.0,2578.350668993716
0.0,48.0,3.0104345862277446,3.1473484711113264,4.123268941094265,7.987032849685871,42.0,60.0,37.0,10.0,38.0,1.0,75.0,9.0,138.0,3327.695806135784
0.0,10.0,2.079201804156217,1.0617121680180852,2.1757534131798995,9.23420833269663,26.0,65.0,30.0,13.0,57.0,6.0,86.0,27.0,153.0,2517.1186711156643
10.0,45.0,6.981038946510516,6.147010770145519,4.929530172974347,7.16241385238321,32.0,49.0,33.0,16.0,65.0,0.0,45.0,5.0,107.0,3199.647329776353
11.0,2.0,6.138162938947423,4.991324349159927,4.005607002912199,7.041656137952994,41.0,72.0,43.0,24.0,39.0,2.0,81.0,9.0,168.0,4102.633122840006
10.0,86.0,5.124834707705029,3.909038106762438,4.1570430525855695,4.976944392801041,51.0,94.0,51.0,59.0,32.0,0.0,96.0,6.0,164.0,2424.563433716732
4.0,77.0,4.924233529337872,4.058515248469878,2.8673122308535386,7.976071436704233,36.0,58.0,31.0,39.0,49.0,0.0,83.0,10.0,163.0,2954.053927065944
10.0,45.0,5.9424693579391015,5.089219687046017,4.193216323865143,5.937894953919554,48.0,75.0,48.0,23.0,37.0,1.0,85.0,9.0,171.0,2172.371280109117
7.0,35.0,2.910965676946681,2.0577368916692165,2.212001611643416,7.139406253908098,30.0,84.0,31.0,33.0,31.0,0.0,104.0,37.0,169.0,2744.490488442429
11.0,83.0,5.902385406918806,3.984785747160248,3.709368354861915,4.936926102877691,52.0,94.0,52.0,50.0,31.0,0.0,91.0,6.0,164.0,3196.4451970438417
11.0,2.0,4.915467554223858,2.7027847964134466,3.1023873804851134,6.986772745125238,44.0,81.0,36.0,28.0,30.0,1.0,104.0,15.0,180.0,3891.543834822032
11.0,85.0,4.8978045982887,3.05069964836088,2.915622870721767,6.1037752773354885,48.0,92.0,45.0,31.0,26.0,0.0,106.0,10.0,178.0,2963.06527901898
5.0,78.0,3.893380265690314,2.1731509771805926,3.057115954577407,6.036941940393867,37.0,87.0,37.0,49.0,42.0,0.0,100.0,13.0,163.0,4043.972877460176
10.0,45.0,7.008905618176151,6.0833755043435005,5.257191216488527,6.881165440299979,40.0,63.0,47.0,47.0,34.0,0.0,58.0,8.0,151.0,3196.194070027631
11.0,2.0,5.011379432603632,4.061498792858586,4.032895242382452,6.944293584736113,41.0,82.0,46.0,23.0,35.0,1.0,96.0,13.0,166.0,3191.686921149597
0.0,91.0,2.9548398395135766,1.9711057539451864,4.085011123984186,8.043565660529199,40.0,66.0,37.0,13.0,59.0,0.0,84.0,6.0,153.0,5024.598320571162
4.0,77.0,4.126425440527064,3.0848701357040422,2.0296075476903783,8.935494832070766,32.0,52.0,29.0,25.0,55.0,11.0,92.0,29.0,168.0,3562.410272263965
11.0,47.0,3.029356746719877,2.0820031173334312,2.153033673907928,6.915337038403841,26.0,83.0,33.0,31.0,30.0,0.0,102.0,36.0,171.0,2969.113966143422
0.0,48.0,3.161622924055337,2.903992973951194,3.983594009259527,9.084799048429543,36.0,52.0,31.0,8.0,28.0,2.0,73.0,7.0,125.0,2425.7186271049686
4.0,77.0,3.866147268007248,2.832421018757172,2.055809990339628,8.118226840671696,32.0,69.0,34.0,37.0,36.0,3.0,99.0,22.0,178.0,2548.240452009973
5.0,78.0,3.8701689871960014,2.0470564317521776,2.8555935308481173,6.961681499002163,34.0,83.0,39.0,19.0,71.0,0.0,96.0,12.0,165.0,2970.866684197092
0.0,10.0,0.8729203554014354,1.0233762444654877,1.9902235348730848,10.046572435904686,25.0,57.0,31.0,12.0,45.0,1.0,81.0,23.0,149.0,1848.0397294903307
11.0,84.0,6.131247020567611,4.934661017018727,4.020396920341215,4.987913431785446,44.0,85.0,42.0,18.0,28.0,0.0,92.0,11.0,162.0,2987.3881776824696
10.0,45.0,5.9459453749693125,5.122985510092013,4.123805719877358,6.966788917367095,41.0,70.0,45.0,43.0,38.0,0.0,72.0,8.0,161.0,2820.4372555182176
10.0,45.0,6.79979379068329,6.002641379041093,5.191629674306824,5.864996030271004,39.0,60.0,43.0,45.0,36.0,0.0,52.0,10.0,111.0,2836.5439062000764
7.0,36.0,2.9253378073273906,1.7948317946693315,0.9801762128497846,8.985515666983774,27.0,74.0,33.0,50.0,33.0,10.0,101.0,28.0,172.0,4384.333313664443
0.0,5.0,2.9585750551983736,1.0583781450481946,2.0064855717203445,7.05645620435219,28.0,83.0,33.0,51.0,36.0,2.0,101.0,32.0,164.0,2571.0855797628856
10.0,45.0,6.922136993330343,5.199420065127231,4.944545328246454,5.774127744352339,37.0,65.0,43.0,44.0,33.0,0.0,63.0,9.0,157.0,3093.245932879256
10.0,86.0,4.9986232279910725,4.146655964251941,3.970154118328121,4.862311826522965,49.0,93.0,43.0,25.0,27.0,0.0,102.0,9.0,173.0,3424.6567120232226
5.0,78.0,4.753018711362972,3.068754635937214,3.8495205671768935,4.990194162970691,50.0,92.0,47.0,53.0,34.0,0.0,103.0,4.0,170.0,3661.400403658907
0.0,10.0,1.871576428475333,2.013300101477744,2.8871389864517867,9.032493247281172,33.0,61.0,33.0,11.0,52.0,5.0,81.0,11.0,149.0,2626.432460503287
11.0,2.0,5.93898019415033,5.054733823746592,4.145989821939617,5.065702622499615,46.0,86.0,43.0,17.0,28.0,0.0,94.0,11.0,163.0,2696.2881588406926
10.0,45.0,5.851994168319383,5.217294006401229,4.001281864635477,6.117237216067423,42.0,71.0,46.0,23.0,39.0,2.0,73.0,9.0,163.0,2681.888960612318
10.0,45.0,5.979234538242283,5.171731774085163,5.107007252901151,5.984744423630492,46.0,73.0,44.0,19.0,33.0,1.0,77.0,9.0,163.0,2807.219895645861
10.0,45.0,7.090362691043561,6.106851585409532,5.169421961351329,7.015608532278107,39.0,57.0,40.0,40.0,43.0,0.0,47.0,8.0,114.0,3350.0324836200666
11.0,49.0,3.9714211594557343,2.0587031474009665,1.849152963148867,6.973001987443066,32.0,88.0,31.0,32.0,23.0,0.0,107.0,20.0,177.0,2927.641911558256
7.0,94.0,3.962349047776111,2.007125905915028,2.028582640095332,7.084250732318568,35.0,89.0,33.0,37.0,37.0,0.0,104.0,23.0,164.0,5235.781543247785
5.0,78.0,5.082929269899129,3.93148377182029,5.124300081579366,6.143370845448255,36.0,79.0,45.0,12.0,75.0,0.0,73.0,2.0,128.0,3522.697674180822
5.0,78.0,4.785588464680374,4.144380144214411,4.063109177043641,5.858260636019569,36.0,78.0,43.0,15.0,72.0,0.0,77.0,4.0,139.0,3996.6354045857433
11.0,84.0,4.915279088442829,3.137263880444316,2.8486068899475816,6.062897495572233,49.0,90.0,45.0,36.0,22.0,0.0,105.0,10.0,175.0,3462.295791047197
5.0,11.0,4.1213521576619945,3.018853920281422,3.002916169926218,5.965180402637632,44.0,91.0,43.0,51.0,40.0,0.0,102.0,9.0,163.0,1588.9351866182724
0.0,81.0,2.882966939546188,3.081282398301008,4.059864058488348,10.13422973047604,33.0,46.0,27.0,6.0,27.0,0.0,65.0,6.0,95.0,6564.748895576541
11.0,50.0,4.076461323645263,2.9741765286624053,2.6548249334090706,7.170362056197991,33.0,87.0,38.0,35.0,22.0,0.0,106.0,18.0,180.0,5115.368545904772
11.0,49.0,3.892999658355294,3.003950400615108,1.9864684798982395,7.146974495331267,33.0,81.0,35.0,29.0,31.0,0.0,106.0,21.0,178.0,3817.2034724587215
5.0,78.0,4.258175628108868,2.8825235643693645,3.076162130849541,5.844874093153448,42.0,88.0,40.0,49.0,42.0,0.0,101.0,11.0,164.0,3282.6455735635413
11.0,51.0,4.080544177926383,3.0030765211430364,1.9503571458824287,7.030692890629175,35.0,87.0,37.0,36.0,23.0,0.0,105.0,21.0,182.0,2888.2273266598654
11.0,2.0,5.989456491551449,5.171303294546831,4.090692651249431,5.852019537598477,40.0,74.0,45.0,21.0,36.0,0.0,86.0,10.0,169.0,2476.79268542696
11.0,2.0,6.214838652947032,5.096258691860657,3.9960453511043657,5.953917382715707,46.0,75.0,43.0,21.0,31.0,1.0,80.0,9.0,160.0,2733.6856018127846
10.0,45.0,6.831732231461995,6.067153816963351,4.957241076275233,7.067461254510892,33.0,52.0,35.0,36.0,49.0,0.0,62.0,9.0,145.0,2315.969984816112
5.0,13.0,1.2163530117414965,1.0425956920146164,2.051405135110331,9.919896943137053,28.0,52.0,28.0,11.0,41.0,0.0,82.0,24.0,148.0,1851.19792341084
11.0,2.0,5.912543958192836,4.949694064369724,3.9399617473841593,5.94754533433281,48.0,73.0,48.0,25.0,37.0,2.0,79.0,6.0,168.0,4138.441025283946
4.0,95.0,3.128679753872415,2.027375477672127,1.070680305978838,9.041251648945773,36.0,60.0,36.0,16.0,61.0,43.0,94.0,28.0,165.0,4065.07607098434
11.0,84.0,6.057076103740236,3.890763004101308,3.943518006921487,5.942693680184668,45.0,85.0,43.0,17.0,32.0,2.0,101.0,11.0,171.0,2989.402646709628
11.0,84.0,4.254264129408737,2.897337125715578,3.0431158919759222,5.803037244245386,38.0,88.0,39.0,34.0,22.0,0.0,105.0,16.0,182.0,3778.596326575024
11.0,1.0,6.954238176853235,4.983562204555192,5.128857704415432,8.038295570064795,34.0,50.0,31.0,26.0,55.0,0.0,62.0,7.0,150.0,4066.9142787769474
5.0,78.0,4.100447759827871,2.831435946934783,3.143340638775617,6.879997696907359,40.0,84.0,42.0,13.0,75.0,0.0,96.0,12.0,161.0,3448.8493113158474
11.0,2.0,6.003120397221153,4.206841852766521,3.9288228655118127,4.979466811461491,46.0,87.0,43.0,18.0,27.0,0.0,93.0,11.0,163.0,3704.822051810182
11.0,50.0,3.868689848989325,2.065820656472153,2.827605843780713,6.137334759188813,36.0,90.0,34.0,35.0,22.0,0.0,108.0,15.0,176.0,3715.95572419209
11.0,1.0,4.9020320529904335,3.944584219840452,2.9225182971285326,7.029486742871548,39.0,72.0,41.0,24.0,39.0,1.0,92.0,12.0,172.0,2616.079664928872
5.0,78.0,5.070031874750873,4.070724230968056,5.055830834218192,5.853671823789031,38.0,71.0,41.0,12.0,73.0,0.0,68.0,6.0,106.0,2719.85932781543
5.0,78.0,4.313218458318,3.001820237446573,4.002148938840839,6.914460981873546,39.0,81.0,43.0,11.0,77.0,0.0,94.0,10.0,159.0,3270.61945008071
11.0,2.0,5.941063930342706,4.90297626365194,5.088376537471417,5.981315621999847,44.0,72.0,44.0,21.0,37.0,1.0,75.0,11.0,156.0,3228.355124763951
4.0,77.0,5.1630795124938,3.982407572204517,2.878350149143299,8.021838586754061,36.0,69.0,36.0,29.0,39.0,1.0,92.0,12.0,169.0,4603.922630769912
5.0,78.0,5.199679903471585,3.972436564840812,4.934997292682284,5.963398537280582,36.0,77.0,44.0,16.0,70.0,0.0,73.0,5.0,126.0,2407.913601911808
10.0,86.0,4.789290485912006,2.9795974005227674,3.9926160122474927,4.939556513266935,43.0,91.0,46.0,54.0,39.0,0.0,100.0,7.0,162.0,732.1121165239898
11.0,2.0,7.10133628761406,4.900187059882271,4.82062485578367,6.970030492201783,40.0,66.0,42.0,47.0,35.0,0.0,67.0,11.0,159.0,4129.983851858562
11.0,47.0,4.165223645597217,1.840521255329142,2.033614422120715,7.089581781531029,30.0,85.0,32.0,27.0,30.0,0.0,104.0,30.0,178.0,3849.855997722986
11.0,83.0,4.812868407253135,3.1344679921677314,4.13203773121889,4.913101896456266,49.0,92.0,43.0,22.0,29.0,0.0,103.0,8.0,169.0,3867.22767306423
4.0,77.0,3.987104189054548,4.033340730878724,2.0401184643109214,10.125859848906194,33.0,49.0,36.0,9.0,69.0,0.0,83.0,3.0,161.0,3200.4882910748324
4.0,77.0,4.0127051680421415,2.9561402287959804,1.9728347351173243,9.111357164239893,30.0,59.0,30.0,34.0,53.0,3.0,88.0,13.0,163.0,5098.71281453176
11.0,1.0,6.265908223714284,4.947166440291403,3.953864074114209,5.921689604466113,45.0,72.0,45.0,25.0,38.0,2.0,82.0,8.0,166.0,3391.8488903250845
0.0,48.0,2.992795614241589,1.9274313833386376,2.9441580997325265,9.081933759129091,37.0,61.0,38.0,12.0,38.0,1.0,79.0,10.0,148.0,3112.346433314161
4.0,77.0,3.773886762276765,3.942716836972727,1.830997135205238,8.995360310778484,29.0,55.0,32.0,33.0,55.0,2.0,84.0,13.0,157.0,2549.363328288078
