id,information,type,province,price,land_size,price/m2,lat,long,translate
rl-121014000,"Land for Sale in Krang Thnong, Por Senchey, P. Penh
ដីកែងល្អ លេីភ្លៅធំ សំរាប់លក់ នៅសង្កាត់ក្រាំងធ្នង់ ខណ្ឌពោធិ៍សែនជ័យ (សូមជួយណែនាំ និង ចែករំលែកបន្)ត: 
- ទំហំដី: 13,707 ម២ (ក្បាលដី 130 ម x 100 ម)
- អាចសង់ផ្ទះល្វែង ផ្ទះវីឡា ពុះដីឡូត៏ សង់ឃ្លាំង ឬទុកចំណេញ ។ល។ 
- ទីតាំង https://goo.gl/maps/vovqrsQFmhTxDyQC9
- តំលៃ: 270$/m2 |||
- លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
#LandForSale, #LandForSaleInKrangThnong, #LandForSaleInPorSenchey, #LandForSaleInPhnomPenh",LAND,Phnom Penh,3700000.0,13000.0,284.61538461538464,11.594392,104.832018,"Land for Sale in Krang Thnong, Por Senchey, P. Penh
Good elbow land is large for sale in Khan Por Sen Chey district (please advise) 
- Land Size: 13,707 m2 (130m x 100 m)
Can be able to build an apartment villas, the villas, boast or store profit, etc. 
- HTTPS://goo.gl/maps/vovqfmfmfmfmfmfmfmfmkxdyqc9
- Price: 270 $ / m2 |||
- Phone: 012 381 108 (Mr. Wisist)
#LandForsale, #landForsealinlangnong, #landForsalinnormnompenh"
rl-121013857,"*វីឡាភ្លោះលក់បន្ទាន់ (P-2241)
បុរីពិភពថ្មីសែនសុខ ជិតផ្សារទំនេីប Aeon 2
- តំលៃសំរាប់លក់ : $ 329,000 (ចរចារ)
- ទំហំផ្ទះ : 6m x 12m
- ទំហំដី : 7.5m x 21m
- បន្ទប់គេង : 4
- បន្ទប់ទឹក : 5
- ផ្ទះបាយ : 1
- បន្ទប់ទទួលភ្ញៀវ1 កំពស់ 3 ជាន់
- កាត់ប្លង់រឹងជូន
- មានសម្ភារះ មួយចំនួន
- សំរាប់ព័ត៌មានបន្ថែម :
085 222 968 / 069 993 667 ( Mr. Narong​ )",LAND,Phnom Penh,3290000.0,157.5,20888.88888888889,11.57351,104.877057,"* Twin Villa Instant Success (P-2241)
New World Sen Sok near the market for Aeon 2
- Price for Sale: $ 329,000 (Negotiable)
- Home size: 6m x 12m
- Land size: 7.5m x 21m
- bedrooms: 4
- Bathrooms: 5
- Kitchen: 1
- 1 Living Room 3-story
- Cutting a hard layout
- Some of the materials
- For more information:
085 222 968/069 967 (Mr. Narong)"
rl-121013848,Please contact me at: +85595955777,LAND,Phnom Penh,3000000.0,631.0,4754.358161648178,11.585203,104.898336,Please Contact Me AT: +85595955777
rl-121591502,"ដីសម្រាប់លក់នៅទួលសង្កែរ
* នៅជិតអ៊ីអន២, សាកលវិឡាល័យ, ខុនដូ, អាផាតមិន,...
* ទីតាំង៖ សង្កាត់ទួលសង្កែរ, ខណ្ឌឬស្សីកែវ, ភ្នំពេញ
* តម្លៃលក់៖ ២,៧០០,០០០ ដុល្លារ ប្លង់រឹង (ចរចារ)
* ទំហំដី៖ ៣៧ម x ៤៧ម
* បែរទៅទិសខាងជើង
សម្រាប់ព័ត៌មានបន្ថែម៖ 095 933 777
🌍 https://rebrand.ly/24114
សូមអរគុណ!
----------------
Land for sale at toul songkae
Nearby AEON II, University, Condo, Apartment,…
Location: toul songkae, russei keo, phnom penh
Sale price: 2,700,000 hard title (negotiable)
Land size: 37m x 47m
Direction: North
For more information: 095 933 777
🌍 https://rebrand.ly/24114
Thank you!
#Team_Land (Mr. Bora)",LAND,Phnom Penh,2700000.0,1739.0,1552.6164462334675,11.590668,104.909745,"Land for sale in Toul Sangke
* Near Aeon 2, University of University, Condominiums, Apartments, ...
* Location: Sangkat Toul Sangke, Khan Russey Keo, Phnom Penh
* Sale Price: $ 2,700,000 Hard Limited (Negotiable)
* Land size: 37 m x 47 m
* Turn north
For more information: 095 933 777
🌍 https://reprand.ly/24114
Thanks!
-----------------
Land for Sale at Tosul Songkae
Nearby Aeon II, University, Condo, Apartment, ...
Location: Toul Songkae, Russei Keo, Phnom Penh
Sale Price: 2,700,000 Hard Titlee (Negotiable)
Land Size: 37m x 47m
Direction: North
For more information: 095 933 777
🌍 https://reprand.ly/24114
THANKY!
#Team_land (Mr. Bora)"
rl-121013837,"ដីនិងផ្ទះលក់ នៅទួលគោក ស្ថិតក្នុងតំបន់មានសក្តានុពល សម្រាប់សាងសង់ខុនដូរ អគារពាណិជ្ជកម្ម ឬ ឃ្លាំង
👉 តមៃ្ល $ 4,200/m² (ចចារ)
👉 ទំហំ 20m x 30m
👉 ប្លង់រឹង",LAND,Phnom Penh,2520000.0,600.0,4200.0,11.571264,104.888135,"Land and home in Toul Kork is potentially in the potential for the construction of the Condo, commercial or warehouse building
ICEMS FEEL $ 4,200 / M² (Nearch)
👉 20m x 30m
👉 Hard layout"
rl-121591503,"ដីសម្រាប់លក់នៅព្រែកលៀប
* ដីនៅតាមបណ្តោយផ្លូវជាតិលេខ៦A នៅក្បែរបុរី
អាចសាងសង់ជាលំនៅដ្ឋាន, ឃ្លាំង, ជាទីតាំងអាចប្រកបអាជីវកម្មបានគ្រប់យ៉ាង
* ទីតាំង៖ សង្កាត់ព្រែកលៀប, ខណ្ឌជ្រោយចង្វារ, ភ្នំពេញ
* តម្លៃលក់៖ ២,២៥០,០០០ ដុល្លារ ប្លង់រឹង (ចរចារ)
* ទំហំដី៖ ១៩ម x ៤៣ម
* បែរទៅទិសខាងលិច
សម្រាប់ព័ត៌មានបន្ថែម៖ 061 352 222
សូមអរគុណ!
----------------
Land for sale at prek leap
Location: prek leap, chroy chongva, phnom penh
Sale price: 2,250,000 hard title (negotiable)
Land size: 19m x 43m
Direction: West
For more information: 061 352 222
Thank you!
#Team_6A (Mr. Nay Nem)",LAND,Phnom Penh,2250000.0,817.0,2753.9779681762548,11.660139,104.909685,"Land for sale at Prekolar
* Land along National Road 6A near Borey
Can build as housing, repository, as a location can spell everything
* Location: Sangkat Prek Lalla, Chroy Chang Va, Phnom Penh
* Sales Price: $ 2,250,000 Hard Limited (Negotiable)
* Land size: 19m x 43 m
* Turn to the west
For more information: 061 352 222
Thanks!
-----------------
Land For Sale at Prek Leeap
LOCATION: Prek Leap, Chroy Chongva, Phnom Penh
Sale Price: 2,250,000 Hard Titlee (Negotiable)
Land Size: 19m x 43m
Direction: West
For More Information: 061 352 222
THANKY!
# Team_6a (Mr. Nay Nem)"
rl-121434164,"ដីលក់ក្នុងខណ្ឌឬស្សីកែវ 
(L-1342)
-តម្លៃ: $1,500/m2 (ចរចា)
-ទំហំដី: 30m x 45m
-ប្លង់: រឹង (កាត់ឈ្មោះផ្ទេរកម្មសិទ្ធ)
-លេខទំនាក់ទំនង: 082 222 759/ 069 993 667 (Mr.Panha) សូមស្វាគមន៍ចំពោះអតិថិជនពិត សូមអគុណ។
--------------------------------------
Land for sale at Russie Kaev
Price : 1500$/sqm
Land Size: 1350/sqm
Tittle: Hard
Contact Us: 082 222 759/ 069 993 667 (Mr.Panha)",LAND,Phnom Penh,2025000.0,1350.0,1500.0,11.609026,104.917809,"Land For Sale in Russey Keo Khan District 
(L-1342)
- Price: $ 1,500 / M2 (Negotiable)
- Land size: 30m x 45m
- Layout: Hardness (Cut Name Officer)
- Contact number: 082 222 759/069 993 667 (MR.PANHA) Welcome to True Customer, thank you.
------------------------------------
Land For Sale AT Russie Kaev
PRICE: $ 1500 / SQM
Land Size: 1350 / SQM
Tittle: HARD
Contact Us: 082 222 759/069 993 667 (MR.PANHA)"
rl-121341607,"ដីកែង តំលៃល្អ លេីផ្លូវធំ សំរាប់លក់ នៅសង្កាត់ក្រាំងធ្នង់ ខណ្ឌសែនសុខ (សូមជួយណែនាំ និង ចែករំលែកបន្)ត:
- ទំហំដី: 13,707 ម២ (ក្បាលដី 130 ម x 100 ម)
- អាចសង់ផ្ទះល្វែង ផ្ទះវីឡា ពុះដីឡូត៏ សង់ឃ្លាំង ឬទុកចំណេញ
- ទីតាំង https://goo.gl/maps/vovqrsQFmhTxDyQC9
- តំលៃ: 270$/m2 ||| - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
CORNER Land for Sale in Krang Thnong (Khan Sen Sok):
- Size: 13,707 m2 (on soft title) or about 11,450 m2 (on hard title), about 130m x 100m
- Location:  https://goo.gl/maps/vovqrsQFmhTxDyQC9
- Price: 270$/m2 (soft title) or 295$/m2 (hard title)
- Contact: 012 381 108 (Mr. Va Vireak | Telegram, WhatsApp or Line)",LAND,Phnom Penh,2000000.0,500.0,4000.0,11.56626,104.904229,"Well-litigation is well-termed for sale in Sen Sok district Khan Khan Sen Sok district (please advise)
- Land Size: 13,707 m2 (130m x 100 m)
Can be able to build an apartment villas villas, boast, or make a profit
- HTTPS://goo.gl/maps/vovqfmfmfmfmfmfmfmfmkxdyqc9
- Price: 270 $ / m2 ||| - Phone: 012 381 108 (Mr. Wisist)
Corner Land For Sale in Krang Thnong (Khan sen sok):
- size: 13,707 m2 (on Soft Title) Or About 11,450 m2 (on HARD title), About 130m x 100m x 100m
- Location: https://goo.gl/maps/vovqfmfmfmfmfmfmfmfmfmkxdyqc9
- Price: 270 $ / M2 (Soft title) or 295 $ / m2 (Hard Title)
- Contact: 012 381 108 (Mr88 (Mr88 (Mr88 (Mr8) Telegram, Whatsapp or Line)"
rl-121014026,Please contact me at: 12381108,LAND,Phnom Penh,2000000.0,160.0,12500.0,11.576124,104.875529,Please Contact Me AT: 12381108
rl-121341608,"ដីកែង តំលៃល្អ លេីផ្លូវធំ សំរាប់លក់ នៅសង្កាត់ក្រាំងធ្នង់ ខណ្ឌសែនសុខ (សូមជួយណែនាំ និង ចែករំលែកបន្)ត:
- ទំហំដី: 13,707 ម២ (ក្បាលដី 130 ម x 100 ម)
- អាចសង់ផ្ទះល្វែង ផ្ទះវីឡា ពុះដីឡូត៏ សង់ឃ្លាំង ឬទុកចំណេញ
- ទីតាំង https://goo.gl/maps/vovqrsQFmhTxDyQC9
- តំលៃ: 270$/m2 ||| - លេខទូរស័ព្ទ: 012 381 108 (លោក វ៉ា វីរះ)
CORNER Land for Sale in Krang Thnong (Khan Sen Sok):
- Size: 13,707 m2 (on soft title) or about 11,450 m2 (on hard title), about 130m x 100m
- Location:  https://goo.gl/maps/vovqrsQFmhTxDyQC9
- Price: 270$/m2 (soft title) or 295$/m2 (hard title)
- Contact: 012 381 108 (Mr. Va Vireak | Telegram, WhatsApp or Line)",LAND,Phnom Penh,2000000.0,500.0,4000.0,11.56626,104.904229,"Well-litigation is well-termed for sale in Sen Sok district Khan Khan Sen Sok district (please advise)
- Land Size: 13,707 m2 (130m x 100 m)
Can be able to build an apartment villas villas, boast, or make a profit
- HTTPS://goo.gl/maps/vovqfmfmfmfmfmfmfmfmkxdyqc9
- Price: 270 $ / m2 ||| - Phone: 012 381 108 (Mr. Wisist)
Corner Land For Sale in Krang Thnong (Khan sen sok):
- size: 13,707 m2 (on Soft Title) Or About 11,450 m2 (on HARD title), About 130m x 100m x 100m
- Location: https://goo.gl/maps/vovqfmfmfmfmfmfmfmfmfmkxdyqc9
- Price: 270 $ / M2 (Soft title) or 295 $ / m2 (Hard Title)
- Contact: 012 381 108 (Mr88 (Mr88 (Mr88 (Mr8) Telegram, Whatsapp or Line)"
rl-134353287,"ដីលក់បន្ទាន់ ⚡️នៅមុខប្រលានពោធិចិនតុង​ ក្បែរផ្លូវសហពន្ធ័រុស្សី (ID: #D3044)
👉តម្លៃ ៖ $2,000,000 (ចរចា) 
👉 ទីតាំងនៅមុខប្រលានយន្តហោះពោធិ៍ចិនតុង ក្បែរផ្លូវសហពន្ធ័រុស្សី​ ជាតំបន់ពាណិជ្ជកម្ម ដីពេញខ្នាតស្អាត អាចសាងសង់សណ្ឋាគា ផ្ទះវិឡា​ ខុនដូរ និងសំណង់គ្រប់ប្រភេទ។ 
👉 ទំហំដី: 36m x 40m
👉 ទំហំសរុបក្នុងប្លង់រឹង ៖ 1,443m²
👉 បែរមុខទៅទិសខាងកើត
👉 ចេញសេវាផ្ទេរកម្មសិទ្ធិជូន​(ប្លង់រឹង)	
សូមទំនាក់ទំនង ៖	
☎️ (Cellcard): 078 919 789 | 012 61 31 31  	
☎️ (Smart)   : 015 779 789	
🌐https://www.c21diamondinvestments.com	
↗️Telegram: https://t.me/century21diamond",LAND,Phnom Penh,2000000.0,1440.0,1388.888888888889,11.553437,104.84404,"Land Emergency Land ⚡️ In front of Pochongong Broadcast Ney Russian Street (ID: # D3044)
👉 Price: $ 2,000,000 (Negotiable) 
បត់ Location in Pochland airport, near Russian airport, is a cleanland-filled area, can build a hot restaurant in all kinds of household condominiums and construction. 
👉 Land size: 36m x 40m
👉 The total size in the solid layout: 1,443m²
👉 Turn to east
👉 Release the Oil Transfer Service (solid layout)	
Contact:	
☎️ (Cellcard): 078 919 789 | 012 61 31113  	
☎️ (smart): 015 779 789	
🌐https: //www.c21diamondInvestments.com	
↗️telgram: https://t.me/century21diamond"
