h3,population,geometry,index_right,Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn
886586a6cbfffff,671.0,"MULTIPOLYGON (((104.9686356799657 11.685909845401431, 104.96916777973023 11.691078474912922, 104.96491122396341 11.694138881908996, 104.96012249571483 11.692030565343378, 104.95959051419976 11.686861803454798, 104.96384714267371 11.683801490500187, 104.9686356799657 11.685909845401431)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6c7fffff,65.0,"MULTIPOLYGON (((104.970232025984 11.701415605874931, 104.97076417247447 11.706584107155585, 104.96650746270647 11.709644648541378, 104.96171853370181 11.707536594701457, 104.96118650546526 11.702367961051637, 104.96544328796936 11.699307513602164, 104.970232025984 11.701415605874931)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6c3fffff,811.0,"MULTIPOLYGON (((104.96491122396341 11.694138881908996, 104.96544328796936 11.699307513602164, 104.96118650546526 11.702367961051637, 104.95639758628558 11.700259682827776, 104.95586564055121 11.69509091882142, 104.96012249571483 11.692030565343378, 104.96491122396341 11.694138881908996)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6bbfffff,148.0,"MULTIPOLYGON (((104.93564212898171 11.720730549698365, 104.93617384893088 11.725899450709262, 104.93191578819342 11.728959909864189, 104.92712593522859 11.726851374308051, 104.92659433369711 11.721682341415656, 104.93085246670265 11.71862197595213, 104.93564212898171 11.720730549698365)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6b9fffff,9.0,"MULTIPOLYGON (((104.94468944488582 11.719778517679282, 104.9452212832129 11.724947286688717, 104.94096352143666 11.728007800071271, 104.93617384893088 11.725899450709262, 104.93564212898171 11.720730549698365, 104.93989996315031 11.717670130042189, 104.94468944488582 11.719778517679282)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6b5fffff,5.0,"MULTIPOLYGON (((104.94628500658905 11.735284695094073, 104.9468168916393 11.74045333432016, 104.94255897566784 11.743513980752684, 104.93776910221469 11.741405894329105, 104.9372373355468 11.73623712310956, 104.94149532393959 11.733176570298294, 104.94628500658905 11.735284695094073)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6b3fffff,81.0,"MULTIPOLYGON (((104.93191578819342 11.728959909864189, 104.9324474722963 11.734128812028704, 104.92818918500463 11.737189310463366, 104.92339914137959 11.735080813103393, 104.92286757571657 11.729911779121357, 104.92712593522859 11.726851374308051, 104.93191578819342 11.728959909864189)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a6b1fffff,1.0,"MULTIPOLYGON (((104.94096352143666 11.728007800071271, 104.94149532393959 11.733176570298294, 104.9372373355468 11.73623712310956, 104.9324474722963 11.734128812028704, 104.93191578819342 11.728959909864189, 104.93617384893088 11.725899450709262, 104.94096352143666 11.728007800071271)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a69dfffff,560.0,"MULTIPOLYGON (((104.9430940233415 11.704271952443086, 104.9436258149507 11.709440850471537, 104.93936820736566 11.712501230409979, 104.93457873579787 11.710392618479727, 104.93404706256203 11.705223588441863, 104.93830474251051 11.702163302334908, 104.9430940233415 11.704271952443086)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a69bfffff,67.0,"MULTIPOLYGON (((104.92872601056436 11.697945592174163, 104.929257601245 11.703114752400525, 104.92499962252153 11.706174984498757, 104.92020998094482 11.704065962530311, 104.91967850869503 11.698896670470555, 104.923936559581 11.695836532203874, 104.92872601056436 11.697945592174163)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a699fffff,1681.0,"MULTIPOLYGON (((104.93777303343883 11.69699427406193, 104.93830474251051 11.702163302334908, 104.93404706256203 11.705223588441863, 104.929257601245 11.703114752400525, 104.92872601056436 11.697945592174163, 104.93298376279962 11.694885399933762, 104.93777303343883 11.69699427406193)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a697fffff,1.0,"MULTIPOLYGON (((104.93032082931353 11.71345294437446, 104.93085246670265 11.71862197595213, 104.92659433369711 11.721682341415656, 104.92180449110093 11.719573581566284, 104.92127297214718 11.714404418163129, 104.92553117734417 11.711344146426063, 104.93032082931353 11.71345294437446)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a695fffff,81.0,"MULTIPOLYGON (((104.93936820736566 11.712501230409979, 104.93989996315031 11.717670130042189, 104.93564212898171 11.720730549698365, 104.93085246670265 11.71862197595213, 104.93032082931353 11.71345294437446, 104.93457873579787 11.710392618479727, 104.93936820736566 11.712501230409979)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a693fffff,5.0,"MULTIPOLYGON (((104.92499962252153 11.706174984498757, 104.92553117734417 11.711344146426063, 104.92127297214718 11.714404418163129, 104.9164831400027 11.712295434202625, 104.91595170363306 11.70712614050588, 104.92020998094482 11.704065962530311, 104.92499962252153 11.706174984498757)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a691fffff,627.0,"MULTIPOLYGON (((104.93404706256203 11.705223588441863, 104.93457873579787 11.710392618479727, 104.93032082931353 11.71345294437446, 104.92553117734417 11.711344146426063, 104.92499962252153 11.706174984498757, 104.929257601245 11.703114752400525, 104.93404706256203 11.705223588441863)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a68bfffff,677.0,"MULTIPOLYGON (((104.95214050444685 11.703320076610359, 104.95267241438965 11.708488842509448, 104.94841510589049 11.711549276377642, 104.9436258149507 11.709440850471537, 104.9430940233415 11.704271952443086, 104.94735140432836 11.70121161244135, 104.95214050444685 11.703320076610359)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a68bfffff,677.0,"MULTIPOLYGON (((104.95214050444685 11.703320076610359, 104.95267241438965 11.708488842509448, 104.94841510589049 11.711549276377642, 104.9436258149507 11.709440850471537, 104.9430940233415 11.704271952443086, 104.94735140432836 11.70121161244135, 104.95214050444685 11.703320076610359)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a689fffff,198.0,"MULTIPOLYGON (((104.96118650546526 11.702367961051637, 104.96171853370181 11.707536594701457, 104.95746152447502 11.710597082385434, 104.95267241438965 11.708488842509448, 104.95214050444685 11.703320076610359, 104.95639758628558 11.700259682827776, 104.96118650546526 11.702367961051637)))",466,0.209854801174,0.0018345657722,Kaoh Dach,KH121004,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a689fffff,198.0,"MULTIPOLYGON (((104.96118650546526 11.702367961051637, 104.96171853370181 11.707536594701457, 104.95746152447502 11.710597082385434, 104.95267241438965 11.708488842509448, 104.95214050444685 11.703320076610359, 104.95639758628558 11.700259682827776, 104.96118650546526 11.702367961051637)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a687fffff,641.0,"MULTIPOLYGON (((104.9537362809964 11.71882624546643, 104.95426823766152 11.723994882354459, 104.95001077503314 11.727055449850644, 104.9452212832129 11.724947286688717, 104.94468944488582 11.719778517679282, 104.94894698003083 11.716718043944429, 104.9537362809964 11.71882624546643)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a685fffff,1390.0,"MULTIPOLYGON (((104.96278263690053 11.717873733167842, 104.96331471186387 11.723042237814568, 104.95905754856987 11.726102859310377, 104.95426823766152 11.723994882354459, 104.9537362809964 11.71882624546643, 104.95799351693128 11.715765717766878, 104.96278263690053 11.717873733167842)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a683fffff,242.0,"MULTIPOLYGON (((104.94841510589049 11.711549276377642, 104.94894698003083 11.716718043944429, 104.94468944488582 11.719778517679282, 104.93989996315031 11.717670130042189, 104.93936820736566 11.712501230409979, 104.9436258149507 11.709440850471537, 104.94841510589049 11.711549276377642)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886586a681fffff,1175.0,"MULTIPOLYGON (((104.95746152447502 11.710597082385434, 104.95799351693128 11.715765717766878, 104.9537362809964 11.71882624546643, 104.94894698003083 11.716718043944429, 104.94841510589049 11.711549276377642, 104.95267241438965 11.708488842509448, 104.95746152447502 11.710597082385434)))",67,0.194761751394,0.00205842777892,Bak Kaeng,KH121005,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847aa7fffff,526.0,"MULTIPOLYGON (((105.02764174181488 11.460261925016923, 105.02817424986813 11.465431071711134, 105.02392254483328 11.468490009301082, 105.0191382583183 11.466379704360211, 105.01860586809394 11.461210424104728, 105.02285764654557 11.45815158234271, 105.02764174181488 11.460261925016923)))",975,0.236672346514,0.00163968281004,Preaek Thmei,KH121208,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847aa5fffff,257.0,"MULTIPOLYGON (((105.03667713271187 11.459313192777987, 105.03720975855417 11.464482205791212, 105.03295835390757 11.467541193193524, 105.02817424986813 11.465431071711134, 105.02764174181488 11.460261925016923, 105.03189322000196 11.457203033477425, 105.03667713271187 11.459313192777987)))",975,0.236672346514,0.00163968281004,Preaek Thmei,KH121208,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658479dbfffff,1365.0,"MULTIPOLYGON (((105.02339794038438 11.507732532781874, 105.02393047068537 11.512901458356291, 105.01967800508736 11.515960768954416, 105.01489293579814 11.51385105849194, 105.01436052337905 11.508681999497906, 105.01861306235715 11.505622784377286, 105.02339794038438 11.507732532781874)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658479d9fffff,541.0,"MULTIPOLYGON (((105.032434874618 11.50678283172998, 105.03296752276108 11.511951623765052, 105.02871535755175 11.515010984838737, 105.02393047068537 11.512901458356291, 105.02339794038438 11.507732532781874, 105.02765017909752 11.504673267220573, 105.032434874618 11.50678283172998)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658479d7fffff,1497.0,"MULTIPOLYGON (((105.02499557798905 11.523239189917678, 105.02552815499291 11.528407995734627, 105.02127553593351 11.531467446523449, 105.01649026645107 11.52935799611432, 105.01595780733356 11.524189056885163, 105.020210499802 11.521129701468665, 105.02499557798905 11.523239189917678)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658479d5fffff,479.0,"MULTIPOLYGON (((105.03403286575335 11.522289088255155, 105.03456556060368 11.527457760540177, 105.03031324199493 11.530517261987844, 105.02552815499291 11.528407995734627, 105.02499557798905 11.523239189917678, 105.02924797013064 11.5201797838772, 105.03403286575335 11.522289088255155)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658479d3fffff,1205.0,"MULTIPOLYGON (((105.01967800508736 11.515960768954416, 105.020210499802 11.521129701468665, 105.01595780733356 11.524189056885163, 105.01117254680764 11.522079384371265, 105.010640169997 11.51691031850097, 105.01489293579814 11.51385105849194, 105.01967800508736 11.515960768954416)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658479d1fffff,1808.0,"MULTIPOLYGON (((105.02871535755175 11.515010984838737, 105.02924797013064 11.5201797838772, 105.02499557798905 11.523239189917678, 105.020210499802 11.521129701468665, 105.01967800508736 11.515960768954416, 105.02393047068537 11.512901458356291, 105.02871535755175 11.515010984838737)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658479b9fffff,1214.0,"MULTIPOLYGON (((105.02287320689489 11.54697376289627, 105.02340579502149 11.552142454358044, 105.01915279556037 11.555202089185222, 105.01436713457187 11.553092937344832, 105.01383466435817 11.547924112541919, 105.01808773720995 11.544864572911848, 105.02287320689489 11.54697376289627)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886584799dfffff,100.0,"MULTIPOLYGON (((105.02127553593351 11.531467446523449, 105.0218080773515 11.536636258893974, 105.01755523138867 11.53969575421267, 105.01276977063611 11.537586341849865, 105.01223734712661 11.532417396130727, 105.01649026645107 11.52935799611432, 105.02127553593351 11.531467446523449)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886584799bfffff,1825.0,"MULTIPOLYGON (((105.00691955419792 11.525138689050234, 105.00745189538924 11.530307761571853, 105.00319867598539 11.533367110702267, 104.99841304221869 11.531257291999852, 104.99788081899335 11.526088086305556, 105.00213411155862 11.523028832477662, 105.00691955419792 11.525138689050234)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886584799bfffff,1825.0,"MULTIPOLYGON (((105.00691955419792 11.525138689050234, 105.00745189538924 11.530307761571853, 105.00319867598539 11.533367110702267, 104.99841304221869 11.531257291999852, 104.99788081899335 11.526088086305556, 105.00213411155862 11.523028832477662, 105.00691955419792 11.525138689050234)))",927,0.137885786114,0.000699935474767,Preaek Aeng,KH121206,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847999fffff,1928.0,"MULTIPOLYGON (((105.01595780733356 11.524189056885163, 105.01649026645107 11.52935799611432, 105.01223734712661 11.532417396130727, 105.00745189538924 11.530307761571853, 105.00691955419792 11.525138689050234, 105.01117254680764 11.522079384371265, 105.01595780733356 11.524189056885163)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847995fffff,6.0,"MULTIPOLYGON (((105.01755523138867 11.53969575421267, 105.01808773720995 11.544864572911848, 105.01383466435817 11.547924112541919, 105.00904901236072 11.545814738231869, 105.00851662447008 11.540645786247682, 105.01276977063611 11.537586341849865, 105.01755523138867 11.53969575421267)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847993fffff,1672.0,"MULTIPOLYGON (((105.00319867598539 11.533367110702267, 105.0037309815466 11.53853618965027, 104.99947753536304 11.541595583013612, 104.99469171049421 11.539485802187778, 104.99415952292117 11.534316590130715, 104.99841304221869 11.531257291999852, 105.00319867598539 11.533367110702267)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847993fffff,1672.0,"MULTIPOLYGON (((105.00319867598539 11.533367110702267, 105.0037309815466 11.53853618965027, 104.99947753536304 11.541595583013612, 104.99469171049421 11.539485802187778, 104.99415952292117 11.534316590130715, 104.99841304221869 11.531257291999852, 105.00319867598539 11.533367110702267)))",927,0.137885786114,0.000699935474767,Preaek Aeng,KH121206,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847991fffff,543.0,"MULTIPOLYGON (((105.01223734712661 11.532417396130727, 105.01276977063611 11.537586341849865, 105.00851662447008 11.540645786247682, 105.0037309815466 11.53853618965027, 105.00319867598539 11.533367110702267, 105.00745189538924 11.530307761571853, 105.01223734712661 11.532417396130727)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847991fffff,543.0,"MULTIPOLYGON (((105.01223734712661 11.532417396130727, 105.01276977063611 11.537586341849865, 105.00851662447008 11.540645786247682, 105.0037309815466 11.53853618965027, 105.00319867598539 11.533367110702267, 105.00745189538924 11.530307761571853, 105.01223734712661 11.532417396130727)))",927,0.137885786114,0.000699935474767,Preaek Aeng,KH121206,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886584798dfffff,531.0,"MULTIPOLYGON (((105.04466815490211 11.536844247567617, 105.045201014276 11.542012665693449, 105.04094884296217 11.54507235784995, 105.03616373857864 11.54296353653513, 105.03563099701574 11.537794984765155, 105.03988324201522 11.534735387945474, 105.04466815490211 11.536844247567617)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
886584798bfffff,257.0,"MULTIPOLYGON (((105.03031324199493 11.530517261987844, 105.03084590128154 11.535685940890021, 105.02659335570762 11.538745487016007, 105.0218080773515 11.536636258893974, 105.02127553593351 11.531467446523449, 105.02552815499291 11.528407995734627, 105.03031324199493 11.530517261987844)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847989fffff,115.0,"MULTIPOLYGON (((105.03935046489988 11.529566842631347, 105.03988324201522 11.534735387945474, 105.03563099701574 11.537794984765155, 105.03084590128154 11.535685940890021, 105.03031324199493 11.530517261987844, 105.03456556060368 11.527457760540177, 105.03935046489988 11.529566842631347)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
8865847981fffff,34.0,"MULTIPOLYGON (((105.03563099701574 11.537794984765155, 105.03616373857864 11.54296353653513, 105.03191126656658 11.546023177963102, 105.02712597941962 11.543914172310439, 105.02659335570762 11.538745487016007, 105.03084590128154 11.535685940890021, 105.03563099701574 11.537794984765155)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658478edfffff,18.0,"MULTIPOLYGON (((105.03083702359378 11.491276217484826, 105.03136962503494 11.496445128504847, 105.02711761322104 11.4995043488109, 105.02233292648106 11.497394562470681, 105.02180044287758 11.492225517903952, 105.02605252816628 11.48916639321547, 105.03083702359378 11.491276217484826)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658478ebfffff,48.0,"MULTIPOLYGON (((105.01648336367687 11.484946339409127, 105.01701576500089 11.490115509915332, 105.01276337950925 11.493174584346415, 105.00797851940882 11.4910643926448, 105.00744623598003 11.485895088767851, 105.01169869474634 11.482836109954576, 105.01648336367687 11.484946339409127)))",975,0.236672346514,0.00163968281004,Preaek Thmei,KH121208,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658478ebfffff,48.0,"MULTIPOLYGON (((105.01648336367687 11.484946339409127, 105.01701576500089 11.490115509915332, 105.01276337950925 11.493174584346415, 105.00797851940882 11.4910643926448, 105.00744623598003 11.485895088767851, 105.01169869474634 11.482836109954576, 105.01648336367687 11.484946339409127)))",500,0.26499335024,0.00274367444845,Kbal Kaoh,KH121207,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
88658478e9fffff,226.0,"MULTIPOLYGON (((105.02552000898686 11.483997356199765, 105.02605252816628 11.48916639321547, 105.02180044287758 11.492225517903952, 105.01701576500089 11.490115509915332, 105.01648336367687 11.484946339409127, 105.02073552236402 11.481887310373363, 105.02552000898686 11.483997356199765)))",975,0.236672346514,0.00163968281004,Preaek Thmei,KH121208,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,2014-10-14,2018-10-04
